Sample	Longitude	Latitude	I_TN	I_NH3_N	I_TS	I_SCOD	I_pH	I_Salinity	I_S_carbohydrate	I_S_protein	R_TN	R_NH3_N	R_TS	R_SCOD	R_pH	R_Salinity	R_S_carbohydrate	R_S_protein	R_T
BJ0516	116.108673	40.049616	2100	180	8.471973381	75200	3.9	57	18.31294325	4201.333333	2000	1110	2.88320802	4200	7.56	17	0.166407025	1090	38.6
BJ0530	116.108673	40.049616	3800	300	10.4686764	61000	3.88	40	4.324948525	4195	2400	830	2.800406318	4400	7.73	16	0.24647849	1691.5	38.6
BJ0606	116.108673	40.049616	2700	320	7.982036513	52800	3.68	39	3.453422374	1770.5	2200	1220	2.983526784	4310	7.58	11	0.199633959	1445	36.3
BJ0613	116.108673	40.049616	2300	220	8.560718161	71100	3.8	56	13.01842188	3182.333333	2100	820	2.929659471	4600	7.45	18	0.169130544	1357.5	36.2
BJ0704	116.108673	40.049616	4500	360	9.831460674	74700	3.96	58	15.39333065	32950	2700	750	3.300583965	5280	7.62	15	0.288693038	2023.666667	38.1
BJ0718	116.108673	40.049616	1200	190	9.555247378	73700	3.97	59	13.9988888	8297.333333	1200	920	3.298757689	6360	7.54	16	0.363045112	1907.333333	38
BJ0801	116.108673	40.049616	1200	310	10.42776089	67600	4.02	44	19.92526663	4228.666667	1400	360	3.511263277	6210	7.6	24	0.343980478	1913.666667	39.6
BJ0815	116.108673	40.049616	1000	340	8.766912964	59100	4.17	61	16.85313695	5040	1400	1250	4.378852398	8080	7.56	21	0.425141351	2211.5	39
BJ0919	116.108673	40.049616	1400	250	9.868548606	55400	3.95	41	24.72955454	5243.333333	1600	1000	3.163507109	9590	7.55	19	0.294957132	1725.666667	38
CS0520	113.026854	28.258856	2300	270	6.849691685	66600	4	47	1.92825161	1916	2900	1600	2.30260537	4920	7.8	22	0.172943471	1017	37.53
CS0527	113.026854	28.258856	3700	300	6.451989493	50200	4.32	36	1.29639515	662.65	3900	1660	2.48447205	6070	7.67	23	0.169675248	1151.333333	37.63
CS0603	113.026854	28.258856	4500	400	6.8489714	49400	4.29	33	0.555597921	2974.5	4600	1310	1.86442987	3570	7.75	16	0.147887094	962.1666667	37.53
CS0617	113.026854	28.258856	2600	400	7.09316546	61200	4.01	50	1.448912226	3516.5	2700	1400	2.671732584	5190	7.67	23	0.124464828	1152.5	37.24
CS0701	113.026854	28.258856	4400	520	8.198031381	58400	3.87	32	2.816118876	2539.666667	4600	1160	2.079350837	4100	7.7	19	0.332269345	941.8	37.55
CS0715	113.026854	28.258856	1900	350	6.849727214	64000	4.1	45	0.991360997	15170	1100	850	2.347812175	3670	7.83	17	0.506574575	903.8666667	37.55
CS0825	113.026854	28.258856	2100	380	6.508088652	45600	4.18	32	0.31592823	3084	2300	810	2.368733523	1390	7.82	12	0.190918698	1446.666667	37.5
CS0908	113.026854	28.258856	1800	280	7.29338843	32100	4.1	30	0.882420228	1418.133333	2500	1950	2.787708297	8110	7.66	25	0.206715109	1187.666667	37.53
CS0917	113.026854	28.258856	2400	260	8.325005765	41200	3.65	46	1.492488534	4054.666667	2200	2130	2.000188875	7510	7.74	25	0.158236467	1179.5	37.55
FS0520	113.001793	22.99793	3100	760	7.828580407	48300	4.12	46	3.039447452	1948.333333	4000	2800	2.854315123	10090	7.91	24	0.107034305	1276.5	37.53
