Data lable	Sample	Site
ZB_1	BJ0613	BJ
ZB_2	QH0615	QH
ZB_3	CS0617	CS
ZB_4	FS0617	FS
ZB_5	QH0518	QH
ZB_6	WZ0519	WZ
ZB_7	CS0715	CS
ZB_8	FS0716	FS
ZB_9	QQ0718	QQ
ZB_10	BJ0718	BJ
ZB_11	QH0720	QH
ZB_12	JZ0701	JZ
ZB_13	JZ0520	JZ
ZB_14	FS0729	FS
ZB_15	FS0916	FS
ZB_16	QQ0829	QQ
ZB_17	QH0714	QH
ZB_18	FS0702	FS
ZB_19	WZ0630	WZ
ZB_20	QH0601	QH
ZB_21	BJ0815	BJ
ZB_22	FS0610	FS
ZB_23	QQ0627	QQ
ZB_24	CS0908	CS
ZB_25	JZ0715	JZ
ZB_26	WZ0602	WZ
ZB_27	JZ0617	JZ
ZB_28	BJ0516	BJ
ZB_29	JZ0527	JZ
ZB_30	WZ0915	WZ
ZB_31	QQ0801	QQ
ZB_32	WZ0825	WZ
ZB_33	JZ0819	JZ
ZB_34	WZ0505	WZ
ZB_35	QH0629	QH
ZB_36	CS0527	CS
ZB_37	JZ0603	JZ
ZB_38	WZ0728	WZ
ZB_39	BJ0704	BJ
ZB_40	QQ0710	QQ
ZB_41	JZ0916	JZ
ZB_42	QQ0926	QQ
ZB_43	CS0825	CS
ZB_44	BJ0801	BJ
ZB_45	FS0819	FS
ZB_46	CS0917	CS
ZB_47	BJ0919	BJ
ZB_48	FS0527	FS
ZB_49	CS0520	CS
ZB_50	QH0803	QH
ZB_51	CS0603	CS
ZB_52	CS0701	CS
ZB_53	BJ0606	BJ
ZB_54	JZ0729	JZ
ZB_55	WZ0616	WZ
ZB_56	BJ0530	BJ
ZB_57	WZ0811	WZ
ZB_58	QQ0815	QQ
ZB_59	WZ0714	WZ
ZB_60	QQ0615	QQ
ZB_61	QH0817	QH
ZB_62	FS0520	FS
ZB_63	QQ0913	QQ
ZB_64	QH0525	QH
