	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
acdA_WP_119068025.1	2.0	0.0	58.0	0.0	0.0	6.0	2.0	0.0	3.0	6.0	0.0	98.0	13.0	0.0	0.0	10.0	0.0	3.0	42.0	0.0	0.0	0.0	5.0	0.0	101.0	75.0	71.0	0.0	0.0	64.0	0.0	8.0	29.0	16.0	0.0	0.0	3.0	18.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	35.0	64.0	3.0	6.0	3.0	24.0	3.0	0.0	0.0	0.0	0.0
acdA_1002339.HMPREF9373_1019	0.0	90.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	661.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	67.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2397.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2418.0	713.0	0.0	773.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	7.0	0.0	0.0	799.0	0.0	0.0	0.0
acdA_1435356.Y013_13760	2.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	582.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0
acdA_1123034.JMKP01000019_gene2544	0.0	705.0	0.0	2.0	0.0	2.0	0.0	0.0	5.0	0.0	193.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	2.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	384.0	136.0	0.0	126.0	13.0	0.0	2.0	0.0	2.0	25.0	0.0	3.0	0.0	3.0	141.0	0.0	0.0	0.0
acdA_1287475.HMPREF1650_13510	0.0	93.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	2.0	0.0	0.0	0.0	30.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	17.0
acdA_1078020.KEK_16143	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
acdA_349106.PsycPRwf_0300	0.0	1292.0	0.0	0.0	67.0	0.0	0.0	0.0	3883.0	0.0	0.0	0.0	0.0	0.0	0.0	2394.0	0.0	0.0	0.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1259.0	0.0	528.0	0.0	16.0	1717.0	0.0	6201.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	178.0	0.0	468.0	0.0	0.0	87.0	0.0	934.0	0.0	891.0	16.0	0.0	0.0	0.0
acdA_1408436.JHXY01000008_gene2359	0.0	264.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	608.0	348.0	0.0	400.0	0.0	0.0	161.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	864.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0
acdA_526226.Gbro_0690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acdA_1027371.GOALK_038_00770	2.0	8.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	556.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
