	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
acdB_1002339.HMPREF9373_0420	0.0	221.0	0.0	38.0	2.0	0.0	0.0	0.0	0.0	0.0	1248.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	100.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4384.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1923.0	553.0	0.0	1634.0	0.0	0.0	0.0	0.0	4.0	167.0	0.0	7.0	0.0	0.0	1266.0	0.0	0.0	0.0
acdB_1123034.JMKP01000006_gene928	0.0	1641.0	0.0	143.0	55.0	0.0	0.0	0.0	4918.0	0.0	0.0	0.0	0.0	18.0	0.0	3094.0	0.0	39.0	0.0	34.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	1692.0	3.0	975.0	0.0	24.0	1688.0	0.0	8446.0	0.0	0.0	4.0	0.0	0.0	0.0	18.0	11.0	1116.0	0.0	787.0	0.0	0.0	33.0	1.0	1679.0	0.0	1334.0	22.0	2.0	0.0	0.0
acdB_1123034.JMKP01000007_gene1037	0.0	244.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	1414.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	125.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	4786.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2066.0	675.0	0.0	1683.0	0.0	0.0	0.0	2.0	0.0	148.0	0.0	8.0	0.0	0.0	1465.0	0.0	0.0	0.0
acdB_1123034.JMKP01000007_gene1036	0.0	2186.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	345.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	684.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	237.0	51.0	0.0	234.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	2.0	0.0	0.0	152.0	0.0	0.0	0.0
acdB_1002339.HMPREF9373_1256	0.0	308.0	0.0	31.0	8.0	0.0	0.0	0.0	218.0	0.0	1445.0	0.0	0.0	1.0	0.0	153.0	0.0	2.0	0.0	114.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3336.0	0.0	77.0	2.0	0.0	118.0	0.0	349.0	0.0	0.0	0.0	0.0	1117.0	362.0	3.0	1631.0	188.0	0.0	24.0	0.0	2.0	129.0	0.0	66.0	0.0	62.0	1137.0	0.0	0.0	0.0
acdB_202956.BBNL01000006_gene1873	0.0	26.0	2.0	0.0	157.0	0.0	7.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	23.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	5.0
acdB_349106.PsycPRwf_0911	0.0	518.0	0.0	11.0	9.0	0.0	0.0	0.0	1485.0	0.0	71.0	1.0	0.0	0.0	0.0	117.0	0.0	2.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0	1.0	194.0	0.0	0.0	153.0	0.0	295.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	109.0	1564.0	0.0	15.0	0.0	0.0	19.0	0.0	218.0	0.0	439.0	7.0	0.0	0.0	0.0
acdB_202956.BBNL01000032_gene184	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	34.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
acdB_202956.BBNL01000006_gene1872	0.0	32.0	2.0	0.0	179.0	0.0	4.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0
acdB_588932.JHOF01000018_gene891	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
