	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ackA_A0A521IU65	44.0	77.0	256.0	0.0	331.0	0.0	751.0	0.0	2376.0	202.0	3778.0	19.0	0.0	0.0	0.0	1003.0	187.0	0.0	4.0	872.0	185.0	0.0	2906.0	287.0	208.0	0.0	0.0	94.0	0.0	19.0	1502.0	370.0	1660.0	0.0	2717.0	1829.0	0.0	545.0	29.0	3221.0	3273.0	429.0	139.0	466.0	8.0	1479.0	2141.0	649.0	171.0	666.0	187.0	383.0	870.0	377.0	0.0	137.0	1153.0	732.0	327.0	1931.0	85.0	0.0	753.0	150.0
ackA_WP_127815703.1	18715.0	0.0	24.0	0.0	4.0	0.0	14.0	0.0	0.0	9405.0	36.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	5992.0	0.0	0.0	0.0	0.0	0.0	0.0	14307.0	4.0	0.0	0.0	0.0	0.0	0.0	28.0	93.0	0.0	0.0	8097.0	2.0	0.0	22.0	0.0	4438.0	0.0	0.0	10017.0	3088.0	58.0	0.0	10.0	18.0	6381.0	50.0	0.0	6988.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0
ackA_A0A425VX59	4689.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	6628.0	18.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	3443.0	0.0	0.0	0.0	0.0	0.0	0.0	2952.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	6781.0	4.0	0.0	4.0	0.0	2155.0	0.0	0.0	4264.0	1347.0	0.0	0.0	0.0	0.0	1847.0	14.0	0.0	1538.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
ackA_WP_090846191.1	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	172.0	51.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ackA_A0A1V6C033	229.0	0.0	191.0	0.0	0.0	0.0	54.0	0.0	65.0	180.0	0.0	864.0	11.0	0.0	0.0	363.0	0.0	0.0	17.0	0.0	80.0	0.0	90.0	48.0	742.0	4.0	401.0	480.0	0.0	0.0	88.0	4.0	23.0	0.0	0.0	310.0	0.0	15.0	182.0	54.0	19.0	145.0	31.0	361.0	0.0	132.0	929.0	369.0	86.0	0.0	78.0	197.0	359.0	197.0	162.0	201.0	0.0	143.0	48.0	34.0	0.0	0.0	76.0	0.0
ackA_A0A1V5JKF1	547.0	46.0	158.0	1452.0	75.0	384.0	42.0	473.0	63.0	862.0	277.0	789.0	109.0	757.0	699.0	444.0	10.0	1448.0	236.0	161.0	355.0	3246.0	129.0	148.0	1014.0	280.0	146.0	1502.0	4401.0	768.0	117.0	15.0	540.0	547.0	129.0	113.0	4328.0	31.0	426.0	98.0	674.0	242.0	42.0	1429.0	1218.0	355.0	724.0	267.0	108.0	142.0	56.0	109.0	1661.0	1022.0	234.0	1060.0	21.0	300.0	25.0	58.0	13.0	1992.0	142.0	8.0
ackA_A0A161SG15	629.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1018.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	358.0	4.0	0.0	0.0	0.0	0.0	0.0	507.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1858.0	4.0	0.0	0.0	0.0	1490.0	0.0	0.0	971.0	298.0	0.0	0.0	0.0	0.0	999.0	12.0	0.0	581.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ackA_A0A1V6EJF4	21.0	8.0	19.0	0.0	8.0	0.0	19.0	0.0	0.0	108.0	10.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	12.0	77.0	0.0	0.0	10.0	0.0	0.0	0.0	45.0	0.0	4.0	0.0	0.0	0.0	0.0	29.0	15.0	0.0	0.0	12.0	0.0	14.0	0.0	4.0	209.0	0.0	27.0	81.0	12.0	10.0	35.0	2.0	25.0	81.0	0.0	4.0	68.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
ackA_A0A1V5SYY5	21.0	75.0	346.0	71.0	113.0	100.0	396.0	67.0	219.0	117.0	159.0	509.0	138.0	79.0	44.0	365.0	56.0	81.0	953.0	138.0	73.0	181.0	305.0	129.0	267.0	307.0	250.0	161.0	113.0	459.0	303.0	607.0	371.0	48.0	69.0	517.0	146.0	413.0	4.0	388.0	586.0	392.0	173.0	40.0	102.0	182.0	6.0	131.0	400.0	111.0	152.0	336.0	125.0	246.0	601.0	113.0	467.0	238.0	513.0	204.0	50.0	133.0	317.0	31.0
ackA_WP_092993041.1	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	739.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	8.0	0.0	911.0	0.0	0.0	689.0	223.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ackA_minf_MESINF_2206	64.0	0.0	51.0	0.0	0.0	81.0	19.0	0.0	4.0	144.0	4.0	254.0	42.0	0.0	0.0	28.0	2.0	0.0	1039.0	0.0	100.0	0.0	38.0	6.0	155.0	290.0	114.0	104.0	0.0	1775.0	34.0	2037.0	91.0	8.0	0.0	15.0	0.0	1245.0	34.0	19.0	42.0	4.0	0.0	195.0	0.0	19.0	95.0	167.0	0.0	0.0	13.0	4.0	163.0	44.0	3161.0	91.0	901.0	30.0	3051.0	9.0	0.0	0.0	23.0	0.0
ackA_1504822.CCNO01000015_gene1022	3720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5777.0	18.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	2948.0	0.0	0.0	0.0	0.0	0.0	0.0	2694.0	0.0	0.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	5956.0	0.0	0.0	6.0	0.0	1944.0	0.0	0.0	3626.0	1121.0	0.0	4.0	0.0	4.0	1611.0	4.0	0.0	1390.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	4.0
ackA_A0A3C1LKM3	12.0	12.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	244.0	48.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	12.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	70.0	10.0	0.0	31.0	0.0	0.0	45.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	14.0
ackA_A0A1V5RLH4	101.0	0.0	326.0	2.0	0.0	0.0	382.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	44.0	0.0	0.0	206.0	2.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	52.0	0.0	52.0	0.0	49.0	152.0	0.0	208.0	73.0	26.0	80.0	0.0	171.0	351.0	122.0	0.0	0.0	120.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ackA_A0A3D4ZZ15	21.0	0.0	40.0	0.0	0.0	8.0	99.0	0.0	0.0	15.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	4.0	63.0	4.0	8.0	17.0	0.0	9.0	0.0	0.0	38.0	0.0	0.0	15.0	0.0	0.0	9.0	4.0	23.0	8.0	11.0	4.0	0.0	6.0	4.0	0.0	11.0	0.0	25.0	27.0	17.0	17.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ackA_A0A353MND7	12.0	0.0	0.0	37.0	2.0	0.0	4.0	8.0	4.0	18.0	4.0	0.0	0.0	69.0	102.0	8.0	0.0	39.0	4.0	0.0	8.0	400.0	4.0	8.0	0.0	0.0	0.0	14.0	333.0	12.0	6.0	120.0	0.0	0.0	0.0	0.0	188.0	73.0	18.0	0.0	0.0	4.0	0.0	47.0	104.0	0.0	29.0	0.0	0.0	4.0	0.0	4.0	20.0	0.0	0.0	4.0	63.0	2.0	57.0	0.0	0.0	159.0	2.0	0.0
ackA_A0A1V6H6V7	20.0	2.0	16.0	39.0	0.0	0.0	61.0	16.0	27.0	55.0	4.0	0.0	0.0	2.0	39.0	66.0	4.0	37.0	0.0	0.0	14.0	94.0	20.0	18.0	4.0	0.0	0.0	4.0	108.0	0.0	29.0	0.0	0.0	0.0	6.0	47.0	141.0	0.0	10.0	20.0	31.0	23.0	12.0	117.0	0.0	92.0	65.0	23.0	8.0	20.0	12.0	25.0	33.0	4.0	0.0	53.0	0.0	45.0	0.0	22.0	0.0	78.0	66.0	4.0
