	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
acs_330506788	1074.0	0.0	20.0	0.0	0.0	867.0	12.0	0.0	0.0	2532.0	18.0	1540.0	846.0	0.0	0.0	0.0	10.0	0.0	664.0	0.0	1457.0	4.0	0.0	3.0	879.0	1170.0	763.0	2078.0	0.0	849.0	0.0	154.0	225.0	1163.0	5.0	43.0	1.0	60.0	1294.0	0.0	231.0	5.0	0.0	2576.0	0.0	1.0	4450.0	1812.0	10.0	0.0	10.0	23.0	2232.0	258.0	943.0	1879.0	70.0	0.0	275.0	0.0	0.0	2.0	2.0	0.0
acs_330508629	995.0	0.0	0.0	4.0	4.0	918.0	0.0	0.0	0.0	2122.0	5.0	1428.0	855.0	0.0	1.0	0.0	15.0	0.0	714.0	0.0	1331.0	0.0	0.0	0.0	785.0	1158.0	738.0	1789.0	0.0	914.0	1.0	117.0	205.0	1494.0	2.0	5.0	1.0	41.0	1153.0	0.0	226.0	6.0	0.0	2561.0	0.0	0.0	3928.0	1543.0	0.0	0.0	6.0	1.0	2084.0	259.0	876.0	1856.0	74.0	7.0	315.0	0.0	0.0	0.0	0.0	0.0
acs_330506785	1109.0	1.0	1.0	0.0	0.0	1074.0	2.0	0.0	0.0	2267.0	10.0	1460.0	837.0	0.0	0.0	1.0	6.0	0.0	668.0	0.0	1433.0	0.0	0.0	0.0	814.0	1263.0	899.0	1773.0	0.0	949.0	2.0	138.0	171.0	1758.0	3.0	0.0	0.0	69.0	1412.0	1.0	219.0	7.0	0.0	2476.0	0.0	0.0	4733.0	1905.0	0.0	0.0	1.0	0.0	2132.0	262.0	892.0	1858.0	73.0	1.0	272.0	0.0	0.0	0.0	0.0	0.0
acs_330506786	876.0	0.0	0.0	0.0	0.0	1466.0	0.0	0.0	0.0	2268.0	8.0	1398.0	741.0	0.0	0.0	1.0	12.0	0.0	710.0	0.0	1276.0	0.0	0.0	0.0	833.0	1324.0	760.0	1737.0	4.0	1217.0	5.0	139.0	180.0	2057.0	1.0	4.0	0.0	68.0	1117.0	1.0	218.0	12.0	0.0	2461.0	0.0	0.0	4256.0	1718.0	0.0	2.0	2.0	0.0	2059.0	209.0	962.0	1721.0	86.0	3.0	351.0	0.0	0.0	2.0	4.0	0.0
acs_330506787	1007.0	0.0	0.0	0.0	0.0	1657.0	0.0	0.0	1.0	2393.0	4.0	1609.0	872.0	0.0	0.0	2.0	8.0	0.0	768.0	0.0	1522.0	0.0	0.0	0.0	861.0	1444.0	821.0	1910.0	0.0	1319.0	0.0	139.0	229.0	2218.0	7.0	4.0	0.0	77.0	1043.0	0.0	246.0	2.0	0.0	2672.0	0.0	0.0	3995.0	1715.0	2.0	0.0	0.0	0.0	2247.0	251.0	1149.0	1899.0	66.0	4.0	286.0	0.0	0.0	2.0	1.0	0.0
acs_386001446	524.0	0.0	6129.0	0.0	1.0	0.0	5678.0	0.0	16.0	444.0	0.0	59.0	7.0	0.0	0.0	386.0	1.0	1.0	0.0	4.0	155.0	2.0	26.0	925.0	144.0	0.0	17.0	863.0	0.0	0.0	36.0	0.0	66.0	0.0	0.0	5775.0	0.0	0.0	275.0	35.0	94.0	423.0	567.0	220.0	0.0	1180.0	179.0	82.0	2788.0	0.0	2905.0	5910.0	448.0	56.0	0.0	477.0	0.0	97.0	0.0	14.0	0.0	0.0	63.0	0.0
acs_386001449	394.0	0.0	4695.0	0.0	0.0	0.0	4594.0	0.0	15.0	381.0	0.0	44.0	1.0	0.0	0.0	305.0	3.0	0.0	2.0	0.0	155.0	0.0	18.0	768.0	106.0	0.0	6.0	691.0	0.0	0.0	34.0	0.0	40.0	0.0	0.0	4604.0	0.0	0.0	131.0	34.0	64.0	359.0	547.0	204.0	2.0	925.0	125.0	35.0	2209.0	0.0	2297.0	4710.0	331.0	48.0	0.0	385.0	0.0	81.0	1.0	8.0	0.0	0.0	60.0	0.0
acs_386001448	305.0	0.0	4465.0	0.0	0.0	0.0	4053.0	0.0	25.0	333.0	2.0	31.0	2.0	0.0	2.0	251.0	2.0	0.0	0.0	0.0	153.0	0.0	25.0	674.0	100.0	0.0	13.0	542.0	0.0	0.0	24.0	0.0	46.0	0.0	2.0	3997.0	1.0	0.0	149.0	8.0	70.0	270.0	538.0	140.0	0.0	808.0	109.0	38.0	2136.0	0.0	2102.0	4241.0	329.0	48.0	0.0	302.0	0.0	77.0	0.0	7.0	0.0	0.0	37.0	0.0
acs_A0A3R7FTN0	18.0	0.0	0.0	4.0	0.0	44.0	0.0	0.0	2.0	21.0	2.0	21.0	6.0	0.0	2.0	0.0	2.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	40.0	81.0	23.0	11.0	0.0	10.0	0.0	2.0	36.0	127.0	0.0	0.0	0.0	2.0	13.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	9.0	14.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acs_A0A540PD29	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	23.0	6.0	0.0	0.0	1.0	0.0	0.0	5.0	16.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
acs_A0A4P8HDU6	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	10.0	1.0	0.0	1.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	1.0
acs_A0A2L0R1V9	0.0	0.0	1.0	0.0	2.0	31.0	0.0	0.0	0.0	5.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	23.0	33.0	19.0	2.0	0.0	8.0	0.0	5.0	2.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
acs_1123034.JMKP01000019_gene2542	0.0	3829.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1290.0	0.0	1.0	3.0	0.0	0.0	4.0	0.0	0.0	42.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1554.0	471.0	0.0	1092.0	0.0	0.0	0.0	0.0	2.0	43.0	0.0	1.0	1.0	0.0	744.0	0.0	0.0	0.0
