	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
cdhA_330507409	546.0	6.0	0.0	6.0	0.0	228.0	0.0	10.0	262.0	1160.0	6.0	292.0	129.0	6.0	69.0	939.0	12.0	4.0	173.0	2.0	671.0	10.0	376.0	0.0	138.0	329.0	140.0	875.0	13.0	174.0	406.0	26.0	45.0	371.0	4.0	0.0	15.0	9.0	560.0	334.0	55.0	883.0	0.0	1165.0	25.0	0.0	2053.0	721.0	0.0	19.0	0.0	0.0	940.0	39.0	260.0	875.0	15.0	383.0	68.0	134.0	0.0	9.0	615.0	4.0
cdhA_386003003	239.0	1.0	3940.0	1.0	0.0	2.0	3492.0	1.0	25.0	158.0	2.0	33.0	0.0	0.0	0.0	308.0	6.0	0.0	0.0	0.0	66.0	0.0	23.0	580.0	68.0	0.0	5.0	396.0	0.0	0.0	13.0	0.0	22.0	0.0	0.0	2630.0	0.0	3.0	56.0	25.0	26.0	316.0	354.0	91.0	2.0	686.0	74.0	18.0	1503.0	0.0	1734.0	3803.0	194.0	21.0	0.0	192.0	0.0	85.0	0.0	0.0	0.0	0.0	33.0	0.0
cdhA_386001486	401.0	0.0	4187.0	0.0	0.0	0.0	3554.0	0.0	20.0	389.0	0.0	40.0	3.0	0.0	0.0	209.0	4.0	0.0	0.0	2.0	130.0	0.0	13.0	619.0	166.0	0.0	1.0	622.0	0.0	0.0	21.0	0.0	49.0	0.0	1.0	3718.0	0.0	0.0	174.0	16.0	63.0	218.0	476.0	172.0	2.0	753.0	116.0	29.0	2080.0	0.0	2042.0	3984.0	343.0	64.0	0.0	356.0	0.0	75.0	0.0	6.0	0.0	0.0	49.0	0.0
cdhA_A0A1V5B3F1	244.0	0.0	0.0	0.0	2.0	379.0	1.0	8.0	502.0	722.0	1.0	266.0	152.0	0.0	16.0	1956.0	8.0	8.0	161.0	0.0	504.0	5.0	887.0	0.0	170.0	281.0	149.0	541.0	8.0	255.0	880.0	33.0	47.0	396.0	2.0	0.0	5.0	11.0	405.0	865.0	113.0	1564.0	0.0	797.0	10.0	0.0	1269.0	523.0	0.0	10.0	0.0	0.0	648.0	34.0	209.0	579.0	15.0	849.0	77.0	342.0	4.0	5.0	1500.0	0.0
cdhA_A0A1V4YCI7	2.0	0.0	0.0	2.0	0.0	6.0	0.0	2.0	0.0	14.0	1.0	8.0	19.0	0.0	6.0	0.0	4.0	1.0	14.0	0.0	14.0	0.0	0.0	0.0	4.0	8.0	10.0	11.0	0.0	18.0	0.0	0.0	4.0	3.0	0.0	0.0	2.0	4.0	1.0	0.0	19.0	0.0	0.0	14.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	9.0	3.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhA_A0A3N9UZF7	0.0	0.0	0.0	1.0	0.0	61.0	1.0	2.0	109.0	0.0	0.0	2.0	0.0	2.0	10.0	367.0	2.0	2.0	0.0	0.0	0.0	3.0	222.0	0.0	1.0	19.0	1.0	1.0	4.0	14.0	195.0	0.0	0.0	60.0	0.0	0.0	3.0	1.0	0.0	189.0	12.0	325.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	164.0	1.0	82.0	0.0	4.0	256.0	0.0
cdhA_435851158	2.0	0.0	0.0	0.0	0.0	70.0	0.0	3.0	1.0	1.0	2.0	2.0	40.0	1.0	0.0	0.0	1.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	1.0	36.0	7.0	0.0	0.0	108.0	0.0	7.0	6.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	3.0	43.0	0.0	10.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
cdhA_A0A1V4TJU9	1.0	4655.0	2.0	17.0	8752.0	21.0	19.0	127.0	156.0	65.0	6080.0	22.0	1.0	97.0	42.0	239.0	5552.0	19.0	109.0	3019.0	27.0	6.0	105.0	0.0	4.0	15.0	3.0	1.0	15.0	36.0	324.0	103.0	29.0	6.0	4881.0	2.0	13.0	17.0	1.0	46.0	58.0	588.0	3.0	32.0	124.0	10.0	2.0	6.0	0.0	3963.0	0.0	0.0	2.0	10.0	29.0	0.0	34.0	117.0	2.0	35.0	3618.0	6.0	380.0	4199.0
cdhA_mbak_MSBR3_2715	0.0	0.0	236.0	8.0	0.0	2.0	546.0	22.0	0.0	2.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	14.0	745.0	2.0	0.0	1.0	0.0	59.0	197.0	3.0	0.0	0.0	1.0	9.0	0.0	28.0	1207.0	15.0	0.0	614.0	6.0	144.0	0.0	0.0	1783.0	0.0	115.0	0.0	18.0	199.0	0.0	0.0	292.0	0.0	259.0	648.0	0.0	742.0	20.0	0.0	56.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0
cdhA_1220534.B655_0322	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	0.0	37.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	19.0	0.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
