	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
cdhB_330507408	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	315.0	0.0	0.0	0.0	0.0	1.0	0.0	1119.0	0.0	0.0	0.0	0.0	0.0	3.0	568.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	553.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	520.0	30.0	861.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	439.0	0.0	218.0	0.0	1.0	861.0	0.0
cdhB_386001487	122.0	1.0	1613.0	0.0	0.0	0.0	1418.0	0.0	8.0	104.0	2.0	6.0	1.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	58.0	0.0	5.0	247.0	17.0	0.0	1.0	202.0	0.0	0.0	15.0	0.0	11.0	0.0	0.0	1147.0	0.0	0.0	45.0	10.0	8.0	173.0	176.0	51.0	0.0	292.0	40.0	12.0	577.0	0.0	717.0	1641.0	103.0	13.0	0.0	103.0	0.0	39.0	0.0	4.0	0.0	0.0	9.0	0.0
cdhB_mfi_DSM1535_0762	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	10.0	1.0	8.0	0.0	0.0	10.0	0.0	10.0	15.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	10.0	3.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
cdhB_21226787	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	33.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhB_A0A257MSL6	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cdhB_A0A257MGC5	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhB_330507408_m01	8.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	0.0	11.0	0.0	299.0	121.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	6.0	0.0	0.0	0.0	160.0	223.0	161.0	21.0	0.0	148.0	0.0	16.0	48.0	227.0	0.0	0.0	0.0	6.0	2.0	0.0	28.0	0.0	0.0	2.0	0.0	0.0	8.0	86.0	0.0	0.0	0.0	0.0	15.0	39.0	114.0	24.0	12.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
cdhB_386001487_m01	139.0	0.0	1052.0	0.0	0.0	0.0	1025.0	0.0	1.0	161.0	0.0	11.0	0.0	0.0	0.0	36.0	1.0	0.0	0.0	0.0	64.0	0.0	3.0	166.0	53.0	0.0	5.0	228.0	0.0	0.0	3.0	0.0	21.0	0.0	0.0	988.0	0.0	0.0	99.0	10.0	24.0	32.0	101.0	66.0	0.0	201.0	24.0	10.0	586.0	0.0	594.0	985.0	133.0	9.0	0.0	132.0	0.0	9.0	0.0	0.0	0.0	0.0	13.0	0.0
cdhB_330507408_m02	4.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	20.0	7.0	2.0	3.0	1.0	0.0	3.0	74.0	0.0	1.0	2.0	0.0	3.0	0.0	39.0	0.0	1.0	3.0	3.0	17.0	1.0	1.0	28.0	0.0	0.0	3.0	1.0	0.0	3.0	0.0	6.0	29.0	3.0	50.0	0.0	14.0	1.0	0.0	10.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	24.0	1.0	16.0	0.0	8.0	1.0	0.0	57.0	0.0
cdhB_330507408_m03	49.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	85.0	0.0	18.0	9.0	0.0	0.0	1.0	1.0	0.0	15.0	0.0	62.0	0.0	0.0	0.0	9.0	23.0	13.0	55.0	0.0	13.0	0.0	1.0	2.0	35.0	0.0	0.0	0.0	3.0	32.0	0.0	3.0	1.0	0.0	101.0	0.0	0.0	99.0	41.0	0.0	0.0	0.0	0.0	57.0	0.0	12.0	43.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
cdhB_330507408_m04	260.0	1.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	451.0	3.0	124.0	71.0	0.0	0.0	0.0	1.0	0.0	56.0	0.0	309.0	0.0	0.0	0.0	74.0	151.0	48.0	405.0	0.0	85.0	0.0	7.0	13.0	182.0	0.0	0.0	0.0	7.0	248.0	0.0	16.0	5.0	0.0	604.0	0.0	0.0	727.0	264.0	0.0	0.0	0.0	0.0	422.0	11.0	93.0	349.0	6.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0
cdhB_330507408_m05	0.0	8.0	0.0	10.0	7.0	1.0	0.0	13.0	64.0	0.0	7.0	1.0	1.0	14.0	84.0	333.0	3.0	23.0	0.0	0.0	0.0	10.0	135.0	0.0	0.0	0.0	0.0	4.0	21.0	0.0	128.0	0.0	0.0	3.0	0.0	0.0	26.0	0.0	0.0	117.0	0.0	355.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	2.0	37.0	2.0	6.0	228.0	0.0
