	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
cdhC_397781541	2.0	2003.0	32.0	7.0	4688.0	3.0	32.0	2.0	45.0	13.0	3469.0	10.0	0.0	2.0	4.0	36.0	3466.0	0.0	11.0	4340.0	0.0	9.0	25.0	11.0	19.0	2.0	4.0	19.0	0.0	5.0	47.0	1.0	33.0	1.0	3416.0	55.0	0.0	4.0	4.0	52.0	13.0	63.0	8.0	5.0	8.0	10.0	5.0	0.0	43.0	1860.0	9.0	24.0	2.0	11.0	7.0	7.0	3.0	42.0	8.0	18.0	890.0	8.0	54.0	1944.0
cdhC_438001535	8.0	26.0	13.0	119.0	8.0	0.0	14.0	38.0	22.0	7.0	76.0	3.0	0.0	97.0	51.0	52.0	6.0	154.0	1.0	2.0	0.0	287.0	11.0	0.0	3.0	0.0	4.0	13.0	191.0	0.0	36.0	6.0	7.0	0.0	101.0	20.0	151.0	0.0	1.0	30.0	17.0	56.0	0.0	5.0	161.0	11.0	8.0	1.0	2.0	61.0	13.0	17.0	8.0	4.0	6.0	11.0	5.0	19.0	45.0	7.0	0.0	194.0	34.0	2.0
cdhC_1301100.HG529407_gene239	0.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	2.0	17.0	13.0	1.0	0.0	0.0	2.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	10.0	0.0	0.0	44.0	0.0	3.0	5.0	8.0	0.0	4.0	0.0	28.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	9.0	9.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cdhC_410667852	0.0	4623.0	62.0	409.0	6830.0	0.0	41.0	1043.0	0.0	0.0	9282.0	0.0	0.0	1156.0	294.0	13.0	4604.0	559.0	6.0	5083.0	3.0	72.0	2.0	3.0	17.0	0.0	0.0	2.0	62.0	0.0	14.0	2.0	75.0	1.0	6184.0	453.0	68.0	0.0	0.0	2.0	157.0	429.0	2.0	0.0	1493.0	2.0	8.0	0.0	189.0	4481.0	108.0	44.0	0.0	25.0	0.0	2.0	2.0	1.0	4.0	6.0	4669.0	25.0	4.0	5494.0
cdhC_445973.CLOBAR_01263	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	24.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	49.0	0.0	10.0	4.0	10.0	1.0	4.0	0.0	7.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
cdhC_1476973.JMMB01000007_gene615	0.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	2.0	5.0	15.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	0.0	0.0	16.0	0.0	6.0	2.0	5.0	0.0	0.0	0.0	2.0	0.0	1.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhC_1511.CLOST_1171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhC_397781541_m01	1.0	229.0	7.0	2.0	428.0	0.0	3.0	0.0	3.0	5.0	1522.0	2.0	0.0	2.0	0.0	5.0	341.0	0.0	1.0	447.0	0.0	0.0	4.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	5.0	2.0	5.0	0.0	497.0	10.0	0.0	0.0	0.0	4.0	0.0	13.0	2.0	1.0	0.0	0.0	0.0	0.0	11.0	1220.0	4.0	1.0	0.0	1.0	5.0	0.0	0.0	2.0	0.0	4.0	1029.0	0.0	7.0	188.0
cdhC_397781541_m02	9.0	66.0	16.0	0.0	224.0	2.0	14.0	0.0	15.0	8.0	590.0	5.0	0.0	0.0	2.0	20.0	117.0	0.0	0.0	167.0	5.0	1.0	10.0	4.0	18.0	1.0	4.0	10.0	2.0	0.0	7.0	1.0	21.0	1.0	148.0	24.0	0.0	1.0	14.0	33.0	30.0	14.0	4.0	2.0	0.0	11.0	8.0	8.0	21.0	423.0	16.0	22.0	9.0	8.0	2.0	0.0	2.0	20.0	0.0	3.0	402.0	0.0	14.0	48.0
cdhC_438001535_m01	3.0	4.0	9.0	2.0	4.0	0.0	7.0	1.0	0.0	1.0	6.0	10.0	0.0	5.0	2.0	8.0	0.0	6.0	2.0	1.0	0.0	6.0	3.0	3.0	5.0	0.0	0.0	1.0	9.0	0.0	8.0	7.0	0.0	0.0	21.0	52.0	11.0	0.0	0.0	7.0	5.0	4.0	0.0	4.0	11.0	1.0	2.0	0.0	3.0	2.0	25.0	21.0	5.0	6.0	10.0	2.0	4.0	2.0	56.0	0.0	0.0	6.0	5.0	0.0
