	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
cdhD_330507405	879.0	0.0	0.0	0.0	2.0	654.0	2.0	0.0	0.0	1826.0	13.0	1085.0	614.0	0.0	0.0	0.0	7.0	1.0	497.0	0.0	1115.0	2.0	0.0	0.0	692.0	1082.0	596.0	1223.0	2.0	528.0	0.0	86.0	143.0	1042.0	0.0	2.0	0.0	43.0	936.0	4.0	149.0	4.0	0.0	1717.0	0.0	0.0	3202.0	1271.0	0.0	1.0	0.0	0.0	1504.0	176.0	706.0	1288.0	46.0	0.0	182.0	0.0	2.0	0.0	0.0	0.0
cdhD_386002998	249.0	0.0	2138.0	0.0	0.0	0.0	1998.0	0.0	8.0	226.0	0.0	14.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	100.0	0.0	7.0	381.0	108.0	0.0	10.0	379.0	0.0	0.0	8.0	0.0	46.0	0.0	2.0	2051.0	0.0	0.0	103.0	2.0	47.0	91.0	243.0	91.0	0.0	433.0	52.0	11.0	1253.0	0.0	1219.0	1927.0	189.0	22.0	0.0	181.0	0.0	27.0	0.0	0.0	0.0	0.0	5.0	0.0
cdhD_A0A101IJ87	129.0	0.0	1618.0	0.0	0.0	0.0	1522.0	0.0	14.0	98.0	2.0	21.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	43.0	0.0	8.0	288.0	30.0	0.0	1.0	234.0	0.0	0.0	8.0	0.0	21.0	0.0	2.0	1429.0	0.0	0.0	55.0	10.0	12.0	121.0	132.0	62.0	0.0	334.0	27.0	10.0	792.0	0.0	801.0	1688.0	143.0	20.0	0.0	111.0	0.0	27.0	0.0	3.0	0.0	0.0	15.0	0.0
cdhD_435851162	2.0	0.0	0.0	4.0	1.0	45.0	0.0	0.0	0.0	3.0	0.0	10.0	32.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	7.0	34.0	2.0	0.0	0.0	67.0	0.0	2.0	3.0	61.0	0.0	0.0	0.0	8.0	0.0	0.0	9.0	0.0	0.0	7.0	0.0	0.0	2.0	12.0	0.0	0.0	0.0	0.0	3.0	4.0	24.0	5.0	18.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0
cdhD_A0A1V5B955	0.0	7.0	0.0	29.0	13.0	1.0	0.0	26.0	241.0	0.0	17.0	0.0	0.0	42.0	250.0	1106.0	9.0	61.0	0.0	0.0	0.0	39.0	307.0	0.0	0.0	2.0	0.0	10.0	38.0	3.0	462.0	0.0	0.0	0.0	3.0	0.0	50.0	0.0	0.0	370.0	2.0	1192.0	0.0	0.0	49.0	0.0	0.0	0.0	5.0	26.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	426.0	0.0	77.0	7.0	23.0	824.0	2.0
cdhD_A0A1V5ZFK5	0.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	7.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhD_452210639	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	11.0	25.0	0.0	0.0	0.0	1.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0	1.0	29.0	13.0	1.0	0.0	54.0	0.0	3.0	0.0	46.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	11.0	140.0	0.0	8.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
cdhD_A0A257MSX5	0.0	0.0	0.0	0.0	0.0	464.0	0.0	0.0	0.0	0.0	0.0	11.0	15.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	2.0	189.0	8.0	0.0	0.0	254.0	0.0	10.0	1.0	373.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	147.0	0.0	3.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
cdhD_A0A2I0PDB4	0.0	0.0	0.0	0.0	0.0	999.0	0.0	0.0	0.0	0.0	0.0	7.0	97.0	0.0	0.0	0.0	1.0	0.0	254.0	0.0	0.0	0.0	0.0	0.0	2.0	1768.0	12.0	0.0	0.0	122.0	0.0	38.0	6.0	1050.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	5.0	225.0	0.0	23.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
cdhD_mfz_AOB57_003755	0.0	0.0	218.0	0.0	0.0	0.0	1352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	215.0	0.0	0.0	0.0	0.0	5030.0	8.0	0.0	0.0	0.0	0.0	2857.0	2.0	1774.0	0.0	0.0	0.0	199.0	0.0	1880.0	0.0	0.0	2.0	0.0	7788.0	0.0	0.0	6531.0	0.0	0.0	154.0	0.0	179.0	751.0	0.0	0.0	0.0	0.0	1504.0	0.0	428.0	0.0	0.0	0.0	0.0	0.0
