	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
cdhE_330507404	864.0	0.0	0.0	0.0	0.0	889.0	0.0	0.0	0.0	1811.0	3.0	1125.0	612.0	0.0	0.0	0.0	13.0	1.0	471.0	0.0	1015.0	0.0	0.0	0.0	723.0	1086.0	670.0	1397.0	0.0	724.0	0.0	84.0	115.0	1254.0	0.0	4.0	0.0	26.0	899.0	0.0	151.0	1.0	0.0	1739.0	0.0	0.0	3285.0	1349.0	2.0	0.0	2.0	2.0	1555.0	166.0	755.0	1318.0	50.0	0.0	171.0	0.0	0.0	0.0	1.0	0.0
cdhE_A0A117MC70	154.0	0.0	2315.0	0.0	0.0	0.0	2073.0	0.0	7.0	123.0	2.0	13.0	0.0	0.0	0.0	194.0	1.0	0.0	0.0	0.0	42.0	0.0	11.0	331.0	59.0	0.0	1.0	267.0	0.0	0.0	10.0	0.0	21.0	0.0	0.0	1656.0	0.0	0.0	56.0	17.0	31.0	190.0	233.0	51.0	0.0	470.0	28.0	9.0	921.0	0.0	987.0	2400.0	144.0	22.0	0.0	127.0	0.0	53.0	0.0	5.0	0.0	0.0	17.0	0.0
cdhE_A0A1V5B2T9	156.0	0.0	51.0	0.0	0.0	0.0	19.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	5.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	44.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	86.0	0.0	4.0	45.0	14.0	13.0	0.0	19.0	41.0	96.0	0.0	0.0	66.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
cdhE_A0A1V4Y8Q2	3.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	2.0	0.0	7.0	13.0	2.0	2.0	0.0	1.0	0.0	16.0	0.0	2.0	0.0	0.0	0.0	1.0	6.0	4.0	0.0	0.0	17.0	0.0	4.0	3.0	13.0	0.0	0.0	0.0	3.0	1.0	0.0	9.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	9.0	2.0	2.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
cdhE_A0A1V4TJM2	8.0	4514.0	2.0	17.0	7473.0	6.0	15.0	85.0	129.0	46.0	5587.0	14.0	0.0	94.0	38.0	212.0	4869.0	15.0	11.0	2502.0	17.0	2.0	83.0	4.0	0.0	2.0	0.0	0.0	2.0	18.0	292.0	53.0	1.0	1.0	4458.0	0.0	11.0	1.0	12.0	36.0	30.0	459.0	7.0	35.0	122.0	2.0	0.0	0.0	0.0	3858.0	0.0	0.0	0.0	0.0	1.0	8.0	19.0	120.0	0.0	34.0	3156.0	0.0	298.0	3307.0
cdhE_WP_004030699.1	1.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	344.0	124.0	0.0	0.0	0.0	0.0	2.0	858.0	0.0	0.0	0.0	0.0	0.0	161.0	184.0	241.0	0.0	0.0	440.0	0.0	258.0	315.0	34.0	0.0	0.0	0.0	258.0	0.0	0.0	392.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	1.0	0.0	297.0	196.0	0.0	181.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0
cdhE_21226791	0.0	0.0	0.0	0.0	0.0	22.0	1.0	0.0	0.0	0.0	2.0	9.0	23.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	0.0	0.0	0.0	0.0	2.0	39.0	13.0	0.0	0.0	61.0	0.0	0.0	6.0	40.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	137.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
cdhE_1220534.B655_0327	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	149.0	45.0	0.0	0.0	0.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	0.0	57.0	125.0	94.0	0.0	0.0	192.0	0.0	109.0	107.0	24.0	0.0	0.0	0.0	119.0	0.0	0.0	157.0	2.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	123.0	109.0	0.0	103.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0
cdhE_mfz_AOB57_003760	0.0	0.0	348.0	0.0	0.0	0.0	1748.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	6538.0	1.0	1.0	0.0	0.0	0.0	3665.0	0.0	2309.0	0.0	2.0	0.0	199.0	0.0	2425.0	0.0	0.0	2.0	0.0	10149.0	0.0	0.0	8296.0	0.0	0.0	188.0	0.0	193.0	969.0	1.0	1.0	1.0	0.0	2118.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0
cdhE_A0A117LZC7	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	38.0	17.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	19.0	1.0	23.0	0.0	0.0	19.0	0.0	7.0	39.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	30.0	9.0	0.0	9.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
cdhE_metn_BK008_02430	1.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	25.0	2.0	0.0	0.0	0.0	0.0	2.0	99.0	0.0	0.0	0.0	0.0	0.0	7.0	26.0	9.0	0.0	0.0	55.0	0.0	13.0	14.0	3.0	0.0	1.0	0.0	14.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	18.0	33.0	0.0	13.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0
cdhE_meto_CIT02_10145	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	21.0	0.0	3.0	5.0	5.0	0.0	0.0	0.0	12.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
cdhE_A0A1V5B7V4	0.0	0.0	0.0	0.0	0.0	221.0	0.0	0.0	46.0	0.0	0.0	13.0	2.0	0.0	0.0	103.0	1.0	1.0	28.0	0.0	0.0	0.0	81.0	0.0	0.0	73.0	2.0	1.0	0.0	123.0	56.0	3.0	0.0	173.0	0.0	0.0	0.0	2.0	0.0	68.0	17.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	2.0	47.0	6.0	24.0	0.0	0.0	125.0	0.0
cdhE_435851163	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	1.0	1.0	78.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	1.0	0.0	0.0	40.0	0.0	1.0	0.0	61.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cdhE_A0A1V5AS03	0.0	0.0	0.0	6.0	7.0	85.0	1.0	16.0	116.0	0.0	7.0	2.0	1.0	11.0	128.0	580.0	4.0	43.0	11.0	0.0	0.0	26.0	152.0	1.0	0.0	40.0	0.0	2.0	33.0	64.0	196.0	0.0	0.0	88.0	2.0	0.0	34.0	0.0	0.0	174.0	0.0	536.0	1.0	0.0	26.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	200.0	3.0	44.0	1.0	9.0	382.0	2.0
cdhE_WP_048170415.1	0.0	0.0	777.0	49.0	0.0	2.0	1812.0	82.0	0.0	0.0	0.0	0.0	0.0	68.0	6.0	0.0	2.0	78.0	3366.0	0.0	0.0	0.0	0.0	262.0	534.0	0.0	0.0	0.0	9.0	54.0	0.0	122.0	3206.0	5.0	0.0	1792.0	25.0	1088.0	0.0	0.0	5138.0	0.0	331.0	0.0	67.0	680.0	0.0	0.0	756.0	0.0	630.0	1702.0	0.0	1940.0	84.0	0.0	456.0	0.0	812.0	0.0	0.0	13.0	0.0	0.0
