	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
cooS_386002314	170.0	0.0	30.0	0.0	0.0	0.0	26.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	95.0	0.0	0.0	1.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	142.0	0.0	0.0	1.0	2.0	79.0	0.0	2.0	77.0	28.0	9.0	1.0	14.0	21.0	83.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cooS_A0A163BLE9	13.0	1967.0	30.0	14.0	4516.0	0.0	30.0	1.0	33.0	11.0	3082.0	2.0	2.0	9.0	0.0	34.0	3391.0	4.0	0.0	3897.0	0.0	0.0	49.0	8.0	8.0	0.0	0.0	4.0	5.0	6.0	42.0	9.0	19.0	0.0	3014.0	39.0	2.0	6.0	6.0	46.0	11.0	41.0	10.0	4.0	2.0	9.0	2.0	0.0	33.0	1715.0	16.0	24.0	6.0	2.0	1.0	0.0	2.0	26.0	3.0	15.0	907.0	2.0	38.0	1679.0
cooS_435851565	1.0	0.0	0.0	0.0	0.0	50.0	0.0	1.0	0.0	3.0	0.0	11.0	42.0	1.0	0.0	0.0	1.0	1.0	98.0	0.0	1.0	0.0	0.0	0.0	2.0	57.0	9.0	0.0	0.0	98.0	0.0	13.0	2.0	90.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	3.0	3.0	44.0	1.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
cooS_WP_044665690.1	0.0	2817.0	7.0	104.0	4165.0	0.0	1.0	343.0	0.0	0.0	5826.0	6.0	0.0	395.0	104.0	2.0	2632.0	169.0	0.0	3321.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	2.0	0.0	8.0	0.0	3851.0	27.0	17.0	0.0	0.0	0.0	20.0	13.0	0.0	2.0	457.0	0.0	0.0	1.0	31.0	2707.0	17.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	3436.0	2.0	0.0	3304.0
cooS_397781426	0.0	60.0	2.0	1.0	85.0	0.0	1.0	0.0	0.0	0.0	1257.0	0.0	0.0	4.0	0.0	4.0	46.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	252.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	950.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	923.0	0.0	0.0	19.0
cooS_A0A354FDG0	0.0	88.0	0.0	214.0	187.0	0.0	1.0	670.0	2.0	0.0	75.0	0.0	0.0	641.0	135.0	6.0	125.0	334.0	0.0	97.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0	164.0	5.0	32.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	929.0	0.0	0.0	0.0	4.0	47.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	4.0	147.0
cooS_A0A2I0P4E6	0.0	22.0	2.0	2.0	20.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	16.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	38.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	2.0	0.0	6.0
cooS_A0A1M4MMT7	2.0	2.0	14.0	0.0	4.0	0.0	8.0	0.0	2.0	0.0	6.0	11.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	4.0	17.0	0.0	4.0	0.0	0.0	4.0	0.0	4.0	19.0	0.0	4.0	10.0	0.0	6.0	0.0	6.0	22.0	3.0	4.0	0.0	0.0	3.0	1.0	0.0	5.0	0.0	1.0	2.0	0.0	19.0	4.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	2.0	0.0
cooS_865861.AZSU01000002_gene2741	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	3.0	2.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0
cooS_WP_067074446.1	0.0	34.0	2.0	0.0	34.0	0.0	2.0	1.0	0.0	0.0	20.0	6.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	20.0	0.0	0.0	2.0	4.0	9.0	5.0	2.0	0.0	0.0	2.0	4.0	0.0	13.0	2.0	35.0	4.0	0.0	1.0	0.0	4.0	8.0	2.0	10.0	0.0	0.0	4.0	0.0	0.0	1.0	18.0	0.0	13.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	5.0	0.0	6.0	20.0
cooS_A0A3B9M299	1.0	0.0	0.0	112.0	0.0	0.0	0.0	390.0	0.0	0.0	2.0	0.0	0.0	287.0	61.0	0.0	0.0	96.0	7.0	0.0	0.0	51.0	0.0	1.0	0.0	0.0	0.0	0.0	18.0	2.0	0.0	68.0	0.0	0.0	0.0	3.0	22.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	1.0	14.0	0.0	0.0	15.0	2.0	1.0
cooS_mthr_MSTHT_0128	1.0	0.0	348.0	0.0	0.0	0.0	2225.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	365.0	0.0	0.0	0.0	2.0	7812.0	3.0	0.0	0.0	0.0	0.0	4412.0	0.0	2815.0	2.0	0.0	0.0	325.0	0.0	3192.0	0.0	0.0	4.0	1.0	12962.0	0.0	0.0	10348.0	0.0	0.0	216.0	0.0	298.0	1192.0	0.0	1.0	3.0	0.0	2346.0	0.0	801.0	0.0	0.0	2.0	0.0	0.0
cooS_1301100.HG529407_gene251	2.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	12.0	16.0	0.0	0.0	0.0	3.0	0.0	20.0	2.0	0.0	0.0	0.0	0.0	6.0	9.0	1.0	0.0	0.0	54.0	0.0	8.0	3.0	12.0	2.0	1.0	0.0	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	9.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cooS_21226223	0.0	1.0	0.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	1.0	10.0	7.0	0.0	0.0	0.0	0.0	1.0	248.0	0.0	0.0	0.0	0.0	0.0	7.0	15.0	9.0	0.0	0.0	36.0	0.0	1.0	0.0	23.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	95.0	0.0	7.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
cooS_A0A2N2PW33	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1.0	0.0	0.0	0.0	101.0	165.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	48.0	93.0	36.0	0.0	0.0	76.0	0.0	2.0	3.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	25.0	31.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
cooS_21228403	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	2.0	14.0	0.0	0.0	0.0	1.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	43.0	0.0	2.0	2.0	32.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	99.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cooS_116750300	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cooS_445973.CLOBAR_01276	0.0	2.0	1.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	2.0	0.0	0.0	51.0	0.0	12.0	1.0	20.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cooS_1511.CLOST_1160	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cooS_mvc_MSVAZ_2289	0.0	0.0	1087.0	42.0	0.0	1.0	2498.0	54.0	0.0	0.0	1.0	2.0	0.0	55.0	9.0	0.0	1.0	78.0	3510.0	5.0	0.0	8.0	0.0	308.0	812.0	1.0	0.0	0.0	7.0	63.0	0.0	238.0	4766.0	0.0	0.0	2558.0	17.0	1919.0	0.0	0.0	7258.0	0.0	438.0	0.0	64.0	766.0	0.0	0.0	1094.0	2.0	835.0	2300.0	0.0	2943.0	59.0	1.0	885.0	0.0	1150.0	0.0	0.0	14.0	0.0	2.0
cooS_438001522	2.0	31.0	9.0	68.0	24.0	0.0	8.0	24.0	10.0	0.0	48.0	6.0	0.0	55.0	43.0	42.0	2.0	121.0	5.0	1.0	2.0	243.0	16.0	2.0	4.0	2.0	0.0	1.0	166.0	0.0	45.0	8.0	6.0	0.0	86.0	26.0	137.0	2.0	2.0	17.0	12.0	38.0	0.0	2.0	119.0	5.0	11.0	5.0	2.0	64.0	21.0	8.0	6.0	0.0	4.0	13.0	0.0	22.0	31.0	2.0	0.0	161.0	40.0	2.0
cooS_mhor_MSHOH_2496	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cooS_mvc_MSVAZ_2495	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
