	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
echB_397780702	6.0	840.0	10.0	6.0	2018.0	11.0	18.0	0.0	12.0	2.0	1383.0	20.0	0.0	2.0	1.0	11.0	1367.0	2.0	13.0	1651.0	1.0	3.0	41.0	4.0	12.0	33.0	2.0	6.0	1.0	7.0	23.0	7.0	17.0	19.0	1380.0	30.0	3.0	4.0	0.0	18.0	18.0	17.0	4.0	6.0	2.0	11.0	3.0	3.0	14.0	766.0	10.0	16.0	1.0	8.0	13.0	1.0	1.0	9.0	4.0	11.0	379.0	5.0	16.0	812.0
echB_WP_044664483.1	1.0	2203.0	23.0	264.0	3401.0	0.0	12.0	596.0	1.0	2.0	4616.0	0.0	0.0	667.0	167.0	0.0	2329.0	353.0	3.0	2250.0	4.0	14.0	0.0	1.0	8.0	0.0	0.0	1.0	35.0	1.0	2.0	0.0	20.0	0.0	2948.0	176.0	36.0	0.0	0.0	2.0	45.0	168.0	0.0	2.0	832.0	8.0	0.0	0.0	55.0	2183.0	38.0	17.0	0.0	16.0	2.0	0.0	2.0	0.0	0.0	0.0	1742.0	13.0	0.0	2575.0
echB_126178313	4.0	1.0	55.0	360.0	4.0	1.0	96.0	345.0	9.0	3.0	3.0	0.0	0.0	502.0	82.0	16.0	1.0	316.0	0.0	2.0	2.0	80.0	16.0	99.0	4.0	0.0	0.0	2.0	48.0	0.0	10.0	0.0	14.0	0.0	2.0	25.0	89.0	0.0	1.0	14.0	15.0	57.0	91.0	6.0	414.0	114.0	5.0	2.0	17.0	4.0	40.0	113.0	1.0	6.0	0.0	2.0	0.0	3.0	0.0	5.0	5.0	37.0	22.0	2.0
echB_452210838	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	0.0	18.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
echB_mthe_MSTHC_0976	0.0	0.0	152.0	0.0	0.0	0.0	913.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	165.0	0.0	0.0	1.0	1.0	2933.0	0.0	0.0	0.0	0.0	1.0	2237.0	0.0	1317.0	0.0	0.0	0.0	203.0	0.0	1403.0	0.0	0.0	7.0	0.0	7404.0	0.0	0.0	4962.0	0.0	0.0	75.0	0.0	72.0	458.0	0.0	0.0	0.0	0.0	1224.0	0.0	293.0	0.0	2.0	0.0	0.0	0.0
echB_mby_MSBRM_2807	0.0	0.0	65.0	0.0	0.0	0.0	108.0	8.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	7.0	252.0	0.0	0.0	0.0	0.0	9.0	39.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	272.0	0.0	0.0	132.0	1.0	115.0	0.0	0.0	377.0	0.0	27.0	0.0	19.0	52.0	0.0	0.0	64.0	0.0	31.0	103.0	0.0	155.0	7.0	0.0	54.0	0.0	77.0	0.0	1.0	0.0	0.0	0.0
echB_mvc_MSVAZ_0936	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
echB_73667701	0.0	0.0	379.0	23.0	0.0	0.0	860.0	43.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	1.0	31.0	1753.0	0.0	0.0	1.0	0.0	107.0	241.0	2.0	0.0	0.0	2.0	41.0	0.0	104.0	1693.0	0.0	0.0	974.0	7.0	720.0	0.0	0.0	2983.0	0.0	188.0	0.0	17.0	342.0	0.0	0.0	434.0	0.0	271.0	731.0	0.0	1092.0	46.0	0.0	332.0	0.0	485.0	0.0	0.0	5.0	0.0	0.0
echB_397780702_m01	1.0	32.0	0.0	0.0	41.0	0.0	2.0	0.0	0.0	0.0	676.0	0.0	0.0	0.0	0.0	2.0	23.0	0.0	0.0	37.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	129.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	591.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	514.0	0.0	1.0	26.0
echB_73667701_m01	0.0	0.0	8.0	3.0	0.0	6.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	42.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	1.0	5.0	0.0	1.0	54.0	3.0	0.0	12.0	0.0	18.0	0.0	0.0	67.0	0.0	2.0	0.0	9.0	4.0	0.0	0.0	9.0	0.0	9.0	12.0	0.0	25.0	3.0	0.0	9.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
