	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ehaH_126179126	2.0	2.0	34.0	212.0	0.0	0.0	73.0	241.0	8.0	0.0	6.0	2.0	0.0	336.0	52.0	11.0	1.0	238.0	0.0	3.0	1.0	48.0	3.0	70.0	5.0	0.0	0.0	5.0	56.0	2.0	14.0	0.0	10.0	0.0	1.0	15.0	73.0	0.0	4.0	23.0	14.0	29.0	71.0	0.0	231.0	87.0	1.0	1.0	10.0	3.0	33.0	59.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	4.0	16.0	8.0	1.0
ehaH_509155038	0.0	71.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	51.0	29.0	0.0	53.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	41.0
ehaH_WP_048073384.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	5.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	14.0	0.0	0.0	6.0	0.0	1.0	19.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
ehaH_1220534.B655_0797	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0
ehaH_126179126_m01	0.0	33.0	2.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	508.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	36.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	89.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	396.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	3.0	12.0
ehaH_509155038_m01	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0
ehaH_1220534.B655_0797_m01	1.0	309.0	0.0	4.0	512.0	0.0	2.0	10.0	9.0	3.0	370.0	0.0	0.0	6.0	3.0	9.0	291.0	0.0	3.0	184.0	2.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	2.0	5.0	19.0	0.0	1.0	0.0	274.0	0.0	1.0	0.0	0.0	1.0	4.0	33.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	209.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	4.0	212.0	0.0	17.0	290.0
ehaH_1220534.B655_0797_m02	0.0	1560.0	0.0	6.0	2784.0	1.0	9.0	34.0	57.0	18.0	2101.0	3.0	1.0	33.0	7.0	81.0	1796.0	2.0	4.0	1004.0	9.0	0.0	42.0	1.0	0.0	1.0	1.0	0.0	1.0	5.0	122.0	20.0	3.0	0.0	1721.0	0.0	3.0	0.0	0.0	15.0	6.0	179.0	6.0	10.0	59.0	0.0	0.0	0.0	0.0	1371.0	0.0	4.0	0.0	0.0	1.0	0.0	9.0	40.0	0.0	15.0	1211.0	1.0	105.0	1342.0
ehaH_1220534.B655_0797_m03	0.0	30.0	0.0	0.0	68.0	1.0	0.0	3.0	0.0	1.0	54.0	1.0	0.0	0.0	0.0	0.0	31.0	1.0	4.0	20.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	29.0	0.0	4.0	31.0
ehaH_1220534.B655_0797_m04	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	9.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
