	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ehaJ_126179128	4.0	4.0	29.0	129.0	2.0	0.0	38.0	116.0	5.0	5.0	14.0	0.0	0.0	200.0	25.0	2.0	2.0	130.0	0.0	1.0	0.0	32.0	1.0	42.0	2.0	0.0	0.0	0.0	34.0	0.0	4.0	0.0	10.0	0.0	5.0	11.0	30.0	0.0	4.0	8.0	9.0	15.0	17.0	2.0	167.0	27.0	2.0	2.0	9.0	13.0	14.0	32.0	1.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	11.0	5.0	2.0	3.0
ehaJ_WP_048073386.1	0.0	16.0	0.0	0.0	27.0	2.0	0.0	0.0	1.0	0.0	21.0	15.0	6.0	0.0	0.0	0.0	12.0	0.0	17.0	13.0	0.0	2.0	1.0	0.0	5.0	3.0	13.0	0.0	0.0	3.0	1.0	4.0	19.0	2.0	10.0	2.0	0.0	5.0	0.0	0.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	20.0	0.0	0.0	0.0	21.0	2.0	0.0	3.0	0.0	12.0	0.0	20.0	0.0	4.0	17.0
ehaJ_397780414	2.0	928.0	14.0	6.0	1936.0	0.0	23.0	14.0	21.0	0.0	1367.0	6.0	0.0	66.0	3.0	25.0	1382.0	11.0	0.0	1677.0	0.0	7.0	22.0	1.0	8.0	0.0	5.0	0.0	2.0	0.0	11.0	2.0	14.0	0.0	1411.0	27.0	10.0	0.0	0.0	26.0	7.0	19.0	7.0	6.0	46.0	6.0	6.0	4.0	22.0	764.0	14.0	12.0	2.0	5.0	1.0	3.0	1.0	6.0	6.0	12.0	421.0	1.0	11.0	920.0
ehaJ_509155036	0.0	105.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	49.0	40.0	0.0	59.0	0.0	0.0	66.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	102.0
ehaJ_1220534.B655_0799	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	19.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ehaJ_126179128_m01	0.0	22.0	1.0	0.0	21.0	0.0	0.0	0.0	1.0	0.0	397.0	2.0	0.0	0.0	0.0	0.0	23.0	0.0	2.0	40.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	85.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	261.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	8.0
ehaJ_WP_048073386.1_m01	0.0	2699.0	0.0	15.0	4761.0	3.0	8.0	50.0	94.0	25.0	3389.0	5.0	0.0	64.0	33.0	122.0	2917.0	15.0	14.0	1559.0	7.0	2.0	50.0	2.0	0.0	1.0	0.0	4.0	0.0	14.0	166.0	31.0	0.0	0.0	2703.0	0.0	13.0	0.0	0.0	14.0	8.0	303.0	5.0	20.0	63.0	5.0	2.0	0.0	0.0	2127.0	2.0	2.0	4.0	4.0	1.0	3.0	12.0	78.0	0.0	18.0	2043.0	2.0	189.0	2289.0
ehaJ_509155036_m01	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
ehaJ_126179128_m02	2.0	13.0	8.0	31.0	16.0	0.0	4.0	16.0	2.0	1.0	289.0	0.0	0.0	25.0	3.0	1.0	15.0	21.0	0.0	13.0	0.0	4.0	0.0	8.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	51.0	4.0	8.0	0.0	0.0	0.0	2.0	2.0	5.0	0.0	25.0	8.0	0.0	0.0	0.0	226.0	1.0	7.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	188.0	2.0	1.0	3.0
ehaJ_126179128_m03	0.0	3.0	29.0	128.0	0.0	0.0	31.0	138.0	10.0	3.0	1.0	1.0	0.0	153.0	23.0	4.0	2.0	94.0	0.0	0.0	0.0	15.0	2.0	42.0	0.0	0.0	0.0	4.0	39.0	0.0	3.0	0.0	2.0	0.0	0.0	2.0	37.0	2.0	0.0	4.0	4.0	6.0	61.0	1.0	115.0	46.0	0.0	0.0	0.0	8.0	16.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	4.0	0.0	0.0
