	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ehbE_1220534.B655_0625	0.0	464.0	2.0	1.0	717.0	1.0	2.0	10.0	14.0	10.0	498.0	0.0	0.0	8.0	6.0	28.0	458.0	0.0	0.0	213.0	4.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	32.0	2.0	1.0	0.0	399.0	0.0	2.0	1.0	0.0	6.0	0.0	63.0	1.0	3.0	12.0	0.0	0.0	0.0	0.0	330.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	7.0	0.0	8.0	303.0	0.0	34.0	358.0
ehbE_509155659	0.0	33.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	22.0	16.0	0.0	16.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	26.0
ehbE_202956.BBNL01000002_gene1192	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ehbE_566003797	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	2.0	0.0	0.0	6.0	0.0	2.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
ehbE_521719.ATXQ01000005_gene1468	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
ehbE_1220534.B655_0625_m01	0.0	475.0	0.0	1.0	787.0	0.0	0.0	3.0	11.0	13.0	549.0	0.0	0.0	9.0	2.0	10.0	527.0	0.0	2.0	299.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	30.0	9.0	0.0	0.0	533.0	0.0	2.0	1.0	0.0	3.0	2.0	49.0	0.0	0.0	16.0	1.0	0.0	0.0	0.0	458.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	6.0	0.0	6.0	328.0	2.0	27.0	368.0
ehbE_509155659_m01	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	5.0
ehbE_1220534.B655_0625_m02	0.0	23.0	0.0	0.0	35.0	0.0	0.0	1.0	0.0	1.0	24.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	14.0	0.0	3.0	23.0
ehbE_1220534.B655_0625_m03	0.0	50.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	1.0	0.0	0.0	51.0	0.0	0.0	23.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	34.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	22.0	0.0	3.0	56.0
ehbE_1220534.B655_0625_m04	0.0	25.0	0.0	0.0	40.0	1.0	0.0	1.0	0.0	1.0	27.0	0.0	0.0	0.0	1.0	1.0	23.0	0.0	1.0	9.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	17.0	0.0	3.0	21.0
