	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ehbM_509155651	0.0	48.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	20.0	17.0	0.0	17.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	25.0
ehbM_1220534.B655_1776	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	68.0	15.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	15.0	29.0	22.0	0.0	2.0	72.0	0.0	58.0	46.0	11.0	0.0	0.0	0.0	45.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	43.0	31.0	0.0	42.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
ehbM_WP_048072625.1	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	8.0	0.0	0.0	6.0	0.0	2.0	12.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
ehbM_566003789	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	3.0	0.0	0.0	3.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0
ehbM_509155651_m01	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
ehbM_1220534.B655_1776_m01	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	19.0	39.0	0.0	0.0	0.0	1.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	14.0	0.0	0.0	35.0	0.0	11.0	10.0	8.0	0.0	0.0	0.0	15.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	11.0	13.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
ehbM_1220534.B655_1776_m02	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	6.0	8.0	10.0	0.0	0.0	22.0	0.0	12.0	7.0	2.0	0.0	0.0	0.0	12.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	11.0	14.0	0.0	9.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
ehbM_1220534.B655_1776_m03	0.0	0.0	0.0	0.0	0.0	98.0	0.0	2.0	0.0	0.0	0.0	235.0	58.0	0.0	0.0	0.0	0.0	2.0	822.0	0.0	0.0	0.0	0.0	0.0	114.0	103.0	151.0	0.0	0.0	347.0	0.0	199.0	229.0	37.0	0.0	0.0	0.0	194.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	191.0	168.0	0.0	190.0	0.0	120.0	0.0	0.0	2.0	0.0	0.0
ehbM_566003789_m01	1.0	854.0	0.0	2.0	1619.0	0.0	5.0	15.0	31.0	11.0	1159.0	0.0	0.0	18.0	10.0	55.0	902.0	2.0	0.0	576.0	1.0	0.0	12.0	1.0	0.0	0.0	0.0	1.0	1.0	4.0	64.0	17.0	0.0	0.0	924.0	0.0	1.0	0.0	1.0	10.0	5.0	82.0	0.0	7.0	19.0	3.0	0.0	0.0	0.0	844.0	0.0	1.0	0.0	0.0	2.0	1.0	5.0	21.0	0.0	13.0	642.0	2.0	75.0	642.0
ehbM_1220534.B655_1776_m04	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	1.0	0.0	0.0	17.0	0.0	6.0	5.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
ehbM_566003789_m02	0.0	44.0	0.0	0.0	101.0	0.0	0.0	1.0	1.0	0.0	58.0	1.0	0.0	5.0	0.0	0.0	47.0	0.0	4.0	35.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	66.0	0.0	0.0	0.0	1.0	0.0	4.0	8.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	35.0	0.0	3.0	60.0
ehbM_566003789_m03	0.0	28.0	0.0	0.0	80.0	0.0	0.0	1.0	2.0	1.0	55.0	0.0	0.0	0.0	0.0	6.0	40.0	1.0	1.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	42.0	0.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	48.0	0.0	4.0	40.0
