	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ehbN_509155650	0.0	223.0	0.0	2.0	194.0	0.0	0.0	0.0	2.0	0.0	126.0	0.0	0.0	106.0	67.0	0.0	111.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	376.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	98.0
ehbN_84490225	0.0	17.0	0.0	0.0	21.0	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
ehbN_WP_048072624.1	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	304.0	81.0	0.0	0.0	0.0	3.0	0.0	589.0	0.0	0.0	0.0	0.0	0.0	150.0	96.0	208.0	0.0	0.0	295.0	0.0	184.0	234.0	26.0	0.0	2.0	0.0	186.0	0.0	0.0	439.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	336.0	114.0	0.0	133.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0
ehbN_WP_060538044.1	1.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	32.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	17.0	2.0	28.0	0.0	0.0	17.0	0.0	5.0	25.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
ehbN_1220534.B655_1775_m01	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	16.0	0.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	12.0	0.0	0.0	17.0	0.0	5.0	6.0	1.0	0.0	0.0	1.0	11.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	8.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
ehbN_1220534.B655_1775_m02	0.0	55.0	0.0	0.0	74.0	0.0	0.0	1.0	0.0	0.0	55.0	0.0	1.0	4.0	0.0	2.0	48.0	0.0	7.0	38.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0	3.0	3.0	0.0	3.0	40.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	31.0	0.0	1.0	29.0
ehbN_1220534.B655_1775_m03	6.0	3644.0	0.0	15.0	6389.0	8.0	19.0	82.0	131.0	45.0	4588.0	6.0	0.0	85.0	50.0	171.0	3844.0	15.0	12.0	2312.0	20.0	0.0	65.0	2.0	2.0	1.0	1.0	0.0	8.0	14.0	239.0	65.0	2.0	1.0	3455.0	0.0	8.0	0.0	0.0	30.0	22.0	417.0	7.0	39.0	115.0	16.0	2.0	1.0	0.0	3111.0	0.0	0.0	5.0	0.0	4.0	11.0	15.0	89.0	4.0	29.0	2508.0	7.0	240.0	2803.0
ehbN_1220534.B655_1775_m04	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	1.0	0.0	0.0	14.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ehbN_WP_048072624.1_m01	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	49.0	99.0	0.0	0.0	0.0	0.0	1.0	143.0	0.0	0.0	0.0	0.0	0.0	21.0	31.0	30.0	0.0	0.0	102.0	0.0	27.0	25.0	8.0	0.0	1.0	0.0	45.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	30.0	23.0	0.0	26.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
ehbN_1220534.B655_1775_m05	0.0	9.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	1.0	0.0	0.0	0.0	7.0	0.0	6.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	4.0	0.0	5.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	6.0	0.0	0.0	3.0
