	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ehbO_509155649	0.0	146.0	0.0	0.0	147.0	0.0	0.0	0.0	1.0	0.0	44.0	0.0	0.0	80.0	58.0	0.0	74.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	99.0
ehbO_WP_048072623.1	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	26.0	7.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	32.0	0.0	1.0	12.0	0.0	8.0	26.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	25.0	4.0	0.0	11.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
ehbO_1220534.B655_1774	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	69.0	67.0	0.0	0.0	0.0	1.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	28.0	30.0	50.0	0.0	0.0	121.0	0.0	34.0	46.0	29.0	0.0	0.0	0.0	39.0	0.0	0.0	47.0	0.0	0.0	0.0	1.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	51.0	27.0	0.0	35.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
ehbO_1220534.B655_1774_m01	0.0	492.0	0.0	1.0	929.0	4.0	2.0	5.0	15.0	2.0	668.0	28.0	4.0	12.0	6.0	31.0	532.0	0.0	52.0	329.0	2.0	1.0	17.0	0.0	6.0	6.0	12.0	0.0	0.0	24.0	45.0	23.0	24.0	5.0	539.0	0.0	1.0	9.0	0.0	2.0	26.0	51.0	1.0	4.0	6.0	0.0	0.0	9.0	0.0	419.0	1.0	0.0	1.0	22.0	11.0	0.0	14.0	12.0	6.0	6.0	340.0	1.0	41.0	422.0
ehbO_1220534.B655_1774_m02	0.0	976.0	0.0	1.0	1666.0	11.0	0.0	18.0	19.0	8.0	1333.0	8.0	3.0	17.0	5.0	38.0	1098.0	5.0	68.0	645.0	0.0	0.0	15.0	0.0	6.0	3.0	3.0	0.0	0.0	42.0	62.0	39.0	8.0	3.0	988.0	0.0	9.0	15.0	2.0	6.0	10.0	115.0	0.0	8.0	11.0	0.0	0.0	2.0	0.0	792.0	0.0	0.0	0.0	7.0	13.0	3.0	25.0	18.0	11.0	3.0	605.0	2.0	45.0	784.0
ehbO_1220534.B655_1774_m03	0.0	345.0	0.0	0.0	542.0	1.0	0.0	11.0	11.0	3.0	438.0	2.0	0.0	9.0	2.0	13.0	415.0	0.0	7.0	180.0	2.0	0.0	11.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	34.0	2.0	1.0	2.0	284.0	0.0	0.0	6.0	2.0	1.0	6.0	36.0	0.0	2.0	12.0	0.0	0.0	0.0	0.0	268.0	0.0	0.0	0.0	2.0	1.0	0.0	5.0	6.0	0.0	3.0	210.0	0.0	31.0	273.0
ehbO_1220534.B655_1774_m04	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	1.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	8.0	0.0	0.0	23.0	0.0	7.0	8.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	0.0	19.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
ehbO_1220534.B655_1774_m05	0.0	0.0	0.0	0.0	0.0	383.0	0.0	2.0	0.0	0.0	0.0	871.0	209.0	0.0	0.0	0.0	0.0	0.0	2854.0	0.0	0.0	0.0	0.0	0.0	345.0	456.0	536.0	0.0	2.0	1255.0	0.0	782.0	831.0	79.0	0.0	0.0	3.0	731.0	0.0	0.0	1077.0	0.0	0.0	0.0	1.0	0.0	0.0	258.0	4.0	0.0	0.0	3.0	0.0	696.0	599.0	0.0	609.0	0.0	465.0	0.0	0.0	0.0	0.0	0.0
ehbO_1220534.B655_1774_m06	0.0	10.0	0.0	1.0	24.0	18.0	0.0	0.0	1.0	1.0	15.0	3.0	1.0	0.0	0.0	0.0	16.0	0.0	51.0	8.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	32.0	2.0	8.0	1.0	4.0	19.0	0.0	0.0	3.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	3.0	6.0	0.0	10.0	1.0	8.0	1.0	7.0	0.0	2.0	11.0
ehbO_1220534.B655_1774_m07	0.0	762.0	2.0	4.0	1409.0	1.0	2.0	18.0	36.0	4.0	1101.0	2.0	0.0	26.0	7.0	55.0	872.0	6.0	5.0	479.0	12.0	0.0	14.0	4.0	0.0	0.0	0.0	0.0	2.0	6.0	61.0	12.0	0.0	0.0	790.0	2.0	4.0	0.0	0.0	6.0	6.0	91.0	4.0	8.0	37.0	9.0	0.0	1.0	0.0	589.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	20.0	2.0	7.0	626.0	0.0	41.0	723.0
