	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fmdB_330506522	513.0	0.0	2.0	0.0	1.0	191.0	0.0	0.0	0.0	1476.0	2.0	393.0	200.0	0.0	2.0	0.0	6.0	0.0	131.0	0.0	723.0	2.0	0.0	0.0	252.0	363.0	185.0	1000.0	2.0	225.0	2.0	37.0	51.0	327.0	4.0	0.0	0.0	14.0	771.0	0.0	50.0	6.0	0.0	1458.0	0.0	0.0	2446.0	910.0	0.0	0.0	0.0	1.0	1197.0	79.0	257.0	924.0	14.0	2.0	102.0	0.0	0.0	0.0	0.0	0.0
fmdB_386001971	629.0	1.0	4382.0	0.0	0.0	0.0	4220.0	0.0	18.0	378.0	0.0	32.0	5.0	0.0	0.0	288.0	2.0	0.0	0.0	0.0	158.0	2.0	13.0	748.0	151.0	0.0	13.0	717.0	0.0	0.0	18.0	0.0	31.0	1.0	1.0	4209.0	0.0	0.0	250.0	14.0	62.0	269.0	538.0	212.0	1.0	823.0	166.0	33.0	2085.0	2.0	2258.0	4428.0	406.0	59.0	0.0	334.0	0.0	88.0	0.0	3.0	0.0	0.0	35.0	0.0
fmdB_435850926	2.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	6.0	0.0	5.0	31.0	0.0	2.0	0.0	0.0	2.0	73.0	0.0	9.0	0.0	0.0	0.0	0.0	41.0	5.0	0.0	0.0	66.0	0.0	3.0	10.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	2.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	4.0	2.0	26.0	0.0	11.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
fmdB_73669269	0.0	0.0	370.0	30.0	0.0	7.0	863.0	32.0	0.0	0.0	0.0	0.0	0.0	45.0	1.0	0.0	0.0	33.0	1140.0	0.0	0.0	0.0	0.0	106.0	324.0	1.0	0.0	0.0	2.0	44.0	0.0	88.0	1811.0	6.0	0.0	802.0	15.0	810.0	0.0	0.0	2371.0	0.0	117.0	0.0	38.0	293.0	0.0	0.0	404.0	0.0	314.0	860.0	0.0	959.0	32.0	0.0	309.0	0.0	513.0	0.0	0.0	1.0	0.0	0.0
fmdB_21227671	1.0	0.0	295.0	24.0	0.0	2.0	873.0	16.0	0.0	0.0	0.0	0.0	0.0	31.0	1.0	0.0	0.0	16.0	348.0	0.0	0.0	0.0	0.0	78.0	206.0	1.0	0.0	0.0	0.0	18.0	0.0	58.0	1182.0	3.0	0.0	568.0	8.0	460.0	0.0	0.0	1744.0	0.0	106.0	0.0	19.0	185.0	0.0	0.0	282.0	0.0	243.0	767.0	0.0	635.0	2.0	0.0	215.0	0.0	284.0	0.0	0.0	0.0	0.0	0.0
fmdB_mbak_MSBR3_0153	0.0	0.0	137.0	2.0	0.0	0.0	414.0	12.0	0.0	0.0	0.0	2.0	0.0	15.0	0.0	0.0	0.0	9.0	330.0	0.0	0.0	2.0	0.0	904.0	90.0	0.0	0.0	0.0	2.0	531.0	0.0	383.0	600.0	2.0	0.0	311.0	2.0	552.0	0.0	0.0	793.0	1.0	1950.0	0.0	15.0	1193.0	0.0	0.0	136.0	0.0	119.0	345.0	0.0	296.0	3.0	0.0	351.0	0.0	214.0	0.0	0.0	4.0	0.0	0.0
fmdB_mek_MSKOL_2694	0.0	0.0	7.0	0.0	0.0	7.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	28.0	0.0	0.0	0.0	0.0	51.0	6.0	4.0	0.0	0.0	0.0	52.0	0.0	30.0	5.0	6.0	0.0	12.0	0.0	42.0	0.0	0.0	6.0	0.0	134.0	0.0	2.0	69.0	0.0	0.0	5.0	0.0	2.0	19.0	0.0	3.0	3.0	0.0	34.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
fmdB_mek_MSKOL_2715	0.0	0.0	0.0	1.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
fmdB_20090105	1.0	0.0	185.0	5.0	0.0	0.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	13.0	105.0	0.0	0.0	0.0	0.0	29.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	94.0	3.0	17.0	0.0	0.0	26.0	0.0	94.0	0.0	13.0	64.0	0.0	0.0	58.0	0.0	120.0	586.0	0.0	0.0	11.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
fmdB_mby_MSBRM_0643	1.0	0.0	134.0	0.0	0.0	1.0	847.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	2830.0	0.0	0.0	0.0	0.0	0.0	1910.0	0.0	1057.0	2.0	0.0	0.0	118.0	0.0	1232.0	0.0	0.0	0.0	0.0	5479.0	0.0	0.0	3786.0	0.0	0.0	91.0	0.0	100.0	447.0	0.0	0.0	0.0	0.0	929.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0
