	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fmdC_mfz_AOB57_008025	0.0	0.0	124.0	0.0	0.0	0.0	928.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	57.0	0.0	0.0	0.0	0.0	2910.0	0.0	0.0	0.0	0.0	0.0	1797.0	0.0	992.0	2.0	1.0	0.0	142.0	0.0	1240.0	0.0	0.0	2.0	0.0	5721.0	0.0	0.0	4155.0	0.0	0.0	81.0	0.0	102.0	489.0	0.0	0.0	0.0	0.0	890.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0
fmdC_21227669	0.0	0.0	21.0	0.0	0.0	2.0	40.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	8.0	29.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	121.0	1.0	0.0	67.0	0.0	40.0	0.0	0.0	144.0	0.0	5.0	0.0	3.0	14.0	0.0	0.0	26.0	0.0	15.0	48.0	0.0	52.0	13.0	0.0	13.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
fmdC_mbar_MSBR2_1989	0.0	0.0	15.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	3.0	61.0	0.0	0.0	0.0	0.0	11.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	77.0	0.0	0.0	44.0	0.0	46.0	0.0	0.0	111.0	0.0	7.0	0.0	0.0	13.0	0.0	0.0	12.0	0.0	18.0	51.0	0.0	36.0	1.0	0.0	9.0	0.0	29.0	0.0	0.0	1.0	0.0	0.0
fmdC_20089205	0.0	0.0	303.0	37.0	0.0	0.0	712.0	11.0	0.0	0.0	0.0	0.0	0.0	29.0	5.0	0.0	0.0	33.0	1387.0	0.0	0.0	2.0	0.0	101.0	195.0	0.0	0.0	0.0	4.0	28.0	0.0	91.0	1320.0	0.0	0.0	802.0	7.0	634.0	0.0	0.0	1975.0	0.0	97.0	0.0	11.0	214.0	0.0	0.0	359.0	0.0	299.0	759.0	0.0	771.0	23.0	0.0	251.0	0.0	338.0	0.0	0.0	6.0	0.0	0.0
fmdC_mek_MSKOL_3269	0.0	0.0	1.0	0.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	12.0	0.0	3.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	7.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
fmdC_mek_MSKOL_2692	1.0	0.0	18.0	1.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	5.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	66.0	9.0	0.0	50.0	1.0	33.0	0.0	0.0	72.0	0.0	0.0	0.0	2.0	16.0	0.0	0.0	16.0	0.0	15.0	26.0	0.0	28.0	0.0	0.0	13.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
fmdC_mthr_MSTHT_1767	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
fmdC_21227669_m01	0.0	0.0	7.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	30.0	9.0	1.0	0.0	0.0	10.0	0.0	0.0	144.0	9.0	0.0	27.0	0.0	5.0	0.0	0.0	159.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	8.0	4.0	0.0	93.0	27.0	0.0	3.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
fmdC_mek_MSKOL_2692_m01	0.0	0.0	2.0	7.0	0.0	8.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	9.0	126.0	0.0	0.0	1.0	0.0	2.0	1.0	6.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	7.0	0.0	4.0	4.0	8.0	0.0	0.0	9.0	0.0	8.0	0.0	4.0	34.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	8.0	11.0	0.0	2.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0
fmdC_mek_MSKOL_2692_m02	0.0	0.0	37.0	0.0	0.0	2.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	125.0	0.0	0.0	0.0	0.0	4.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	183.0	2.0	0.0	80.0	0.0	71.0	0.0	0.0	237.0	0.0	10.0	0.0	4.0	30.0	0.0	0.0	30.0	0.0	38.0	73.0	0.0	99.0	8.0	0.0	33.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
