	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fpoA_330508770	133.0	3.0	0.0	3.0	0.0	147.0	0.0	9.0	320.0	369.0	4.0	256.0	131.0	11.0	44.0	1256.0	5.0	8.0	123.0	0.0	253.0	8.0	631.0	0.0	113.0	173.0	94.0	302.0	18.0	154.0	572.0	19.0	27.0	294.0	3.0	0.0	22.0	8.0	109.0	550.0	96.0	1158.0	0.0	491.0	13.0	1.0	519.0	240.0	0.0	11.0	3.0	0.0	396.0	39.0	155.0	303.0	4.0	526.0	40.0	289.0	1.0	4.0	938.0	0.0
fpoA_386002098	148.0	0.0	1176.0	0.0	0.0	0.0	1353.0	0.0	1.0	112.0	0.0	23.0	3.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	46.0	0.0	3.0	234.0	29.0	0.0	1.0	215.0	0.0	0.0	4.0	0.0	18.0	0.0	0.0	1350.0	0.0	0.0	43.0	6.0	22.0	91.0	157.0	66.0	0.0	255.0	37.0	10.0	684.0	1.0	819.0	1406.0	145.0	12.0	0.0	98.0	0.0	19.0	0.0	1.0	0.0	0.0	18.0	0.0
fpoA_981327.F925_02924	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
fpoA_1035191.HMPREF0185_00837	3.0	1.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	3.0
fpoA_A0A1V5AUV6	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	9.0	12.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	3.0	30.0	3.0	0.0	0.0	94.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	1.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
fpoA_501479.ACNW01000083_gene3831	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	1.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	3.0	22.0	1.0	0.0	0.0	38.0	0.0	1.0	3.0	40.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
fpoA_435851605	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	1.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	13.0	0.0	1.0	4.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	4.0	10.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
fpoA_21228593	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fpoA_73670850	0.0	0.0	63.0	1.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	290.0	1.0	0.0	0.0	0.0	10.0	47.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	313.0	1.0	0.0	166.0	0.0	108.0	0.0	0.0	537.0	0.0	25.0	0.0	3.0	66.0	0.0	0.0	84.0	0.0	86.0	106.0	0.0	185.0	4.0	0.0	52.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0
fpoA_20090354	0.0	0.0	22.0	1.0	0.0	0.0	52.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	151.0	0.0	0.0	0.0	0.0	6.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	154.0	1.0	0.0	93.0	1.0	36.0	0.0	0.0	296.0	0.0	15.0	0.0	3.0	20.0	0.0	0.0	25.0	0.0	25.0	73.0	0.0	114.0	6.0	0.0	22.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
