	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fpoH_229821702	130.0	0.0	0.0	0.0	0.0	1055.0	0.0	0.0	0.0	112.0	1.0	356.0	67.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	16.0	0.0	0.0	0.0	628.0	1198.0	511.0	93.0	0.0	102.0	0.0	16.0	534.0	1909.0	0.0	0.0	0.0	25.0	83.0	0.0	128.0	2.0	0.0	7.0	0.0	0.0	2.0	65.0	0.0	1.0	0.0	0.0	102.0	129.0	165.0	48.0	8.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402	0.0	0.0	0.0	0.0	0.0	264.0	0.0	0.0	0.0	0.0	0.0	53.0	288.0	0.0	1.0	0.0	1.0	0.0	78.0	1.0	0.0	0.0	0.0	0.0	95.0	339.0	127.0	0.0	0.0	183.0	0.0	14.0	79.0	616.0	0.0	0.0	2.0	17.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	26.0	67.0	0.0	11.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m01	0.0	0.0	0.0	1.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	369.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	96.0	0.0	349.0	1.0	23.0	0.0	0.0	0.0	491.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	31.0	0.0	360.0	0.0	481.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m02	0.0	2.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	22.0	0.0	2.0	0.0	206.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m03	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	34.0	0.0	14.0	0.0	208.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	8.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m04	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	62.0	0.0	8.0	0.0	118.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	5.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m05	1.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0	0.0	70.0	0.0	2.0	0.0	31.0	0.0	2.0	1.0	89.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m06	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	6.0	43.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	23.0	116.0	9.0	0.0	0.0	47.0	0.0	6.0	9.0	171.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	1.0	32.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m07	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	2.0	39.0	4.0	0.0	0.0	6.0	0.0	3.0	0.0	75.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fpoH_767029.HMPREF9154_2402_m09	1.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	320.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	379.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
