	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fpoL_330508776	944.0	0.0	0.0	0.0	0.0	955.0	0.0	0.0	0.0	2159.0	14.0	1298.0	813.0	0.0	0.0	0.0	7.0	0.0	620.0	0.0	1372.0	2.0	0.0	0.0	627.0	897.0	742.0	1766.0	0.0	950.0	0.0	112.0	185.0	1348.0	7.0	7.0	0.0	43.0	1160.0	2.0	241.0	7.0	0.0	2845.0	0.0	0.0	4128.0	1593.0	2.0	0.0	0.0	1.0	2057.0	232.0	813.0	1914.0	43.0	3.0	263.0	0.0	0.0	0.0	0.0	0.0
fpoL_935839.JAGJ01000018_gene2345	70.0	0.0	0.0	0.0	0.0	578.0	1.0	0.0	0.0	74.0	2.0	256.0	26.0	0.0	0.0	0.0	1.0	0.0	76.0	0.0	2.0	0.0	0.0	0.0	369.0	629.0	295.0	34.0	0.0	68.0	0.0	21.0	240.0	987.0	0.0	0.0	0.0	12.0	43.0	0.0	68.0	0.0	0.0	9.0	0.0	0.0	0.0	31.0	0.0	1.0	2.0	0.0	46.0	75.0	99.0	38.0	19.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
fpoL_A0A5E4IXA3	531.0	0.0	4533.0	0.0	0.0	0.0	4296.0	0.0	13.0	430.0	2.0	32.0	0.0	0.0	0.0	267.0	0.0	0.0	0.0	0.0	147.0	1.0	13.0	724.0	121.0	0.0	17.0	758.0	0.0	0.0	25.0	0.0	48.0	0.0	0.0	4278.0	0.0	4.0	223.0	20.0	65.0	323.0	452.0	278.0	0.0	876.0	163.0	45.0	2095.0	0.0	2286.0	4689.0	401.0	45.0	0.0	408.0	0.0	71.0	0.0	5.0	0.0	0.0	47.0	0.0
fpoL_1122933.JNIY01000003_gene595	50.0	1.0	0.0	0.0	0.0	503.0	0.0	0.0	0.0	67.0	1.0	176.0	37.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	2.0	0.0	0.0	0.0	426.0	565.0	263.0	19.0	0.0	56.0	0.0	6.0	241.0	995.0	0.0	0.0	0.0	14.0	38.0	0.0	70.0	0.0	0.0	7.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	42.0	73.0	85.0	25.0	14.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
fpoL_435851596	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	2.0	0.0	4.0	23.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	2.0	0.0	0.0	67.0	0.0	4.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	37.0	1.0	12.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
fpoL_A0A1V4YG35	3.0	0.0	0.0	2.0	0.0	6.0	0.0	2.0	0.0	9.0	0.0	13.0	23.0	2.0	2.0	0.0	0.0	0.0	18.0	0.0	8.0	0.0	0.0	0.0	6.0	9.0	3.0	2.0	0.0	41.0	1.0	2.0	4.0	9.0	0.0	0.0	0.0	3.0	8.0	0.0	24.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	6.0	4.0	2.0	5.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
fpoL_1240349.ANGC01000026_gene3699	0.0	8.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	284.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	6.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
fpoL_69279.BG36_18265	0.0	6.0	0.0	0.0	32.0	102.0	7.0	0.0	0.0	0.0	24.0	5.0	28.0	0.0	1.0	0.0	20.0	0.0	107.0	6.0	0.0	0.0	0.0	0.0	9.0	175.0	10.0	0.0	0.0	175.0	2.0	15.0	9.0	217.0	4.0	2.0	0.0	27.0	5.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	0.0	6.0	0.0	2.0	1.0	6.0	53.0	1.0	10.0	0.0	13.0	1.0	0.0	0.0	2.0	9.0
fpoL_1035191.HMPREF0185_00824	0.0	7.0	0.0	0.0	54.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	4.0
fpoL_1380370.JIBA01000019_gene1012	0.0	0.0	1.0	0.0	0.0	81.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	43.0	3.0	9.0	2.0	124.0	0.0	1.0	0.0	13.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	29.0	0.0	7.0	0.0	16.0	0.0	0.0	1.0	0.0	0.0
