	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fpoM_1123034.JMKP01000004_gene1669	0.0	741.0	0.0	86.0	41.0	0.0	0.0	0.0	3558.0	0.0	20.0	2.0	0.0	6.0	0.0	1417.0	1.0	14.0	0.0	27.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	776.0	2.0	641.0	0.0	0.0	796.0	0.0	5826.0	0.0	0.0	4.0	0.0	21.0	2.0	12.0	22.0	1278.0	0.0	194.0	0.0	0.0	57.0	0.0	1129.0	0.0	1016.0	20.0	0.0	0.0	0.0
fpoM_1229204.AMYY01000001_gene2828	0.0	5.0	2.0	0.0	52.0	0.0	1.0	0.0	1.0	1.0	23.0	0.0	2.0	0.0	0.0	0.0	10.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	5.0
fpoM_470179764	0.0	2.0	0.0	0.0	1.0	67.0	0.0	0.0	1.0	0.0	10.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	3.0	91.0	1.0	0.0	0.0	26.0	0.0	2.0	7.0	151.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0
fpoM_1187851.A33M_2712	0.0	0.0	0.0	1.0	3.0	48.0	0.0	0.0	0.0	0.0	0.0	6.0	17.0	0.0	0.0	0.0	2.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	3.0	84.0	14.0	0.0	0.0	97.0	0.0	2.0	7.0	91.0	2.0	0.0	0.0	12.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	6.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
fpoM_1298608.JCM18900_12458	0.0	4.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1827.0	0.0	2.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	211.0	0.0	1.0	0.0	93.0	0.0	377.0	0.0	0.0	0.0	0.0	29.0	3.0	62.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	516.0	0.0	138.0	0.0	0.0	0.0	1.0	180.0	0.0	0.0	0.0	83.0	9.0	0.0	0.0	0.0
fpoM_1354303.M917_0788	0.0	13.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	11.0	0.0	0.0	0.0	0.0	26.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13737.0	0.0	275.0	0.0	0.0	0.0	0.0	422.0	0.0	0.0	0.0	79.0	26.0	0.0	0.0	0.0
fpoM_1123501.KB902276_gene1323	0.0	0.0	0.0	1.0	5.0	53.0	0.0	0.0	0.0	0.0	3.0	7.0	69.0	0.0	0.0	0.0	6.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	19.0	48.0	23.0	0.0	0.0	87.0	0.0	6.0	22.0	69.0	0.0	0.0	0.0	15.0	2.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	10.0	23.0	0.0	5.0	0.0	6.0	0.0	0.0	0.0	1.0	2.0
fpoM_316056.RPC_2416	0.0	1.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	1.0	2.0	8.0	1.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	98.0	0.0	7.0	6.0	85.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	18.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
fpoM_1122963.AUHB01000003_gene3778	0.0	5.0	0.0	0.0	13.0	103.0	2.0	0.0	0.0	0.0	5.0	2.0	27.0	0.0	0.0	0.0	5.0	1.0	54.0	0.0	0.0	0.0	0.0	1.0	2.0	150.0	10.0	0.0	0.0	142.0	0.0	6.0	5.0	204.0	2.0	0.0	0.0	15.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	47.0	0.0	6.0	0.0	21.0	0.0	2.0	0.0	1.0	1.0
fpoM_1123034.JMKP01000004_gene1669_m01	0.0	178.0	0.0	22.0	0.0	0.0	0.0	0.0	438.0	0.0	1134.0	0.0	0.0	1.0	0.0	174.0	2.0	0.0	0.0	58.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	2968.0	0.0	39.0	0.0	2.0	87.0	0.0	617.0	0.0	0.0	1.0	0.0	1485.0	460.0	0.0	1151.0	97.0	0.0	14.0	0.0	0.0	91.0	0.0	137.0	0.0	124.0	880.0	0.0	0.0	0.0
