	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fpoN_386002108	431.0	0.0	4910.0	0.0	0.0	0.0	4529.0	0.0	26.0	429.0	0.0	37.0	3.0	0.0	0.0	293.0	5.0	0.0	0.0	0.0	159.0	0.0	25.0	760.0	119.0	0.0	20.0	642.0	0.0	0.0	51.0	0.0	68.0	0.0	0.0	4396.0	1.0	0.0	209.0	15.0	60.0	303.0	486.0	229.0	0.0	894.0	118.0	41.0	2262.0	0.0	2405.0	4800.0	376.0	61.0	0.0	393.0	0.0	96.0	0.0	7.0	0.0	0.0	50.0	0.0
fpoN_330508778	659.0	0.0	2.0	0.0	2.0	771.0	0.0	0.0	0.0	1572.0	3.0	964.0	538.0	0.0	0.0	0.0	9.0	2.0	449.0	0.0	1015.0	0.0	0.0	0.0	493.0	732.0	573.0	1338.0	0.0	777.0	0.0	76.0	133.0	1076.0	1.0	0.0	0.0	36.0	801.0	0.0	151.0	7.0	0.0	1737.0	0.0	0.0	3196.0	1284.0	2.0	0.0	0.0	0.0	1410.0	140.0	700.0	1339.0	38.0	4.0	169.0	0.0	0.0	0.0	0.0	0.0
fpoN_435851594	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	3.0	15.0	0.0	1.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	7.0	0.0	0.0	67.0	2.0	21.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
fpoN_A0A1V4YFZ6	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	4.0	0.0	7.0	12.0	4.0	4.0	0.0	1.0	0.0	9.0	1.0	6.0	2.0	0.0	0.0	0.0	8.0	4.0	2.0	1.0	10.0	0.0	6.0	6.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	24.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	5.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
fpoN_mfz_AOB57_001435	0.0	0.0	286.0	0.0	0.0	0.0	1831.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	148.0	1.0	0.0	0.0	0.0	6545.0	4.0	0.0	0.0	0.0	0.0	3502.0	0.0	2136.0	4.0	0.0	1.0	282.0	0.0	2411.0	0.0	0.0	2.0	0.0	9653.0	0.0	0.0	8264.0	0.0	0.0	166.0	0.0	205.0	938.0	0.0	0.0	2.0	0.0	1872.0	0.0	456.0	0.0	0.0	0.0	0.0	0.0
fpoN_21228582	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	6.0	11.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	5.0	0.0	0.0	38.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
fpoN_A0A1V4Z777	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	72.0	60.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	48.0	42.0	0.0	0.0	32.0	0.0	1.0	2.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	19.0	14.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
fpoN_A0A1V5YEG4	1.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	3.0	0.0	0.0	114.0	0.0	4.0	0.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
fpoN_WP_048176189.1	0.0	0.0	177.0	8.0	0.0	10.0	181.0	19.0	0.0	0.0	0.0	0.0	0.0	19.0	2.0	2.0	0.0	12.0	940.0	2.0	0.0	4.0	0.0	39.0	131.0	11.0	0.0	0.0	8.0	10.0	0.0	29.0	1062.0	14.0	0.0	693.0	6.0	304.0	0.0	0.0	1908.0	0.0	81.0	0.0	29.0	172.0	0.0	0.0	232.0	0.0	176.0	298.0	0.0	679.0	31.0	0.0	140.0	0.0	290.0	0.0	0.0	8.0	0.0	0.0
fpoN_mek_MSKOL_1468	1.0	0.0	63.0	6.0	0.0	11.0	66.0	3.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	7.0	351.0	0.0	0.0	0.0	0.0	27.0	50.0	6.0	0.0	0.0	2.0	13.0	0.0	6.0	375.0	6.0	0.0	218.0	1.0	84.0	0.0	0.0	626.0	0.0	25.0	0.0	20.0	57.0	0.0	0.0	67.0	0.0	68.0	101.0	0.0	248.0	17.0	0.0	46.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0
