	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
frhA_397780544	0.0	250.0	1.0	1.0	483.0	0.0	5.0	0.0	8.0	2.0	513.0	0.0	0.0	0.0	0.0	14.0	377.0	0.0	2.0	484.0	0.0	0.0	16.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	14.0	1.0	2.0	0.0	395.0	7.0	1.0	0.0	0.0	6.0	4.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	251.0	0.0	2.0	1.0	0.0	3.0	1.0	2.0	7.0	2.0	9.0	177.0	0.0	12.0	197.0
frhA_WP_074174868.1	1.0	1308.0	13.0	7.0	2841.0	0.0	12.0	0.0	21.0	2.0	2086.0	0.0	0.0	3.0	0.0	25.0	1973.0	1.0	0.0	2292.0	2.0	2.0	18.0	4.0	6.0	0.0	0.0	12.0	2.0	6.0	15.0	2.0	9.0	0.0	1751.0	42.0	3.0	0.0	2.0	30.0	11.0	26.0	4.0	7.0	1.0	7.0	4.0	0.0	41.0	979.0	18.0	17.0	17.0	6.0	0.0	6.0	0.0	1.0	0.0	14.0	501.0	0.0	24.0	1317.0
frhA_A0A1V6KAH6	0.0	2.0	56.0	358.0	2.0	0.0	76.0	465.0	14.0	2.0	8.0	0.0	2.0	490.0	75.0	18.0	1.0	342.0	0.0	8.0	0.0	73.0	8.0	75.0	0.0	0.0	0.0	0.0	60.0	2.0	13.0	0.0	11.0	0.0	0.0	24.0	107.0	0.0	8.0	13.0	25.0	56.0	65.0	6.0	384.0	86.0	0.0	0.0	22.0	4.0	38.0	146.0	4.0	2.0	0.0	4.0	0.0	4.0	0.0	6.0	3.0	25.0	8.0	0.0
frhA_126180114	0.0	2.0	2.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	39.0	1.0	1.0	0.0	0.0	4.0	7.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	33.0	0.0	1.0	2.0
frhA_WP_066956032.1	0.0	0.0	0.0	4.0	0.0	14.0	1.0	3.0	0.0	0.0	0.0	5.0	5.0	7.0	0.0	0.0	1.0	2.0	11.0	0.0	0.0	1.0	0.0	1.0	12.0	48.0	3.0	0.0	2.0	1.0	0.0	2.0	13.0	24.0	0.0	1.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	8.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
frhA_A0A1V5ZF71	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	1.0	2.0	2.0	9.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	5.0	4.0	0.0	5.0	0.0	0.0
frhA_A0A2I0PA85	0.0	0.0	4.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	2.0	2.0	0.0	5.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	4.0	0.0	0.0	1.0	2.0	0.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	7.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
frhA_219850769	0.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0	0.0	0.0	16.0	54.0	0.0	1.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	18.0	878.0	16.0	0.0	0.0	204.0	0.0	12.0	2.0	461.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	6.0	223.0	0.0	14.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0
frhA_21229147	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	1.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	4.0	17.0	0.0	0.0	0.0	20.0	0.0	1.0	0.0	36.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	72.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
frhA_mhor_MSHOH_2436	0.0	0.0	329.0	12.0	0.0	0.0	883.0	28.0	0.0	0.0	0.0	0.0	0.0	24.0	2.0	0.0	0.0	26.0	809.0	0.0	0.0	6.0	0.0	88.0	193.0	3.0	0.0	0.0	6.0	20.0	0.0	102.0	1251.0	3.0	0.0	630.0	4.0	548.0	0.0	0.0	1752.0	0.0	136.0	0.0	16.0	226.0	0.0	0.0	317.0	0.0	299.0	830.0	0.0	899.0	16.0	0.0	216.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0
frhA_msj_MSSAC_0976	0.0	0.0	39.0	8.0	0.0	7.0	52.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	1.0	10.0	55.0	0.0	0.0	0.0	0.0	12.0	16.0	4.0	0.0	0.0	0.0	5.0	0.0	7.0	77.0	3.0	0.0	67.0	0.0	58.0	0.0	0.0	178.0	0.0	12.0	0.0	10.0	19.0	0.0	0.0	12.0	0.0	16.0	30.0	0.0	48.0	4.0	0.0	24.0	0.0	47.0	0.0	0.0	2.0	0.0	0.0
frhA_mbak_MSBR3_2973	0.0	0.0	147.0	8.0	0.0	3.0	292.0	22.0	0.0	0.0	0.0	0.0	0.0	25.0	2.0	0.0	1.0	27.0	704.0	2.0	0.0	4.0	0.0	42.0	153.0	2.0	0.0	0.0	2.0	14.0	0.0	61.0	884.0	0.0	0.0	406.0	4.0	356.0	0.0	1.0	1121.0	0.0	49.0	0.0	19.0	134.0	0.0	0.0	220.0	0.0	156.0	373.0	0.0	417.0	28.0	0.0	124.0	0.0	267.0	0.0	0.0	2.0	0.0	0.0
frhA_mfz_AOB57_006185	0.0	0.0	183.0	9.0	0.0	0.0	267.0	12.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	6.0	800.0	2.0	0.0	2.0	0.0	82.0	176.0	0.0	0.0	0.0	0.0	404.0	0.0	312.0	934.0	0.0	0.0	457.0	8.0	754.0	0.0	0.0	1219.0	0.0	75.0	0.0	14.0	172.0	0.0	0.0	190.0	0.0	161.0	407.0	0.0	490.0	25.0	0.0	370.0	0.0	314.0	0.0	0.0	4.0	0.0	0.0
frhA_mek_MSKOL_3073	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
frhA_mthe_MSTHC_1871	0.0	0.0	297.0	0.0	0.0	0.0	1617.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	5952.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	3.0	0.0	0.0	0.0	218.0	0.0	26.0	0.0	0.0	0.0	0.0	10608.0	0.0	0.0	7519.0	0.0	1.0	157.0	0.0	175.0	926.0	2.0	0.0	5.0	0.0	13.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0
frhA_73667999	0.0	0.0	16.0	0.0	0.0	8.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	69.0	0.0	0.0	0.0	0.0	3.0	18.0	5.0	0.0	0.0	0.0	3.0	0.0	2.0	62.0	11.0	0.0	31.0	0.0	32.0	0.0	0.0	87.0	0.0	6.0	0.0	1.0	17.0	0.0	0.0	16.0	0.0	10.0	33.0	0.0	37.0	3.0	0.0	3.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
frhA_mek_MSKOL_1798	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	34.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
frhA_397780544_m01	0.0	62.0	1.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	1057.0	1.0	0.0	1.0	0.0	0.0	52.0	0.0	0.0	98.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	194.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	5.0	840.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	773.0	0.0	5.0	13.0
frhA_A0A1V6KAH6_m01	2.0	0.0	0.0	0.0	0.0	78.0	5.0	2.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	1.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	5.0	223.0	2.0	0.0	0.0	58.0	0.0	5.0	9.0	111.0	0.0	0.0	0.0	4.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	4.0	0.0	3.0	78.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
frhA_mbak_MSBR3_2973_m01	0.0	0.0	53.0	1.0	0.0	2.0	235.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	226.0	0.0	0.0	2.0	0.0	22.0	13.0	0.0	0.0	0.0	1.0	5.0	0.0	4.0	113.0	2.0	0.0	65.0	0.0	54.0	0.0	0.0	162.0	0.0	18.0	0.0	0.0	25.0	0.0	0.0	33.0	0.0	41.0	152.0	0.0	36.0	4.0	0.0	28.0	0.0	26.0	1.0	0.0	2.0	0.0	0.0
frhA_mfz_AOB57_006185_m01	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	95.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	2567.0	0.0	1616.0	0.0	0.0	0.0	2.0	0.0	1780.0	0.0	0.0	2.0	0.0	17.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	4.0	7.0	1.0	0.0	2.0	0.0	1395.0	4.0	367.0	0.0	0.0	0.0	0.0	0.0
frhA_397780544_m02	1.0	78.0	7.0	131.0	199.0	0.0	23.0	147.0	0.0	0.0	163.0	0.0	0.0	169.0	25.0	3.0	181.0	81.0	1.0	183.0	0.0	11.0	2.0	43.0	4.0	0.0	0.0	2.0	16.0	1.0	2.0	0.0	2.0	0.0	127.0	6.0	38.0	0.0	0.0	3.0	4.0	13.0	52.0	0.0	124.0	53.0	2.0	0.0	7.0	91.0	13.0	27.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	70.0	7.0	3.0	107.0
frhA_126180114_m01	1.0	0.0	18.0	77.0	0.0	0.0	25.0	84.0	4.0	0.0	0.0	0.0	0.0	122.0	24.0	2.0	0.0	103.0	0.0	2.0	0.0	15.0	0.0	15.0	2.0	0.0	0.0	2.0	26.0	0.0	6.0	0.0	8.0	0.0	3.0	15.0	27.0	0.0	4.0	3.0	11.0	23.0	32.0	0.0	91.0	31.0	2.0	2.0	9.0	5.0	6.0	31.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	12.0	4.0	0.0
frhA_WP_066956032.1_m01	1.0	0.0	0.0	3.0	1.0	94.0	0.0	26.0	2.0	0.0	1.0	0.0	9.0	46.0	10.0	0.0	2.0	14.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	143.0	3.0	0.0	20.0	7.0	0.0	6.0	0.0	82.0	0.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	77.0	0.0	0.0	7.0	2.0	0.0	0.0	2.0	0.0	1.0	19.0	0.0	2.0	0.0	8.0	0.0	0.0	1.0	0.0	1.0
frhA_219850769_m01	0.0	0.0	0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	0.0	7.0	56.0	0.0	0.0	0.0	1.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0	4.0	1023.0	21.0	0.0	0.0	117.0	0.0	15.0	2.0	555.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	5.0	189.0	0.0	23.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
frhA_A0A1V6KAH6_m03	0.0	0.0	2.0	5.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	42.0	17.0	0.0	4.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
