	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
frhB_1220534.B655_2215	0.0	2050.0	0.0	8.0	3528.0	6.0	4.0	46.0	53.0	14.0	2765.0	5.0	0.0	56.0	23.0	98.0	2289.0	3.0	9.0	1297.0	8.0	4.0	48.0	2.0	0.0	4.0	2.0	0.0	5.0	13.0	138.0	28.0	6.0	0.0	1983.0	0.0	15.0	0.0	0.0	29.0	17.0	221.0	8.0	14.0	59.0	4.0	0.0	0.0	3.0	1579.0	0.0	2.0	2.0	0.0	4.0	2.0	16.0	49.0	2.0	9.0	1480.0	2.0	149.0	1591.0
frhB_566003891	1.0	40.0	0.0	0.0	73.0	2.0	0.0	4.0	0.0	0.0	44.0	1.0	0.0	2.0	2.0	6.0	44.0	0.0	4.0	13.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	9.0	2.0	1.0	0.0	5.0	40.0	0.0	1.0	1.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	0.0	26.0	0.0	6.0	37.0
frhB_mema_MMAB1_1766	2.0	1087.0	13.0	8.0	2212.0	0.0	11.0	1.0	25.0	3.0	1703.0	0.0	0.0	0.0	0.0	24.0	1679.0	0.0	0.0	2050.0	0.0	2.0	24.0	5.0	3.0	2.0	5.0	5.0	10.0	3.0	21.0	3.0	13.0	0.0	1594.0	27.0	3.0	1.0	5.0	28.0	7.0	38.0	6.0	3.0	4.0	2.0	0.0	0.0	33.0	872.0	6.0	24.0	3.0	5.0	0.0	2.0	0.0	20.0	6.0	12.0	450.0	0.0	22.0	944.0
frhB_msub_BK009_08715	0.0	40.0	0.0	0.0	43.0	6.0	0.0	0.0	0.0	0.0	46.0	4.0	0.0	2.0	0.0	2.0	35.0	2.0	7.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	4.0	0.0	22.0	0.0	0.0	3.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	24.0	0.0	0.0	0.0	3.0	3.0	0.0	4.0	0.0	6.0	0.0	16.0	0.0	0.0	12.0
frhB_509155697	0.0	150.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	81.0	56.0	0.0	78.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	75.0
frhB_126180117	0.0	2.0	38.0	275.0	0.0	0.0	54.0	322.0	8.0	4.0	3.0	0.0	0.0	357.0	54.0	7.0	0.0	233.0	0.0	0.0	2.0	38.0	3.0	89.0	0.0	0.0	1.0	0.0	76.0	0.0	4.0	0.0	3.0	0.0	4.0	29.0	88.0	0.0	0.0	12.0	13.0	22.0	64.0	2.0	295.0	112.0	2.0	2.0	2.0	3.0	30.0	89.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	3.0	1.0	22.0	2.0	2.0
frhB_219850772	0.0	0.0	0.0	0.0	0.0	647.0	0.0	0.0	0.0	0.0	0.0	8.0	88.0	0.0	0.0	0.0	1.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	1.0	1115.0	10.0	0.0	0.0	86.0	0.0	30.0	0.0	674.0	0.0	0.0	0.0	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	1.0	214.0	0.0	15.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
frhB_mmac_MSMAC_2999	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	0.0	0.0	0.0	1.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frhB_mbak_MSBR3_2970	0.0	0.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frhB_mthe_MSTHC_1874	1.0	0.0	184.0	15.0	0.0	0.0	425.0	22.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	17.0	651.0	0.0	0.0	2.0	0.0	53.0	150.0	0.0	0.0	0.0	2.0	21.0	0.0	40.0	818.0	1.0	0.0	408.0	18.0	358.0	0.0	0.0	1055.0	0.0	97.0	0.0	18.0	177.0	0.0	0.0	197.0	0.0	208.0	505.0	0.0	534.0	17.0	0.0	182.0	0.0	252.0	0.0	0.0	4.0	0.0	0.0
