	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
frhG_metn_BK008_04370	2.0	2148.0	5.0	6.0	3512.0	5.0	2.0	69.0	86.0	24.0	2604.0	11.0	0.0	53.0	20.0	128.0	2202.0	14.0	18.0	1313.0	11.0	2.0	37.0	0.0	0.0	2.0	0.0	1.0	0.0	18.0	126.0	49.0	8.0	1.0	2218.0	2.0	7.0	5.0	2.0	24.0	22.0	211.0	1.0	16.0	62.0	12.0	2.0	2.0	0.0	1800.0	0.0	1.0	0.0	16.0	2.0	7.0	20.0	44.0	2.0	17.0	1481.0	2.0	121.0	1554.0
frhG_397780546	3.0	1173.0	13.0	7.0	2289.0	0.0	24.0	4.0	25.0	2.0	1679.0	12.0	0.0	12.0	6.0	27.0	1521.0	2.0	3.0	1900.0	0.0	1.0	25.0	3.0	14.0	0.0	14.0	9.0	6.0	1.0	24.0	4.0	33.0	1.0	1470.0	21.0	1.0	2.0	10.0	20.0	17.0	36.0	11.0	0.0	4.0	3.0	2.0	3.0	31.0	850.0	2.0	19.0	5.0	5.0	1.0	0.0	1.0	13.0	0.0	6.0	462.0	3.0	15.0	1001.0
frhG_126180116	2.0	0.0	24.0	270.0	2.0	0.0	60.0	300.0	11.0	4.0	0.0	0.0	0.0	364.0	61.0	5.0	2.0	292.0	0.0	0.0	0.0	46.0	2.0	59.0	0.0	0.0	0.0	4.0	48.0	0.0	7.0	0.0	7.0	0.0	4.0	10.0	88.0	0.0	1.0	7.0	30.0	34.0	64.0	0.0	264.0	76.0	1.0	1.0	6.0	2.0	23.0	103.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	8.0	5.0	31.0	8.0	5.0
frhG_566003892	0.0	28.0	0.0	0.0	45.0	6.0	0.0	0.0	0.0	0.0	25.0	1.0	0.0	0.0	0.0	0.0	34.0	0.0	28.0	12.0	0.0	0.0	1.0	0.0	4.0	14.0	5.0	0.0	0.0	11.0	0.0	8.0	0.0	0.0	29.0	0.0	0.0	6.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	20.0	1.0	0.0	0.0	6.0	12.0	0.0	12.0	0.0	1.0	0.0	21.0	0.0	0.0	28.0
frhG_509155698	0.0	184.0	0.0	0.0	178.0	0.0	0.0	2.0	0.0	0.0	56.0	0.0	0.0	83.0	42.0	0.0	118.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	114.0
frhG_mfc_BRM9_2250	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	7.0	0.0	0.0	0.0	1.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	20.0	0.0	0.0	6.0	0.0	10.0	25.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	18.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frhG_88603575	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0
frhG_mthr_MSTHT_1416	1.0	0.0	75.0	7.0	0.0	0.0	129.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	277.0	0.0	0.0	0.0	0.0	25.0	59.0	0.0	0.0	0.0	2.0	4.0	0.0	15.0	251.0	0.0	0.0	109.0	1.0	126.0	0.0	0.0	324.0	0.0	16.0	0.0	4.0	50.0	0.0	0.0	69.0	0.0	51.0	127.0	0.0	170.0	6.0	0.0	52.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0
frhG_452211542	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	81.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
frhG_mek_MSKOL_3071	0.0	0.0	14.0	0.0	0.0	2.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	495.0	1.0	2.0	0.0	0.0	0.0	231.0	0.0	179.0	0.0	11.0	0.0	27.0	0.0	202.0	0.0	0.0	0.0	0.0	824.0	0.0	0.0	640.0	0.0	0.0	9.0	0.0	25.0	84.0	0.0	0.0	0.0	0.0	130.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0
