	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fwdB_397780692	3.0	1786.0	38.0	8.0	3437.0	1.0	14.0	0.0	13.0	6.0	2735.0	1.0	0.0	5.0	0.0	17.0	2486.0	5.0	1.0	2932.0	5.0	4.0	23.0	8.0	3.0	0.0	0.0	9.0	3.0	0.0	14.0	6.0	16.0	0.0	2579.0	64.0	1.0	4.0	3.0	22.0	1.0	17.0	6.0	4.0	0.0	5.0	0.0	0.0	23.0	1332.0	18.0	30.0	5.0	0.0	0.0	0.0	0.0	13.0	1.0	19.0	610.0	0.0	8.0	1500.0
fwdB_566002138	0.0	1621.0	0.0	10.0	2939.0	1.0	0.0	38.0	59.0	10.0	2144.0	4.0	0.0	54.0	17.0	71.0	1827.0	5.0	0.0	1063.0	5.0	0.0	24.0	5.0	1.0	1.0	0.0	0.0	1.0	9.0	153.0	31.0	4.0	0.0	1722.0	0.0	10.0	0.0	3.0	17.0	10.0	207.0	3.0	16.0	54.0	3.0	3.0	0.0	0.0	1215.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	39.0	0.0	9.0	1155.0	3.0	122.0	1343.0
fwdB_mema_MMAB1_0723	1.0	1926.0	23.0	10.0	4331.0	0.0	14.0	4.0	30.0	5.0	2922.0	2.0	2.0	7.0	0.0	41.0	2992.0	3.0	0.0	3566.0	3.0	4.0	38.0	8.0	1.0	0.0	3.0	4.0	2.0	0.0	32.0	2.0	18.0	0.0	2873.0	39.0	3.0	3.0	6.0	54.0	11.0	42.0	3.0	3.0	7.0	8.0	2.0	2.0	32.0	1583.0	21.0	33.0	6.0	0.0	0.0	0.0	7.0	9.0	4.0	21.0	821.0	6.0	39.0	1661.0
fwdB_meto_CIT02_06455	0.0	38.0	0.0	0.0	54.0	13.0	0.0	1.0	3.0	0.0	63.0	21.0	7.0	1.0	0.0	5.0	46.0	1.0	75.0	31.0	0.0	0.0	4.0	0.0	3.0	9.0	16.0	0.0	0.0	29.0	0.0	14.0	31.0	5.0	43.0	0.0	0.0	13.0	0.0	0.0	27.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	29.0	0.0	0.0	0.0	5.0	18.0	0.0	12.0	1.0	12.0	0.0	26.0	0.0	4.0	42.0
fwdB_126178322	3.0	5.0	26.0	127.0	5.0	146.0	14.0	141.0	10.0	3.0	3.0	14.0	30.0	233.0	26.0	8.0	3.0	113.0	100.0	3.0	5.0	45.0	3.0	32.0	16.0	521.0	14.0	5.0	30.0	128.0	0.0	6.0	3.0	226.0	0.0	9.0	56.0	3.0	0.0	3.0	17.0	19.0	28.0	0.0	149.0	59.0	0.0	25.0	3.0	8.0	13.0	49.0	3.0	10.0	124.0	0.0	5.0	5.0	6.0	8.0	0.0	18.0	3.0	0.0
fwdB_126179772	1.0	11.0	4.0	15.0	12.0	0.0	8.0	19.0	1.0	0.0	286.0	0.0	0.0	19.0	4.0	0.0	23.0	26.0	0.0	16.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	19.0	18.0	0.0	0.0	0.0	177.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	196.0	2.0	0.0	5.0
fwdB_509154265	0.0	340.0	0.0	0.0	341.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	1.0	118.0	94.0	0.0	237.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	658.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	1.0	178.0
fwdB_mett_CIT01_06285	1.0	761.0	0.0	4.0	1317.0	4.0	0.0	16.0	16.0	7.0	1078.0	10.0	7.0	16.0	4.0	39.0	882.0	0.0	31.0	484.0	4.0	0.0	13.0	0.0	0.0	4.0	7.0	0.0	0.0	20.0	34.0	22.0	7.0	0.0	852.0	0.0	3.0	5.0	0.0	5.0	3.0	89.0	0.0	8.0	17.0	0.0	0.0	3.0	0.0	625.0	0.0	0.0	3.0	1.0	9.0	3.0	14.0	14.0	13.0	9.0	581.0	4.0	55.0	607.0
fwdB_mthr_MSTHT_1270	0.0	0.0	374.0	1.0	0.0	8.0	2110.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	3.0	350.0	0.0	0.0	0.0	0.0	7650.0	3.0	3.0	0.0	3.0	0.0	4330.0	3.0	2698.0	3.0	17.0	0.0	337.0	0.0	2951.0	0.0	0.0	5.0	0.0	14164.0	0.0	0.0	10272.0	0.0	0.0	226.0	0.0	291.0	1292.0	0.0	4.0	8.0	0.0	2252.0	7.0	669.0	0.0	0.0	0.0	0.0	0.0
fwdB_mmj_MSMAS_2700	0.0	0.0	191.0	25.0	0.0	3.0	409.0	12.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	3.0	34.0	793.0	0.0	0.0	1.0	0.0	107.0	161.0	3.0	0.0	0.0	3.0	30.0	0.0	56.0	815.0	8.0	0.0	461.0	4.0	401.0	0.0	0.0	1292.0	0.0	191.0	0.0	24.0	241.0	0.0	0.0	252.0	0.0	124.0	373.0	0.0	505.0	25.0	0.0	166.0	0.0	266.0	0.0	0.0	4.0	0.0	0.0
