	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
fwdC_mfc_BRM9_0179	2.0	1149.0	1.0	6.0	2173.0	1.0	3.0	25.0	16.0	12.0	1502.0	0.0	0.0	30.0	14.0	58.0	1277.0	2.0	2.0	775.0	4.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	66.0	21.0	2.0	0.0	1185.0	0.0	11.0	0.0	0.0	6.0	6.0	139.0	3.0	5.0	33.0	2.0	0.0	0.0	0.0	994.0	5.0	0.0	0.0	0.0	1.0	0.0	6.0	34.0	0.0	16.0	802.0	0.0	87.0	874.0
fwdC_566002140	0.0	261.0	0.0	2.0	527.0	0.0	2.0	10.0	13.0	7.0	427.0	0.0	0.0	13.0	2.0	12.0	295.0	1.0	2.0	182.0	2.0	0.0	16.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	33.0	10.0	0.0	0.0	288.0	0.0	1.0	0.0	0.0	5.0	2.0	32.0	0.0	2.0	6.0	1.0	0.0	0.0	0.0	247.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	13.0	7.0	1.0	198.0	2.0	16.0	208.0
fwdC_397780899	1.0	909.0	11.0	12.0	1999.0	0.0	12.0	5.0	24.0	1.0	1530.0	1.0	0.0	19.0	6.0	31.0	1299.0	4.0	2.0	1699.0	0.0	4.0	24.0	2.0	2.0	1.0	5.0	4.0	2.0	1.0	25.0	0.0	15.0	0.0	1342.0	26.0	5.0	0.0	8.0	19.0	4.0	19.0	4.0	2.0	19.0	2.0	2.0	3.0	12.0	682.0	12.0	21.0	5.0	1.0	0.0	0.0	0.0	23.0	8.0	1.0	410.0	1.0	31.0	913.0
fwdC_126178320	0.0	2.0	10.0	173.0	0.0	0.0	42.0	143.0	2.0	1.0	3.0	1.0	0.0	160.0	23.0	2.0	2.0	113.0	0.0	2.0	0.0	35.0	0.0	48.0	1.0	0.0	2.0	0.0	32.0	1.0	6.0	0.0	3.0	0.0	4.0	14.0	48.0	0.0	4.0	3.0	8.0	23.0	27.0	0.0	131.0	53.0	1.0	1.0	6.0	4.0	12.0	66.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	21.0	2.0	0.0
fwdC_397780694	0.0	819.0	12.0	4.0	1796.0	0.0	16.0	0.0	18.0	3.0	1288.0	1.0	0.0	0.0	2.0	17.0	1314.0	2.0	1.0	1619.0	2.0	2.0	18.0	4.0	0.0	0.0	0.0	6.0	2.0	4.0	15.0	10.0	6.0	0.0	1291.0	16.0	1.0	0.0	2.0	18.0	6.0	34.0	4.0	2.0	4.0	3.0	0.0	4.0	13.0	719.0	9.0	13.0	8.0	2.0	0.0	2.0	1.0	8.0	1.0	12.0	375.0	0.0	10.0	714.0
fwdC_509154267	0.0	110.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	66.0	34.0	0.0	100.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	91.0
fwdC_126178568	1.0	0.0	0.0	4.0	1.0	0.0	8.0	3.0	0.0	0.0	0.0	4.0	0.0	18.0	5.0	2.0	1.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	1.0	3.0	0.0	2.0	0.0	2.0	1.0	6.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	4.0	3.0	0.0	0.0	24.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0
fwdC_metn_BK008_06000	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	16.0	2.0	0.0	0.0	0.0	1.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	5.0	16.0	2.0	0.0	2.0	24.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
fwdC_1220534.B655_1633	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
fwdC_mfc_BRM9_0179_m01	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	41.0	0.0	16.0	0.0	3.0	0.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	13.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
