	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
hdrB1_A0A1V6KA31	3.0	205.0	7.0	75.0	386.0	0.0	9.0	82.0	10.0	2.0	319.0	0.0	0.0	109.0	15.0	3.0	322.0	56.0	0.0	355.0	0.0	21.0	6.0	9.0	2.0	0.0	0.0	0.0	8.0	0.0	12.0	1.0	4.0	0.0	299.0	7.0	28.0	0.0	2.0	8.0	0.0	10.0	18.0	2.0	82.0	28.0	0.0	2.0	6.0	169.0	11.0	12.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	15.0	91.0	0.0	6.0	200.0
hdrB1_397780893	2.0	992.0	16.0	5.0	2114.0	0.0	14.0	0.0	17.0	0.0	1676.0	0.0	0.0	0.0	2.0	23.0	1573.0	2.0	0.0	1950.0	2.0	3.0	7.0	5.0	1.0	0.0	0.0	1.0	0.0	2.0	21.0	5.0	10.0	2.0	1523.0	27.0	0.0	0.0	5.0	17.0	6.0	16.0	9.0	2.0	0.0	12.0	0.0	0.0	16.0	868.0	21.0	19.0	1.0	0.0	0.0	0.0	0.0	16.0	3.0	13.0	455.0	2.0	12.0	943.0
hdrB1_126178574	1.0	0.0	57.0	435.0	5.0	0.0	128.0	402.0	14.0	6.0	3.0	0.0	0.0	467.0	96.0	15.0	2.0	371.0	0.0	2.0	9.0	104.0	14.0	121.0	1.0	0.0	0.0	0.0	65.0	0.0	12.0	0.0	12.0	0.0	1.0	24.0	102.0	0.0	6.0	14.0	22.0	46.0	68.0	0.0	400.0	130.0	1.0	0.0	8.0	7.0	28.0	106.0	1.0	0.0	0.0	2.0	0.0	13.0	1.0	5.0	2.0	36.0	7.0	0.0
hdrB1_A0A089ZGM2	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	16.0	16.0	0.0	0.0	0.0	1.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	27.0	0.0	0.0	26.0	0.0	10.0	16.0	1.0	0.0	0.0	0.0	14.0	0.0	0.0	41.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	22.0	14.0	0.0	16.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
hdrB1_566003278	0.0	121.0	0.0	1.0	184.0	138.0	1.0	2.0	3.0	2.0	134.0	276.0	94.0	1.0	6.0	6.0	108.0	0.0	653.0	93.0	1.0	0.0	1.0	0.0	152.0	173.0	186.0	0.0	0.0	357.0	6.0	195.0	273.0	38.0	135.0	0.0	0.0	226.0	0.0	1.0	326.0	21.0	0.0	3.0	0.0	0.0	0.0	112.0	0.0	84.0	0.0	0.0	1.0	198.0	185.0	0.0	170.0	3.0	115.0	1.0	85.0	0.0	9.0	99.0
hdrB1_509154791	0.0	148.0	0.0	0.0	159.0	0.0	0.0	1.0	0.0	0.0	63.0	0.0	0.0	91.0	53.0	0.0	76.0	2.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	103.0
hdrB1_84488955	0.0	9.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
hdrB1_1220534.B655_1683	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	13.0	5.0	0.0	0.0	0.0	1.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	4.0	27.0	12.0	2.0	0.0	40.0	0.0	19.0	6.0	6.0	0.0	2.0	0.0	28.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	1.0	29.0	0.0	27.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
hdrB1_325958458	2.0	40.0	25.0	34.0	56.0	14.0	86.0	96.0	434.0	48.0	60.0	18.0	15.0	32.0	6.0	419.0	53.0	32.0	312.0	26.0	6.0	33.0	990.0	8.0	5.0	11.0	0.0	28.0	26.0	130.0	800.0	554.0	32.0	9.0	61.0	83.0	30.0	72.0	7.0	898.0	219.0	942.0	21.0	37.0	75.0	5.0	2.0	2.0	23.0	42.0	21.0	89.0	7.0	30.0	27.0	13.0	403.0	282.0	124.0	465.0	30.0	23.0	488.0	42.0
hdrB1_meto_CIT02_02590	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
