	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
hdrD_330509064	557.0	0.0	2.0	0.0	0.0	636.0	0.0	0.0	0.0	1267.0	8.0	760.0	467.0	0.0	0.0	0.0	9.0	0.0	417.0	0.0	791.0	2.0	0.0	0.0	457.0	588.0	517.0	1089.0	4.0	611.0	0.0	87.0	114.0	861.0	0.0	2.0	0.0	38.0	720.0	0.0	145.0	3.0	0.0	1898.0	0.0	0.0	2904.0	1126.0	2.0	0.0	0.0	0.0	1147.0	163.0	558.0	1137.0	39.0	2.0	144.0	0.0	0.0	2.0	0.0	0.0
hdrD_A0A1V4VDB2	86.0	0.0	68.0	0.0	0.0	0.0	71.0	0.0	0.0	108.0	1.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	65.0	0.0	0.0	4.0	1.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	82.0	0.0	0.0	4.0	4.0	76.0	0.0	11.0	53.0	8.0	26.0	1.0	25.0	54.0	56.0	0.0	0.0	67.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
hdrD_330508757	759.0	0.0	0.0	0.0	0.0	484.0	0.0	0.0	0.0	1362.0	3.0	483.0	255.0	0.0	0.0	0.0	13.0	0.0	257.0	0.0	659.0	0.0	0.0	0.0	300.0	443.0	257.0	916.0	0.0	379.0	0.0	39.0	72.0	606.0	0.0	0.0	0.0	15.0	659.0	0.0	62.0	1.0	0.0	1436.0	0.0	0.0	2326.0	835.0	0.0	0.0	0.0	0.0	1110.0	84.0	288.0	934.0	24.0	6.0	119.0	0.0	0.0	0.0	0.0	0.0
hdrD_386001490	379.0	0.0	2514.0	0.0	0.0	0.0	2405.0	0.0	0.0	255.0	2.0	30.0	0.0	0.0	0.0	92.0	1.0	1.0	0.0	0.0	90.0	0.0	4.0	405.0	90.0	0.0	12.0	385.0	0.0	0.0	15.0	0.0	33.0	0.0	0.0	2527.0	0.0	0.0	140.0	14.0	55.0	106.0	276.0	94.0	0.0	484.0	58.0	15.0	1339.0	0.0	1276.0	2243.0	220.0	23.0	0.0	261.0	0.0	30.0	0.0	1.0	0.0	0.0	11.0	0.0
hdrD_224719.Abm4_1340	0.0	274.0	0.0	1.0	255.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	1.0	42.0	19.0	0.0	149.0	0.0	0.0	125.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0	0.0	18.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	126.0
hdrD_452210417	0.0	0.0	166.0	5.0	0.0	1.0	452.0	13.0	0.0	0.0	0.0	2.0	2.0	15.0	0.0	0.0	0.0	5.0	984.0	0.0	0.0	0.0	0.0	43.0	129.0	2.0	0.0	0.0	0.0	16.0	0.0	34.0	698.0	0.0	0.0	254.0	2.0	321.0	0.0	0.0	1046.0	0.0	95.0	0.0	4.0	66.0	0.0	0.0	137.0	0.0	121.0	381.0	0.0	436.0	19.0	0.0	121.0	0.0	188.0	0.0	0.0	0.0	0.0	0.0
hdrD_435851653	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	1.0	0.0	2.0	19.0	4.0	0.0	0.0	85.0	0.0	2.0	1.0	42.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	7.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
hdrD_20093409	0.0	0.0	157.0	0.0	0.0	9.0	346.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.0	0.0	0.0	6.0	382.0	0.0	0.0	0.0	0.0	41.0	89.0	8.0	3.0	0.0	0.0	10.0	0.0	18.0	557.0	5.0	0.0	377.0	0.0	120.0	0.0	0.0	797.0	0.0	46.0	0.0	1.0	67.0	0.0	0.0	135.0	0.0	133.0	377.0	0.0	371.0	58.0	0.0	53.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
hdrD_A0A1V5B5U0	1.0	0.0	0.0	2.0	0.0	54.0	0.0	1.0	160.0	0.0	0.0	2.0	4.0	2.0	22.0	585.0	0.0	2.0	9.0	0.0	0.0	8.0	245.0	0.0	8.0	26.0	2.0	2.0	4.0	37.0	244.0	0.0	0.0	73.0	0.0	0.0	5.0	0.0	0.0	238.0	24.0	435.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	245.0	4.0	89.0	0.0	1.0	429.0	0.0
hdrD_21227946	0.0	0.0	4.0	1.0	0.0	5.0	20.0	9.0	0.0	0.0	0.0	0.0	8.0	11.0	0.0	0.0	0.0	6.0	71.0	0.0	0.0	0.0	0.0	19.0	21.0	5.0	0.0	0.0	0.0	11.0	0.0	17.0	53.0	7.0	0.0	7.0	7.0	170.0	0.0	0.0	69.0	0.0	15.0	0.0	2.0	41.0	0.0	2.0	5.0	0.0	4.0	24.0	0.0	54.0	21.0	0.0	66.0	0.0	75.0	0.0	0.0	1.0	0.0	0.0
