	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
hdrE_330509063	272.0	0.0	0.0	0.0	0.0	340.0	0.0	2.0	0.0	761.0	3.0	542.0	273.0	3.0	6.0	0.0	4.0	2.0	219.0	0.0	435.0	1.0	0.0	0.0	198.0	367.0	256.0	578.0	2.0	354.0	0.0	39.0	58.0	469.0	1.0	0.0	1.0	22.0	357.0	0.0	85.0	0.0	0.0	1038.0	1.0	0.0	1118.0	519.0	0.0	0.0	0.0	1.0	673.0	81.0	323.0	654.0	19.0	1.0	72.0	0.0	0.0	2.0	0.0	0.0
hdrE_A0A1V4YDQ9	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	5.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hdrE_21227945	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	1.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hdrE_mfz_AOB57_004615	0.0	0.0	156.0	0.0	0.0	0.0	937.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	3139.0	0.0	0.0	0.0	0.0	0.0	1839.0	0.0	1242.0	2.0	0.0	0.0	105.0	0.0	1289.0	0.0	0.0	0.0	0.0	7097.0	0.0	0.0	4568.0	0.0	0.0	97.0	0.0	100.0	511.0	0.0	0.0	0.0	0.0	987.0	2.0	227.0	0.0	0.0	0.0	0.0	0.0
hdrE_A0A5E4IRQ7	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	1.0	0.0	0.0	135.0	0.0	2.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	56.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
hdrE_435851652	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	1.0	20.0	2.0	0.0	0.0	28.0	0.0	4.0	0.0	21.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
hdrE_A0A1V5AXQ2	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hdrE_WP_048177059.1	0.0	0.0	14.0	3.0	0.0	1.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	8.0	104.0	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	63.0	0.0	0.0	42.0	2.0	50.0	0.0	0.0	78.0	0.0	5.0	0.0	13.0	13.0	0.0	0.0	16.0	0.0	15.0	25.0	0.0	32.0	2.0	0.0	23.0	0.0	44.0	0.0	0.0	1.0	0.0	0.0
hdrE_mek_MSKOL_2763	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hdrE_330509063_m01	0.0	6.0	0.0	2.0	1.0	17.0	0.0	16.0	584.0	0.0	11.0	1.0	0.0	11.0	99.0	2292.0	0.0	17.0	0.0	0.0	0.0	5.0	992.0	0.0	0.0	9.0	0.0	6.0	24.0	7.0	1058.0	0.0	0.0	26.0	0.0	0.0	39.0	0.0	0.0	972.0	70.0	1920.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	979.0	0.0	436.0	3.0	7.0	1590.0	2.0
