	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
hmd_WP_004030875.1	0.0	53.0	0.0	0.0	88.0	0.0	0.0	2.0	4.0	3.0	79.0	6.0	2.0	0.0	0.0	2.0	55.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	2.0	2.0	0.0	0.0	4.0	0.0	63.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	0.0	0.0	38.0	0.0	0.0	36.0
hmd_509154135	0.0	178.0	0.0	1.0	178.0	0.0	0.0	0.0	0.0	1.0	51.0	0.0	0.0	101.0	54.0	0.0	84.0	0.0	0.0	136.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	99.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	342.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	89.0
hmd_1220534.B655_1230_m01	1.0	114.0	0.0	2.0	150.0	2.0	0.0	3.0	2.0	0.0	142.0	0.0	0.0	2.0	0.0	2.0	67.0	0.0	30.0	65.0	2.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	13.0	1.0	21.0	1.0	0.0	105.0	0.0	1.0	19.0	0.0	0.0	4.0	5.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0	138.0	0.0	0.0	0.0	0.0	13.0	0.0	19.0	0.0	5.0	0.0	81.0	0.0	0.0	64.0
hmd_1220534.B655_1230_m02	0.0	2026.0	0.0	4.0	3465.0	0.0	3.0	45.0	62.0	23.0	2293.0	0.0	0.0	45.0	13.0	99.0	2141.0	1.0	0.0	1356.0	2.0	2.0	23.0	2.0	0.0	0.0	0.0	4.0	1.0	4.0	118.0	4.0	2.0	0.0	2158.0	0.0	6.0	0.0	6.0	17.0	0.0	215.0	2.0	22.0	48.0	4.0	2.0	0.0	0.0	2000.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	24.0	0.0	12.0	1551.0	0.0	110.0	1650.0
hmd_WP_004030875.1_m02	0.0	155.0	0.0	0.0	280.0	2.0	0.0	4.0	6.0	3.0	236.0	0.0	0.0	3.0	3.0	7.0	193.0	0.0	2.0	97.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	3.0	0.0	0.0	171.0	0.0	1.0	0.0	0.0	3.0	0.0	20.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	114.0	0.0	13.0	122.0
hmd_1220534.B655_1230_m03	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	36.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	27.0	3.0	59.0	0.0	2.0	0.0	0.0	2.0	16.0	0.0	2.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	22.0	0.0	9.0	0.0	0.0	0.0	6.0	0.0
hmd_WP_004030875.1_m03	0.0	50.0	0.0	0.0	110.0	0.0	0.0	1.0	6.0	0.0	65.0	0.0	0.0	2.0	0.0	8.0	42.0	1.0	0.0	50.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	24.0	0.0	0.0	0.0	57.0	0.0	0.0	4.0	0.0	10.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	7.0	0.0	4.0	35.0	1.0	14.0	33.0
hmd_WP_004030875.1_m04	1.0	22.0	0.0	0.0	43.0	3.0	0.0	0.0	0.0	0.0	33.0	7.0	11.0	0.0	0.0	3.0	24.0	0.0	32.0	16.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	11.0	0.0	16.0	3.0	0.0	26.0	0.0	0.0	12.0	0.0	0.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	17.0	0.0	0.0	0.0	3.0	6.0	0.0	10.0	0.0	5.0	0.0	21.0	0.0	0.0	19.0
hmd_1220534.B655_1230_m04	0.0	27.0	0.0	0.0	59.0	0.0	0.0	3.0	12.0	0.0	40.0	2.0	2.0	1.0	0.0	8.0	22.0	1.0	1.0	10.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	3.0	0.0	0.0	23.0	0.0	0.0	2.0	0.0	20.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	2.0	13.0	0.0	13.0	33.0
hmd_WP_004030875.1_m06	0.0	80.0	0.0	0.0	126.0	2.0	0.0	4.0	0.0	0.0	132.0	0.0	0.0	3.0	2.0	2.0	96.0	0.0	0.0	57.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	62.0	0.0	2.0	54.0
