	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mch_330507376	616.0	0.0	1.0	0.0	0.0	545.0	0.0	0.0	0.0	1188.0	1.0	802.0	423.0	2.0	0.0	1.0	0.0	0.0	329.0	0.0	726.0	0.0	0.0	0.0	435.0	673.0	454.0	873.0	0.0	457.0	0.0	70.0	105.0	847.0	1.0	1.0	0.0	30.0	584.0	4.0	89.0	7.0	0.0	1370.0	0.0	0.0	2052.0	892.0	0.0	0.0	0.0	0.0	1047.0	105.0	440.0	940.0	26.0	2.0	163.0	0.0	2.0	0.0	1.0	0.0
mch_A0A101IHP0	371.0	0.0	3460.0	0.0	0.0	0.0	3227.0	0.0	14.0	271.0	0.0	36.0	0.0	0.0	0.0	216.0	4.0	0.0	0.0	0.0	87.0	0.0	15.0	574.0	89.0	0.0	13.0	453.0	0.0	0.0	14.0	0.0	48.0	0.0	0.0	2854.0	0.0	0.0	147.0	31.0	35.0	228.0	363.0	133.0	0.0	591.0	105.0	36.0	1645.0	0.0	1714.0	3230.0	284.0	32.0	0.0	248.0	0.0	56.0	0.0	12.0	0.0	0.0	35.0	0.0
mch_A0A1V4VDH5	120.0	0.0	17.0	0.0	0.0	0.0	7.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	21.0	3.0	14.0	0.0	10.0	7.0	36.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mch_metn_BK008_08410	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	0.0	2.0	25.0	0.0	17.0	11.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mch_A0A1V4YI85	5.0	1.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	2.0	1.0	5.0	15.0	0.0	2.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	5.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	3.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mch_566002550	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	397.0	144.0	0.0	0.0	0.0	0.0	0.0	1732.0	0.0	0.0	0.0	0.0	1.0	164.0	324.0	285.0	0.0	3.0	836.0	0.0	497.0	372.0	70.0	0.0	0.0	0.0	430.0	0.0	0.0	493.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	309.0	395.0	0.0	448.0	0.0	266.0	0.0	0.0	2.0	0.0	0.0
mch_A0A124FWC1	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	34.0	8.0	0.0	0.0	0.0	2.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	16.0	2.0	20.0	0.0	0.0	20.0	0.0	9.0	34.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	27.0	5.0	0.0	12.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
mch_509155290	0.0	151.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	1.0	57.0	0.0	0.0	101.0	38.0	0.0	86.0	0.0	0.0	99.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0
mch_WP_004031326.1	0.0	418.0	0.0	2.0	729.0	6.0	0.0	18.0	11.0	16.0	537.0	0.0	0.0	10.0	7.0	21.0	445.0	0.0	8.0	288.0	2.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	29.0	3.0	1.0	1.0	352.0	0.0	5.0	3.0	0.0	7.0	2.0	34.0	0.0	7.0	6.0	0.0	2.0	2.0	0.0	326.0	1.0	0.0	0.0	3.0	0.0	5.0	6.0	7.0	2.0	5.0	332.0	0.0	38.0	306.0
mch_A0A117MI43	0.0	15.0	2.0	0.0	58.0	0.0	2.0	0.0	1.0	0.0	23.0	0.0	0.0	1.0	0.0	1.0	33.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	25.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	20.0	2.0	1.0	23.0
