	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mcrA_330506955	685.0	0.0	0.0	0.0	0.0	640.0	0.0	0.0	0.0	1222.0	7.0	744.0	490.0	0.0	0.0	0.0	5.0	2.0	407.0	0.0	783.0	0.0	0.0	0.0	426.0	792.0	420.0	897.0	0.0	490.0	0.0	67.0	112.0	914.0	1.0	5.0	0.0	37.0	891.0	0.0	81.0	3.0	0.0	1213.0	0.0	0.0	2661.0	1085.0	0.0	0.0	0.0	2.0	1018.0	141.0	525.0	861.0	38.0	5.0	127.0	0.0	0.0	0.0	1.0	0.0
mcrA_A0A0F7R7G9	342.0	0.0	3511.0	0.0	0.0	0.0	2957.0	0.0	6.0	284.0	0.0	37.0	0.0	0.0	0.0	90.0	3.0	0.0	0.0	3.0	89.0	0.0	0.0	510.0	92.0	0.0	18.0	500.0	0.0	0.0	9.0	0.0	67.0	0.0	3.0	2926.0	0.0	0.0	189.0	15.0	40.0	32.0	333.0	128.0	0.0	497.0	92.0	21.0	1507.0	0.0	1508.0	3073.0	272.0	28.0	0.0	280.0	0.0	6.0	0.0	3.0	0.0	0.0	17.0	0.0
mcrA_metn_BK008_03060	0.0	1459.0	0.0	2.0	2602.0	4.0	4.0	21.0	44.0	15.0	1853.0	0.0	0.0	23.0	16.0	56.0	1584.0	2.0	2.0	880.0	5.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	84.0	18.0	2.0	0.0	1511.0	0.0	5.0	2.0	1.0	13.0	6.0	156.0	0.0	3.0	23.0	0.0	0.0	0.0	0.0	1241.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	29.0	0.0	12.0	1094.0	0.0	75.0	974.0
mcrA_1220534.B655_0646	0.0	793.0	0.0	2.0	1310.0	1.0	4.0	19.0	46.0	10.0	1087.0	1.0	3.0	13.0	6.0	63.0	799.0	0.0	5.0	584.0	2.0	0.0	65.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	84.0	17.0	0.0	0.0	794.0	2.0	0.0	4.0	2.0	53.0	2.0	125.0	6.0	6.0	28.0	8.0	2.0	0.0	0.0	786.0	0.0	1.0	0.0	2.0	0.0	0.0	7.0	46.0	1.0	31.0	534.0	5.0	66.0	598.0
mcrA_386001204	221.0	1.0	2084.0	0.0	0.0	0.0	1953.0	0.0	0.0	166.0	1.0	19.0	0.0	0.0	0.0	111.0	1.0	0.0	0.0	0.0	60.0	0.0	4.0	296.0	67.0	0.0	6.0	334.0	0.0	0.0	6.0	0.0	41.0	0.0	0.0	1991.0	0.0	0.0	85.0	12.0	38.0	98.0	213.0	85.0	0.0	392.0	58.0	13.0	938.0	0.0	969.0	2084.0	156.0	20.0	0.0	164.0	0.0	28.0	0.0	0.0	0.0	0.0	17.0	0.0
mcrA_A0A1V4YF09	2.0	25.0	19.0	36.0	37.0	9.0	56.0	47.0	350.0	30.0	40.0	6.0	0.0	48.0	8.0	488.0	24.0	24.0	242.0	12.0	17.0	39.0	1010.0	9.0	3.0	12.0	5.0	21.0	10.0	158.0	719.0	511.0	50.0	5.0	19.0	59.0	38.0	63.0	0.0	874.0	199.0	772.0	21.0	20.0	40.0	2.0	0.0	0.0	31.0	22.0	13.0	65.0	1.0	20.0	13.0	3.0	353.0	235.0	100.0	445.0	27.0	23.0	550.0	11.0
mcrA_B6V097	0.0	36.0	29.0	36.0	31.0	4.0	47.0	45.0	425.0	22.0	72.0	11.0	0.0	22.0	0.0	533.0	45.0	36.0	207.0	54.0	27.0	18.0	1003.0	9.0	9.0	9.0	0.0	18.0	4.0	135.0	668.0	398.0	29.0	4.0	40.0	58.0	27.0	40.0	0.0	913.0	153.0	922.0	13.0	40.0	45.0	9.0	4.0	0.0	13.0	36.0	9.0	54.0	0.0	4.0	27.0	9.0	326.0	238.0	94.0	371.0	31.0	22.0	461.0	27.0
mcrA_G9BY98	2.0	3.0	100.0	806.0	4.0	0.0	178.0	745.0	32.0	8.0	14.0	0.0	2.0	912.0	190.0	26.0	2.0	618.0	0.0	2.0	0.0	145.0	14.0	198.0	4.0	0.0	0.0	10.0	140.0	1.0	13.0	0.0	22.0	0.0	8.0	50.0	186.0	0.0	11.0	23.0	22.0	86.0	137.0	5.0	723.0	212.0	4.0	2.0	24.0	11.0	38.0	188.0	4.0	4.0	0.0	0.0	0.0	11.0	0.0	9.0	7.0	47.0	20.0	5.0
mcrA_A0A1V5BGG6	0.0	5.0	2.0	9.0	10.0	36.0	0.0	21.0	840.0	0.0	8.0	2.0	3.0	12.0	133.0	3064.0	4.0	33.0	4.0	0.0	0.0	39.0	1245.0	0.0	2.0	11.0	0.0	16.0	33.0	19.0	1225.0	0.0	0.0	25.0	2.0	0.0	51.0	0.0	0.0	1240.0	84.0	2316.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	18.0	0.0	1.0	0.0	0.0	14.0	0.0	0.0	1117.0	1.0	458.0	6.0	8.0	2303.0	4.0
mcrA_B6V0I9	0.0	2411.0	0.0	0.0	4149.0	0.0	0.0	31.0	99.0	31.0	2910.0	2.0	0.0	27.0	4.0	115.0	2735.0	9.0	0.0	1442.0	9.0	4.0	36.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	151.0	36.0	9.0	0.0	2568.0	0.0	0.0	0.0	2.0	20.0	9.0	245.0	0.0	22.0	63.0	0.0	0.0	0.0	0.0	2022.0	0.0	0.0	0.0	0.0	4.0	9.0	18.0	49.0	0.0	9.0	1586.0	0.0	121.0	1595.0
