	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mcrB_330506958	754.0	0.0	0.0	0.0	0.0	586.0	0.0	0.0	0.0	1440.0	10.0	869.0	440.0	0.0	0.0	0.0	9.0	0.0	378.0	0.0	834.0	0.0	1.0	0.0	525.0	830.0	435.0	1175.0	0.0	453.0	0.0	60.0	131.0	980.0	11.0	4.0	1.0	35.0	927.0	1.0	160.0	4.0	0.0	1533.0	0.0	0.0	3001.0	1235.0	0.0	0.0	0.0	0.0	1294.0	160.0	584.0	1214.0	43.0	0.0	180.0	0.0	0.0	1.0	3.0	0.0
mcrB_A0A1V4TFM3	2.0	2359.0	0.0	12.0	3870.0	0.0	4.0	47.0	78.0	17.0	3131.0	4.0	0.0	52.0	28.0	122.0	2680.0	2.0	7.0	1499.0	8.0	0.0	50.0	0.0	1.0	4.0	0.0	2.0	3.0	15.0	190.0	34.0	6.0	0.0	2305.0	0.0	8.0	0.0	5.0	25.0	19.0	285.0	4.0	9.0	44.0	2.0	4.0	0.0	0.0	1972.0	0.0	2.0	0.0	2.0	3.0	4.0	5.0	45.0	1.0	21.0	1537.0	4.0	182.0	1572.0
mcrB_A0A1V5B7T9	117.0	0.0	887.0	0.0	0.0	0.0	732.0	0.0	1.0	79.0	0.0	3.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	28.0	0.0	4.0	111.0	21.0	0.0	4.0	136.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	754.0	0.0	1.0	48.0	2.0	12.0	16.0	92.0	44.0	0.0	156.0	21.0	2.0	378.0	0.0	399.0	719.0	71.0	9.0	0.0	81.0	0.0	15.0	0.0	0.0	0.0	0.0	3.0	0.0
mcrB_386001201	322.0	0.0	2725.0	0.0	0.0	0.0	2546.0	0.0	3.0	207.0	0.0	13.0	2.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	71.0	0.0	4.0	428.0	82.0	0.0	7.0	392.0	0.0	0.0	9.0	0.0	34.0	1.0	0.0	2493.0	0.0	0.0	115.0	8.0	52.0	40.0	294.0	101.0	1.0	446.0	61.0	13.0	1244.0	0.0	1200.0	2411.0	255.0	24.0	0.0	242.0	0.0	33.0	0.0	0.0	0.0	0.0	16.0	0.0
mcrB_A0A1V4YGP1	6.0	47.0	43.0	38.0	78.0	21.0	116.0	90.0	555.0	44.0	62.0	25.0	0.0	64.0	13.0	662.0	61.0	34.0	300.0	53.0	11.0	31.0	1318.0	16.0	5.0	10.0	4.0	12.0	13.0	170.0	875.0	726.0	75.0	8.0	63.0	86.0	40.0	136.0	4.0	1197.0	290.0	1066.0	22.0	40.0	52.0	13.0	4.0	2.0	26.0	46.0	12.0	60.0	5.0	24.0	28.0	11.0	536.0	375.0	136.0	626.0	40.0	25.0	685.0	40.0
mcrB_meto_CIT02_09460	0.0	72.0	0.0	2.0	166.0	4.0	0.0	3.0	2.0	0.0	117.0	9.0	13.0	1.0	2.0	9.0	89.0	0.0	6.0	56.0	2.0	0.0	0.0	0.0	4.0	4.0	18.0	0.0	0.0	5.0	3.0	7.0	9.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	22.0	3.0	0.0	0.0	0.0	2.0	0.0	5.0	1.0	82.0	0.0	0.0	0.0	4.0	3.0	0.0	7.0	0.0	0.0	0.0	61.0	2.0	6.0	62.0
mcrB_1220534.B655_0643	0.0	2708.0	0.0	5.0	4654.0	0.0	10.0	55.0	69.0	23.0	3340.0	14.0	0.0	79.0	17.0	143.0	3033.0	10.0	0.0	1849.0	12.0	2.0	33.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	187.0	41.0	6.0	0.0	2935.0	0.0	2.0	0.0	2.0	28.0	11.0	269.0	8.0	8.0	72.0	2.0	2.0	2.0	2.0	2381.0	0.0	2.0	5.0	0.0	0.0	2.0	6.0	58.0	2.0	28.0	1977.0	3.0	171.0	2323.0
mcrB_meto_CIT02_08465	0.0	284.0	0.0	0.0	525.0	0.0	1.0	11.0	8.0	9.0	351.0	12.0	8.0	9.0	3.0	16.0	331.0	2.0	4.0	211.0	5.0	0.0	6.0	0.0	10.0	0.0	2.0	1.0	0.0	3.0	19.0	6.0	8.0	2.0	263.0	0.0	2.0	2.0	0.0	5.0	11.0	15.0	2.0	1.0	14.0	1.0	0.0	2.0	0.0	263.0	0.0	0.0	0.0	6.0	0.0	1.0	4.0	0.0	4.0	4.0	207.0	0.0	19.0	257.0
mcrB_397780690	4.0	1663.0	20.0	9.0	3421.0	0.0	28.0	1.0	40.0	10.0	2593.0	2.0	2.0	4.0	2.0	39.0	2362.0	2.0	4.0	2987.0	2.0	4.0	33.0	16.0	3.0	1.0	0.0	11.0	6.0	2.0	31.0	3.0	9.0	0.0	2311.0	42.0	2.0	2.0	2.0	44.0	12.0	42.0	2.0	3.0	10.0	13.0	4.0	2.0	43.0	1393.0	14.0	30.0	6.0	5.0	4.0	0.0	4.0	22.0	2.0	11.0	587.0	2.0	29.0	1513.0
mcrB_397780900	0.0	1641.0	10.0	11.0	3154.0	2.0	16.0	2.0	17.0	2.0	2226.0	2.0	2.0	5.0	1.0	19.0	2205.0	3.0	0.0	2775.0	2.0	3.0	41.0	5.0	5.0	2.0	6.0	6.0	2.0	4.0	30.0	5.0	8.0	3.0	2218.0	41.0	3.0	3.0	5.0	32.0	15.0	36.0	16.0	8.0	1.0	4.0	0.0	0.0	31.0	1184.0	18.0	21.0	2.0	7.0	1.0	3.0	2.0	12.0	2.0	28.0	570.0	2.0	22.0	1484.0
mcrB_A0A1V4YTW0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	4.0	0.0	2.0	4.0	0.0	2.0	0.0	2.0	0.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mcrB_msub_BK009_08280	0.0	350.0	0.0	0.0	568.0	8.0	0.0	14.0	15.0	8.0	390.0	8.0	2.0	10.0	2.0	24.0	346.0	2.0	19.0	171.0	2.0	0.0	2.0	0.0	2.0	4.0	1.0	0.0	2.0	10.0	18.0	10.0	8.0	0.0	350.0	0.0	0.0	0.0	1.0	1.0	12.0	23.0	0.0	0.0	14.0	0.0	0.0	3.0	0.0	264.0	0.0	0.0	0.0	0.0	5.0	1.0	8.0	4.0	0.0	2.0	271.0	1.0	20.0	251.0
mcrB_mfz_AOB57_007315	0.0	0.0	237.0	1.0	0.0	0.0	1555.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	5827.0	4.0	0.0	0.0	0.0	0.0	3273.0	0.0	2066.0	5.0	0.0	0.0	217.0	0.0	2123.0	0.0	0.0	4.0	0.0	10458.0	0.0	0.0	7602.0	0.0	0.0	151.0	0.0	206.0	912.0	0.0	0.0	0.0	0.0	1713.0	0.0	478.0	0.0	0.0	0.0	0.0	0.0
mcrB_G9BY94	3.0	3.0	94.0	561.0	4.0	1.0	139.0	586.0	24.0	8.0	8.0	0.0	0.0	702.0	112.0	11.0	3.0	487.0	0.0	4.0	2.0	101.0	8.0	172.0	2.0	2.0	2.0	4.0	117.0	0.0	10.0	0.0	15.0	0.0	0.0	33.0	138.0	0.0	15.0	17.0	40.0	67.0	145.0	2.0	546.0	203.0	6.0	4.0	10.0	12.0	50.0	184.0	0.0	2.0	0.0	2.0	0.0	10.0	0.0	3.0	5.0	63.0	23.0	2.0
