	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mcrC_330507497	283.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	441.0	2.0	338.0	176.0	0.0	0.0	0.0	1.0	0.0	152.0	0.0	342.0	0.0	0.0	0.0	197.0	273.0	187.0	348.0	0.0	180.0	0.0	31.0	36.0	273.0	4.0	0.0	0.0	6.0	356.0	0.0	49.0	3.0	0.0	748.0	0.0	0.0	1274.0	529.0	0.0	1.0	0.0	0.0	523.0	55.0	191.0	441.0	15.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0
mcrC_386001236	300.0	0.0	2004.0	0.0	0.0	0.0	2045.0	0.0	4.0	188.0	2.0	13.0	0.0	0.0	0.0	104.0	3.0	0.0	0.0	0.0	79.0	0.0	16.0	319.0	48.0	0.0	5.0	318.0	0.0	0.0	14.0	0.0	19.0	0.0	0.0	1725.0	0.0	1.0	106.0	8.0	35.0	115.0	214.0	70.0	0.0	378.0	46.0	11.0	956.0	0.0	1093.0	1887.0	175.0	19.0	0.0	149.0	0.0	35.0	0.0	1.0	0.0	0.0	17.0	0.0
mcrC_A0A1V4V1U0	100.0	0.0	356.0	0.0	0.0	0.0	326.0	0.0	0.0	60.0	0.0	1.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	48.0	0.0	0.0	53.0	4.0	0.0	2.0	65.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	295.0	0.0	0.0	52.0	0.0	8.0	15.0	31.0	39.0	0.0	61.0	21.0	10.0	112.0	0.0	175.0	283.0	49.0	3.0	0.0	54.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	1.0
mcrC_G9BY96	0.0	1.0	34.0	250.0	0.0	0.0	49.0	311.0	14.0	2.0	5.0	2.0	0.0	345.0	56.0	9.0	0.0	270.0	0.0	0.0	2.0	45.0	9.0	83.0	0.0	0.0	0.0	1.0	62.0	0.0	2.0	0.0	11.0	0.0	1.0	19.0	81.0	0.0	1.0	12.0	18.0	49.0	80.0	5.0	269.0	104.0	2.0	0.0	6.0	2.0	25.0	87.0	2.0	4.0	0.0	0.0	0.0	4.0	0.0	6.0	1.0	30.0	7.0	0.0
mcrC_397780902	1.0	746.0	6.0	2.0	1595.0	0.0	18.0	0.0	11.0	5.0	1160.0	6.0	0.0	1.0	2.0	23.0	1113.0	5.0	5.0	1434.0	0.0	2.0	18.0	0.0	12.0	1.0	8.0	0.0	1.0	1.0	11.0	7.0	25.0	1.0	1117.0	9.0	1.0	1.0	2.0	21.0	8.0	19.0	9.0	0.0	0.0	5.0	4.0	2.0	29.0	575.0	13.0	12.0	2.0	8.0	5.0	4.0	0.0	11.0	0.0	11.0	313.0	0.0	18.0	741.0
mcrC_126178565	0.0	38.0	0.0	0.0	41.0	0.0	2.0	0.0	0.0	0.0	503.0	0.0	0.0	0.0	1.0	1.0	22.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	117.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	371.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	365.0	0.0	0.0	7.0
mcrC_A0A1V6K8Q8	0.0	1.0	0.0	7.0	2.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	40.0	19.0	0.0	1.0	11.0	0.0	0.0	0.0	7.0	2.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	14.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0
mcrC_A0A3N9URC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	96.0	0.0	0.0	0.0	0.0	4.0	20.0	411.0	0.0	2.0	0.0	0.0	0.0	7.0	203.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	174.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	149.0	6.0	273.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	53.0	0.0	0.0	251.0	0.0
mcrC_A0A1V5XVB1	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	1.0	54.0	0.0	0.0	0.0	110.0	0.0	0.0	2.0	117.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mcrC_88603393	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
