	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mcrD_330506957	233.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	482.0	1.0	343.0	163.0	0.0	0.0	0.0	2.0	0.0	161.0	0.0	285.0	0.0	0.0	0.0	133.0	273.0	187.0	312.0	0.0	201.0	0.0	12.0	32.0	424.0	0.0	0.0	0.0	10.0	270.0	0.0	52.0	0.0	0.0	604.0	0.0	0.0	819.0	375.0	0.0	0.0	0.0	0.0	437.0	43.0	213.0	364.0	11.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0
mcrD_386001202	3.0	0.0	193.0	0.0	0.0	0.0	150.0	0.0	2.0	7.0	0.0	2.0	0.0	0.0	0.0	70.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	30.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	2.0	5.0	1.0	78.0	35.0	8.0	0.0	74.0	2.0	0.0	91.0	0.0	98.0	200.0	2.0	2.0	0.0	3.0	0.0	11.0	1.0	2.0	0.0	0.0	10.0	0.0
mcrD_397780901	3.0	458.0	6.0	8.0	1072.0	0.0	3.0	4.0	8.0	6.0	823.0	3.0	0.0	3.0	1.0	6.0	764.0	3.0	0.0	961.0	0.0	2.0	10.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	14.0	4.0	8.0	0.0	764.0	12.0	0.0	2.0	3.0	8.0	2.0	23.0	3.0	1.0	9.0	4.0	0.0	0.0	12.0	383.0	5.0	12.0	3.0	5.0	0.0	0.0	2.0	6.0	2.0	9.0	210.0	2.0	15.0	526.0
mcrD_metn_BK008_03960	0.0	357.0	0.0	1.0	524.0	0.0	1.0	4.0	6.0	3.0	347.0	0.0	0.0	13.0	4.0	14.0	378.0	0.0	1.0	225.0	2.0	0.0	6.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	15.0	3.0	1.0	0.0	330.0	0.0	5.0	0.0	0.0	5.0	1.0	40.0	2.0	2.0	9.0	3.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	11.0	0.0	4.0	288.0	1.0	24.0	259.0
mcrD_1220534.B655_0644	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	3.0	0.0	0.0	16.0	0.0	8.0	2.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	15.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
mcrD_126178326	1.0	192.0	10.0	0.0	422.0	0.0	2.0	0.0	5.0	0.0	366.0	0.0	0.0	1.0	0.0	4.0	307.0	0.0	0.0	377.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	5.0	0.0	1.0	0.0	296.0	6.0	0.0	0.0	1.0	11.0	2.0	2.0	9.0	0.0	1.0	1.0	0.0	0.0	5.0	171.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	117.0	0.0	11.0	178.0
mcrD_meto_CIT02_08460	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	11.0	0.0	0.0	20.0	0.0	4.0	16.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	9.0	2.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mcrD_A0A1V4YPX2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mcrD_435851804	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	3.0	0.0	1.0	28.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mcrD_21227345	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mcrD_WP_128505376.1	0.0	0.0	179.0	15.0	0.0	0.0	454.0	19.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	1.0	19.0	810.0	0.0	0.0	2.0	0.0	79.0	183.0	0.0	0.0	0.0	0.0	10.0	0.0	55.0	903.0	0.0	0.0	444.0	6.0	419.0	0.0	0.0	1321.0	0.0	82.0	0.0	7.0	156.0	0.0	0.0	233.0	2.0	229.0	474.0	2.0	546.0	15.0	0.0	150.0	0.0	265.0	0.0	0.0	2.0	0.0	0.0
mcrD_mfz_AOB57_007320	0.0	0.0	88.0	0.0	0.0	0.0	556.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	1914.0	0.0	0.0	0.0	0.0	0.0	1039.0	0.0	658.0	3.0	0.0	0.0	79.0	0.0	715.0	0.0	0.0	1.0	0.0	3556.0	0.0	0.0	2539.0	0.0	0.0	37.0	0.0	66.0	253.0	0.0	1.0	0.0	0.0	568.0	2.0	156.0	0.0	0.0	0.0	0.0	0.0
