	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mcrG_1220534.B655_0645	2.0	2669.0	0.0	0.0	4608.0	2.0	5.0	71.0	64.0	35.0	3465.0	2.0	0.0	73.0	30.0	174.0	2778.0	13.0	3.0	1903.0	5.0	1.0	47.0	0.0	0.0	5.0	0.0	0.0	0.0	19.0	176.0	36.0	2.0	2.0	2671.0	2.0	12.0	0.0	2.0	26.0	17.0	266.0	1.0	17.0	80.0	5.0	0.0	0.0	0.0	2857.0	0.0	2.0	0.0	0.0	8.0	6.0	2.0	78.0	0.0	28.0	2010.0	6.0	196.0	2080.0
mcrG_mema_MMAB1_2234	1.0	971.0	20.0	1.0	2012.0	0.0	13.0	1.0	16.0	7.0	1478.0	0.0	0.0	0.0	4.0	6.0	1530.0	0.0	1.0	1829.0	0.0	1.0	13.0	0.0	5.0	0.0	0.0	4.0	2.0	0.0	38.0	1.0	12.0	0.0	1367.0	22.0	0.0	1.0	6.0	28.0	1.0	20.0	5.0	7.0	4.0	6.0	0.0	0.0	23.0	762.0	10.0	24.0	5.0	1.0	0.0	0.0	1.0	19.0	1.0	8.0	347.0	2.0	14.0	842.0
mcrG_566003809	0.0	31.0	0.0	0.0	54.0	6.0	0.0	3.0	3.0	0.0	35.0	6.0	0.0	6.0	0.0	0.0	31.0	0.0	28.0	22.0	0.0	0.0	5.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	2.0	9.0	6.0	0.0	31.0	0.0	0.0	5.0	0.0	0.0	21.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	34.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	1.0	7.0	1.0	27.0	0.0	1.0	24.0
mcrG_msub_BK009_08290	0.0	103.0	0.0	0.0	172.0	0.0	0.0	7.0	9.0	0.0	122.0	0.0	0.0	2.0	0.0	8.0	120.0	1.0	3.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	1.0	1.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	0.0	1.0	96.0	0.0	2.0	129.0
mcrG_meto_CIT02_08455	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	34.0	13.0	0.0	0.0	0.0	1.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	15.0	5.0	10.0	0.0	0.0	12.0	0.0	10.0	30.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mcrG_A0A1V6K8J2	0.0	0.0	20.0	52.0	0.0	4.0	8.0	54.0	5.0	0.0	2.0	0.0	0.0	76.0	12.0	1.0	0.0	49.0	0.0	2.0	0.0	18.0	0.0	17.0	0.0	4.0	0.0	1.0	15.0	0.0	0.0	0.0	6.0	1.0	0.0	2.0	15.0	0.0	0.0	2.0	0.0	8.0	11.0	0.0	52.0	24.0	0.0	0.0	0.0	0.0	5.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	4.0	0.0
mcrG_84489141	0.0	11.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
mcrG_A0A5E4IGU9	296.0	4.0	0.0	1.0	6.0	485.0	0.0	4.0	210.0	634.0	4.0	431.0	289.0	8.0	66.0	936.0	2.0	9.0	241.0	1.0	383.0	8.0	401.0	0.0	259.0	431.0	248.0	477.0	7.0	379.0	385.0	38.0	60.0	756.0	2.0	2.0	19.0	14.0	400.0	398.0	86.0	812.0	0.0	620.0	12.0	0.0	1177.0	485.0	4.0	14.0	1.0	0.0	535.0	82.0	311.0	536.0	15.0	398.0	89.0	187.0	0.0	3.0	687.0	1.0
mcrG_mema_MMAB1_2234_m01	0.0	140.0	5.0	2.0	278.0	1.0	0.0	0.0	5.0	0.0	238.0	0.0	0.0	2.0	0.0	1.0	215.0	0.0	0.0	227.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	7.0	2.0	152.0	0.0	0.0	0.0	1.0	4.0	2.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	66.0	0.0	1.0	112.0
mcrG_msub_BK009_08290_m01	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	19.0	0.0	10.0	0.0	8.0	0.0	0.0	0.0	16.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	12.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
