	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtaA_435850955	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	2.0	0.0	0.0	17.0	0.0	1.0	0.0	1.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	2.0	0.0	0.0	33.0	0.0	1.0	0.0	32.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	12.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
mtaA_A0A1V4YJQ0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
mtaA_mbak_MSBR3_1746	0.0	0.0	588.0	36.0	0.0	0.0	1466.0	53.0	0.0	0.0	2.0	0.0	0.0	53.0	6.0	0.0	0.0	34.0	2652.0	0.0	0.0	2.0	0.0	191.0	361.0	0.0	0.0	0.0	8.0	48.0	0.0	176.0	2563.0	0.0	0.0	1417.0	18.0	1257.0	0.0	0.0	4062.0	0.0	309.0	1.0	43.0	503.0	0.0	0.0	638.0	0.0	317.0	1111.0	0.0	1663.0	76.0	0.0	498.0	1.0	747.0	0.0	0.0	11.0	0.0	0.0
mtaA_mbak_MSBR3_2381	0.0	0.0	353.0	5.0	0.0	0.0	639.0	16.0	0.0	0.0	0.0	0.0	4.0	22.0	0.0	0.0	0.0	20.0	1452.0	0.0	0.0	2.0	0.0	115.0	352.0	0.0	0.0	0.0	4.0	39.0	0.0	120.0	2207.0	1.0	0.0	975.0	4.0	956.0	0.0	0.0	3171.0	0.0	189.0	0.0	8.0	284.0	0.0	0.0	503.0	0.0	344.0	702.0	0.0	1390.0	28.0	0.0	372.0	0.0	600.0	0.0	0.0	1.0	0.0	0.0
mtaA_21227172	1.0	1.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtaA_21226278	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	0.0	0.0	1.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	3.0	0.0	0.0	15.0	0.0	2.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtaA_mmj_MSMAS_0801	1.0	0.0	20.0	2.0	0.0	3.0	161.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	4.0	133.0	0.0	0.0	0.0	1.0	3.0	2.0	7.0	2.0	0.0	0.0	19.0	0.0	3.0	25.0	7.0	0.0	23.0	1.0	11.0	0.0	0.0	53.0	0.0	8.0	0.0	1.0	15.0	0.0	0.0	12.0	0.0	12.0	103.0	0.0	27.0	37.0	0.0	11.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
mtaA_192952.MM_1932	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	7.0	0.0	0.0	17.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	4.0	62.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtaA_435851432	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	2.0	0.0	0.0	42.0	0.0	2.0	0.0	35.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtaA_435850969	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	3.0	0.0	0.0	39.0	0.0	2.0	1.0	35.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
