	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtaB_A0A1V4YGT6	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	6.0	0.0	8.0	4.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	7.0	5.0	5.0	4.0	1.0	10.0	0.0	2.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	4.0	2.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtaB_435850968	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	7.0	17.0	0.0	0.0	0.0	0.0	2.0	64.0	0.0	0.0	0.0	0.0	0.0	6.0	47.0	3.0	2.0	0.0	65.0	0.0	6.0	0.0	38.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
mtaB_mfz_AOB57_002020	0.0	0.0	279.0	0.0	0.0	0.0	1814.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	174.0	0.0	0.0	0.0	0.0	6040.0	2.0	0.0	0.0	0.0	0.0	3534.0	0.0	2250.0	8.0	0.0	0.0	247.0	0.0	2415.0	0.0	0.0	2.0	0.0	10499.0	0.0	0.0	8208.0	0.0	0.0	163.0	0.0	189.0	978.0	0.0	1.0	1.0	0.0	1915.0	1.0	453.0	0.0	0.0	0.0	2.0	0.0
mtaB_mfz_AOB57_007940	0.0	0.0	308.0	0.0	0.0	1.0	1628.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	143.0	0.0	0.0	0.0	0.0	5866.0	0.0	0.0	0.0	0.0	0.0	3455.0	0.0	2024.0	4.0	0.0	0.0	228.0	0.0	2409.0	0.0	0.0	5.0	0.0	9746.0	0.0	0.0	7918.0	3.0	0.0	179.0	0.0	198.0	857.0	0.0	0.0	0.0	0.0	1992.0	0.0	465.0	0.0	0.0	0.0	0.0	0.0
mtaB_84489012	0.0	42.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	1.0	31.0	0.0	1.0	0.0	0.0	0.0	27.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	19.0
mtaB_84489014	0.0	14.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	10.0
mtaB_A0A1V4Z920	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	36.0	69.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	11.0	38.0	52.0	0.0	0.0	29.0	0.0	6.0	4.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	24.0	17.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtaB_A0A1V4Z2W5	0.0	2.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	1.0	48.0	72.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	24.0	59.0	45.0	1.0	0.0	34.0	0.0	3.0	2.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	48.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtaB_21227176	1.0	0.0	101.0	6.0	0.0	0.0	204.0	3.0	0.0	0.0	1.0	3.0	5.0	9.0	0.0	0.0	0.0	5.0	410.0	2.0	0.0	0.0	0.0	22.0	82.0	5.0	1.0	0.0	2.0	6.0	0.0	12.0	501.0	5.0	0.0	279.0	2.0	138.0	0.0	0.0	798.0	0.0	38.0	0.0	8.0	54.0	0.0	4.0	134.0	0.0	71.0	231.0	0.0	322.0	20.0	0.0	80.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0
mtaB_435851741	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	1.0	34.0	1.0	0.0	0.0	60.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
