	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtaC_A0A1V4YDW3	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	1.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	12.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
mtaC_84489017	0.0	20.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	15.0
mtaC_A0A1V4Z1P1	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	23.0	35.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	14.0	34.0	14.0	0.0	0.0	8.0	0.0	0.0	2.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	12.0	16.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtaC_435850967	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	1.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	21.0	0.0	0.0	0.0	28.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
mtaC_435851739	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	21.0	0.0	2.0	0.0	29.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
mtaC_435851740	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	3.0	0.0	0.0	23.0	0.0	2.0	0.0	31.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	27.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtaC_21226276	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	13.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtaC_mfz_AOB57_007945	0.0	0.0	176.0	0.0	0.0	4.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	152.0	0.0	0.0	0.0	0.0	3085.0	0.0	5.0	2.0	0.0	0.0	1993.0	0.0	1154.0	2.0	10.0	1.0	142.0	0.0	1313.0	0.0	0.0	4.0	0.0	5954.0	0.0	0.0	4563.0	0.0	0.0	138.0	0.0	98.0	475.0	0.0	0.0	5.0	0.0	1030.0	2.0	265.0	0.0	0.0	0.0	0.0	0.0
mtaC_mbak_MSBR3_2379	0.0	0.0	262.0	18.0	0.0	0.0	422.0	20.0	0.0	0.0	0.0	0.0	0.0	28.0	2.0	0.0	0.0	11.0	1236.0	0.0	0.0	0.0	0.0	100.0	273.0	0.0	0.0	0.0	4.0	27.0	1.0	92.0	1572.0	0.0	0.0	759.0	4.0	632.0	0.0	0.0	2390.0	0.0	119.0	0.0	16.0	245.0	0.0	0.0	344.0	2.0	278.0	552.0	0.0	851.0	31.0	0.0	251.0	0.0	460.0	0.0	0.0	7.0	0.0	0.0
mtaC_73668596	0.0	0.0	397.0	27.0	0.0	4.0	1102.0	25.0	0.0	0.0	0.0	3.0	0.0	41.0	5.0	0.0	1.0	47.0	1905.0	1.0	0.0	0.0	0.0	148.0	299.0	3.0	2.0	0.0	3.0	25.0	0.0	118.0	1887.0	18.0	0.0	1038.0	17.0	808.0	0.0	0.0	2895.0	0.0	137.0	0.0	42.0	346.0	0.0	0.0	467.0	0.0	320.0	819.0	0.0	1197.0	45.0	0.0	348.0	0.0	576.0	0.0	0.0	8.0	0.0	0.0
