	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtbA_435850249	1.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	10.0	13.0	0.0	0.0	0.0	2.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	2.0	50.0	5.0	0.0	0.0	96.0	0.0	1.0	1.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	51.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
mtbA_A0A1V4YIR4	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	16.0	5.0	0.0	0.0	26.0	0.0	4.0	2.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	1.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
mtbA_435850572	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	30.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	19.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtbA_21227541	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	2.0	15.0	1.0	0.0	0.0	33.0	0.0	1.0	2.0	12.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	67.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtbA_mfz_AOB57_008940	0.0	0.0	242.0	0.0	0.0	0.0	1427.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	121.0	0.0	0.0	0.0	0.0	4981.0	2.0	0.0	0.0	0.0	0.0	2474.0	0.0	1743.0	3.0	2.0	0.0	193.0	0.0	1852.0	0.0	0.0	5.0	0.0	10032.0	0.0	0.0	6458.0	0.0	0.0	159.0	0.0	135.0	704.0	0.0	2.0	1.0	0.0	1351.0	0.0	356.0	0.0	0.0	0.0	0.0	0.0
mtbA_73668382	0.0	0.0	345.0	24.0	0.0	0.0	710.0	46.0	0.0	0.0	0.0	0.0	0.0	40.0	1.0	0.0	0.0	20.0	878.0	2.0	0.0	2.0	0.0	72.0	300.0	0.0	0.0	0.0	2.0	13.0	0.0	71.0	1961.0	0.0	1.0	1130.0	5.0	550.0	0.0	0.0	2844.0	0.0	154.0	0.0	25.0	261.0	1.0	0.0	494.0	0.0	350.0	744.0	0.0	1209.0	20.0	0.0	270.0	0.0	308.0	0.0	0.0	11.0	0.0	0.0
mtbA_mthr_MSTHT_1928	0.0	0.0	71.0	9.0	0.0	3.0	194.0	7.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	17.0	401.0	0.0	0.0	0.0	0.0	21.0	66.0	0.0	0.0	0.0	0.0	5.0	0.0	37.0	295.0	8.0	0.0	174.0	7.0	138.0	0.0	0.0	485.0	0.0	42.0	0.0	17.0	57.0	0.0	0.0	78.0	0.0	70.0	161.0	0.0	226.0	7.0	0.0	45.0	0.0	106.0	0.0	0.0	1.0	0.0	0.0
mtbA_mthr_MSTHT_1928_m01	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	97.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	14.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0
mtbA_mthr_MSTHT_1928_m02	0.0	0.0	6.0	0.0	1.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	22.0	1.0	0.0	11.0	0.0	10.0	0.0	0.0	29.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	7.0	0.0	8.0	14.0	0.0	15.0	2.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
mtbA_mek_MSKOL_3324_m02	0.0	0.0	89.0	1.0	0.0	6.0	482.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1219.0	0.0	0.0	0.0	0.0	62.0	46.0	2.0	0.0	0.0	0.0	24.0	0.0	58.0	225.0	7.0	0.0	168.0	0.0	348.0	0.0	0.0	359.0	0.0	53.0	0.0	0.0	134.0	0.0	0.0	57.0	0.0	50.0	286.0	1.0	174.0	38.0	0.0	169.0	0.0	286.0	0.0	1.0	0.0	0.0	0.0
