	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtbB_435850275	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	2.0	0.0	2.0	20.0	0.0	0.0	0.0	1.0	0.0	112.0	0.0	2.0	0.0	0.0	0.0	6.0	67.0	0.0	0.0	0.0	97.0	0.0	8.0	4.0	92.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	1.0	46.0	1.0	16.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0
mtbB_mthr_MSTHT_1361	0.0	1.0	181.0	1.0	0.0	0.0	998.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	3215.0	0.0	0.0	0.0	0.0	0.0	2114.0	0.0	1206.0	2.0	0.0	0.0	142.0	0.0	1378.0	0.0	0.0	4.0	0.0	5975.0	0.0	0.0	4498.0	0.0	0.0	90.0	0.0	98.0	504.0	0.0	0.0	0.0	0.0	1063.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0
mtbB_mmac_MSMAC_1375	1.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	6.0	24.0	0.0	0.0	0.0	0.0	0.0	285.0	0.0	0.0	0.0	0.0	0.0	4.0	22.0	8.0	0.0	0.0	35.0	0.0	0.0	2.0	43.0	0.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	106.0	0.0	5.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
mtbB_mmac_MSMAC_1786	1.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0	2.0	0.0	2.0	19.0	2.0	0.0	0.0	33.0	0.0	2.0	1.0	20.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	52.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtbB_mek_MSKOL_0466	0.0	0.0	649.0	20.0	0.0	0.0	1165.0	29.0	0.0	0.0	0.0	0.0	0.0	26.0	4.0	0.0	1.0	38.0	2135.0	3.0	0.0	0.0	0.0	192.0	460.0	4.0	0.0	0.0	6.0	22.0	0.0	128.0	3263.0	0.0	0.0	1768.0	7.0	975.0	0.0	0.0	4877.0	0.0	253.0	0.0	33.0	367.0	0.0	0.0	795.0	0.0	607.0	1315.0	0.0	2005.0	34.0	0.0	412.0	0.0	672.0	0.0	0.0	4.0	0.0	0.0
mtbB_mbak_MSBR3_1955	0.0	0.0	183.0	1.0	0.0	0.0	961.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	3173.0	2.0	0.0	0.0	0.0	0.0	2112.0	0.0	1134.0	1.0	0.0	0.0	170.0	0.0	1410.0	0.0	0.0	1.0	0.0	6105.0	0.0	0.0	4519.0	0.0	0.0	96.0	0.0	122.0	540.0	0.0	2.0	0.0	0.0	1084.0	0.0	275.0	0.0	0.0	0.0	0.0	0.0
mtbB_mhor_MSHOH_2132	0.0	0.0	20.0	8.0	0.0	3.0	55.0	19.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	1.0	15.0	1219.0	0.0	0.0	1.0	0.0	30.0	25.0	0.0	1.0	0.0	0.0	12.0	0.0	3.0	110.0	0.0	0.0	57.0	13.0	123.0	0.0	0.0	182.0	0.0	20.0	0.0	11.0	106.0	0.0	0.0	24.0	0.0	19.0	61.0	0.0	77.0	24.0	0.0	62.0	0.0	97.0	0.0	0.0	3.0	0.0	0.0
mtbB_20089811	0.0	0.0	106.0	6.0	0.0	0.0	236.0	30.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	24.0	558.0	0.0	0.0	0.0	0.0	75.0	146.0	0.0	0.0	0.0	0.0	34.0	2.0	94.0	704.0	0.0	0.0	247.0	4.0	624.0	0.0	0.0	1034.0	0.0	63.0	0.0	24.0	166.0	0.0	0.0	113.0	0.0	77.0	260.0	0.0	502.0	4.0	0.0	253.0	0.0	468.0	0.0	0.0	10.0	0.0	0.0
mtbB_mbw_MSBRW_2236	0.0	0.0	151.0	6.0	0.0	8.0	345.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	723.0	0.0	0.0	0.0	0.0	47.0	58.0	0.0	0.0	0.0	0.0	28.0	0.0	62.0	546.0	3.0	0.0	346.0	3.0	215.0	0.0	0.0	755.0	0.0	107.0	0.0	6.0	141.0	0.0	0.0	140.0	0.0	116.0	314.0	0.0	331.0	21.0	0.0	92.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0
mtbB_A0A0G3CCG2	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	150.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	1.0	12.0	0.0	6.0	2.0	7.0	0.0	1.0	1.0	35.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	7.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	10.0	0.0	49.0	0.0	0.0	1.0	0.0	0.0
