	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtbC_69279.BG36_18040	0.0	6.0	0.0	0.0	74.0	36.0	6.0	0.0	0.0	3.0	33.0	6.0	14.0	0.0	0.0	3.0	25.0	0.0	36.0	11.0	0.0	0.0	6.0	0.0	6.0	74.0	11.0	0.0	0.0	61.0	6.0	3.0	8.0	77.0	3.0	3.0	0.0	6.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	11.0	3.0	0.0	0.0	0.0	17.0	0.0	8.0	0.0	3.0	0.0	6.0	0.0	0.0	14.0
mtbC_1192868.CAIU01000031_gene3942	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	44.0	6.0	0.0	0.0	0.0	3.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	124.0	11.0	36.0	0.0	0.0	6.0	0.0	8.0	74.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	55.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtbC_21229063	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	11.0	19.0	0.0	0.0	0.0	0.0	0.0	295.0	0.0	0.0	0.0	0.0	0.0	5.0	19.0	5.0	0.0	0.0	56.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtbC_314256.OG2516_06177	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	3.0	43.0	0.0	0.0	0.0	100.0	0.0	3.0	0.0	49.0	0.0	0.0	0.0	14.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
mtbC_435851435	0.0	0.0	0.0	0.0	0.0	67.0	1.0	0.0	0.0	0.0	0.0	4.0	16.0	0.0	0.0	0.0	1.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	2.0	41.0	10.0	0.0	0.0	73.0	0.0	7.0	3.0	71.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	42.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
mtbC_20089743	1.0	0.0	1113.0	73.0	0.0	2.0	2814.0	91.0	0.0	0.0	0.0	3.0	2.0	127.0	2.0	0.0	2.0	111.0	5165.0	3.0	0.0	7.0	0.0	347.0	918.0	0.0	0.0	0.0	8.0	85.0	0.0	336.0	5269.0	4.0	0.0	2670.0	31.0	2055.0	0.0	0.0	7959.0	0.0	503.0	0.0	119.0	1007.0	0.0	0.0	1321.0	0.0	866.0	2535.0	0.0	3225.0	99.0	0.0	1016.0	0.0	1534.0	0.0	0.0	25.0	0.0	0.0
mtbC_mby_MSBRM_0927	0.0	0.0	445.0	14.0	0.0	0.0	732.0	44.0	0.0	0.0	0.0	0.0	0.0	22.0	6.0	0.0	0.0	8.0	379.0	3.0	0.0	0.0	0.0	130.0	249.0	0.0	0.0	0.0	0.0	6.0	0.0	72.0	2321.0	0.0	0.0	1183.0	6.0	387.0	0.0	0.0	3351.0	0.0	122.0	0.0	8.0	434.0	0.0	0.0	611.0	0.0	495.0	931.0	0.0	1395.0	6.0	0.0	257.0	0.0	180.0	0.0	0.0	6.0	0.0	0.0
mtbC_mby_MSBRM_0927_m01	0.0	0.0	30.0	0.0	0.0	6.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	0.0	0.0	655.0	0.0	8.0	0.0	0.0	0.0	525.0	0.0	268.0	0.0	6.0	0.0	28.0	0.0	293.0	0.0	3.0	0.0	0.0	1102.0	0.0	0.0	903.0	0.0	0.0	14.0	0.0	22.0	111.0	0.0	0.0	11.0	0.0	265.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0
mtbC_mby_MSBRM_0927_m02	0.0	0.0	859.0	61.0	0.0	6.0	1934.0	72.0	0.0	0.0	0.0	3.0	0.0	108.0	3.0	3.0	0.0	86.0	3871.0	0.0	0.0	6.0	0.0	298.0	655.0	3.0	0.0	0.0	3.0	64.0	0.0	249.0	3791.0	8.0	0.0	2199.0	19.0	1661.0	0.0	0.0	5877.0	0.0	583.0	0.0	75.0	782.0	0.0	0.0	1061.0	0.0	823.0	2152.0	0.0	2558.0	66.0	0.0	815.0	0.0	1111.0	0.0	0.0	8.0	0.0	0.0
mtbC_mby_MSBRM_0927_m03	0.0	0.0	171.0	14.0	0.0	0.0	439.0	28.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	22.0	1602.0	0.0	0.0	11.0	0.0	210.0	216.0	0.0	0.0	0.0	0.0	86.0	0.0	135.0	1199.0	0.0	0.0	589.0	0.0	691.0	0.0	0.0	1661.0	0.0	257.0	0.0	50.0	478.0	0.0	0.0	182.0	0.0	249.0	448.0	0.0	763.0	33.0	0.0	268.0	0.0	517.0	0.0	0.0	11.0	0.0	0.0
mtbC_mby_MSBRM_0927_m04	0.0	0.0	58.0	30.0	0.0	0.0	169.0	44.0	0.0	0.0	0.0	0.0	0.0	33.0	6.0	0.0	0.0	19.0	431.0	0.0	0.0	3.0	0.0	41.0	50.0	0.0	0.0	0.0	0.0	3.0	0.0	17.0	329.0	0.0	0.0	196.0	28.0	204.0	0.0	0.0	569.0	0.0	44.0	0.0	33.0	127.0	0.0	0.0	64.0	0.0	66.0	204.0	0.0	262.0	8.0	0.0	86.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0
mtbC_mby_MSBRM_0927_m05	0.0	0.0	6.0	0.0	0.0	8.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	86.0	0.0	3.0	0.0	0.0	0.0	83.0	0.0	44.0	0.0	17.0	0.0	14.0	0.0	41.0	0.0	0.0	0.0	0.0	177.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	0.0	3.0	0.0	28.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
