	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtd_I7LMX2	6.0	873.0	15.0	6.0	1883.0	0.0	13.0	2.0	22.0	0.0	1370.0	0.0	0.0	4.0	0.0	13.0	1351.0	0.0	2.0	1527.0	0.0	0.0	20.0	3.0	4.0	0.0	0.0	3.0	0.0	3.0	22.0	2.0	3.0	0.0	1215.0	27.0	0.0	0.0	2.0	28.0	4.0	40.0	7.0	2.0	0.0	2.0	3.0	3.0	15.0	720.0	11.0	19.0	4.0	0.0	0.0	2.0	3.0	21.0	0.0	17.0	374.0	0.0	5.0	832.0
mtd_A0A089Z7S3	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0	16.0	0.0	0.0	10.0	0.0	7.0	25.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	17.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtd_K6U983	0.0	206.0	0.0	2.0	373.0	1.0	1.0	6.0	13.0	0.0	339.0	0.0	0.0	6.0	2.0	8.0	227.0	0.0	0.0	134.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	12.0	1.0	0.0	225.0	1.0	0.0	1.0	0.0	4.0	4.0	25.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	10.0	1.0	1.0	159.0	1.0	10.0	210.0
mtd_A0A1V4YEE2	0.0	39.0	17.0	24.0	47.0	6.0	49.0	39.0	230.0	12.0	29.0	2.0	3.0	22.0	3.0	340.0	21.0	23.0	138.0	23.0	7.0	18.0	748.0	6.0	4.0	9.0	2.0	12.0	8.0	94.0	539.0	308.0	28.0	3.0	13.0	55.0	17.0	47.0	2.0	587.0	149.0	567.0	9.0	21.0	37.0	9.0	6.0	2.0	12.0	49.0	6.0	28.0	2.0	9.0	7.0	4.0	233.0	163.0	52.0	297.0	30.0	14.0	402.0	28.0
mtd_A0A2H4VI87	1.0	15.0	0.0	0.0	23.0	8.0	0.0	0.0	0.0	1.0	25.0	5.0	0.0	0.0	0.0	0.0	18.0	0.0	19.0	8.0	0.0	0.0	2.0	0.0	1.0	7.0	1.0	0.0	0.0	7.0	1.0	3.0	3.0	2.0	15.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	1.0	0.0	10.0	0.0	6.0	0.0	6.0	0.0	1.0	10.0
mtd_R9SJF9	0.0	108.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	43.0	39.0	2.0	76.0	2.0	0.0	73.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	79.0
mtd_A0A063Z759	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	21.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	26.0	0.0	1.0	0.0
mtd_A0A1V4TGY8	0.0	197.0	0.0	3.0	361.0	0.0	3.0	7.0	6.0	3.0	300.0	0.0	2.0	3.0	3.0	5.0	217.0	0.0	5.0	149.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	9.0	3.0	0.0	0.0	192.0	0.0	1.0	1.0	0.0	1.0	4.0	19.0	1.0	4.0	5.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	4.0	1.0	2.0	2.0	1.0	3.0	128.0	0.0	16.0	125.0
mtd_U6EAV6	0.0	494.0	0.0	0.0	816.0	10.0	0.0	6.0	25.0	2.0	609.0	9.0	5.0	14.0	1.0	28.0	528.0	0.0	39.0	326.0	6.0	0.0	7.0	0.0	3.0	6.0	7.0	2.0	0.0	23.0	42.0	16.0	16.0	1.0	487.0	0.0	3.0	10.0	2.0	8.0	22.0	30.0	0.0	3.0	9.0	0.0	0.0	4.0	0.0	439.0	0.0	0.0	0.0	10.0	6.0	0.0	13.0	10.0	7.0	3.0	344.0	0.0	39.0	418.0
mtd_WP_074370676.1	0.0	37.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	537.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	115.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	0.0	0.0	11.0
