	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtmC_21227540	0.0	0.0	18.0	0.0	0.0	5.0	28.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	31.0	0.0	0.0	0.0	0.0	2.0	16.0	4.0	0.0	0.0	0.0	11.0	0.0	3.0	102.0	4.0	0.0	70.0	3.0	27.0	0.0	0.0	180.0	0.0	6.0	0.0	1.0	18.0	0.0	0.0	26.0	0.0	28.0	37.0	0.0	66.0	11.0	0.0	16.0	0.0	14.0	0.0	0.0	1.0	0.0	0.0
mtmC_mbar_MSBR2_2230	0.0	0.0	173.0	0.0	0.0	0.0	885.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	3008.0	0.0	0.0	0.0	0.0	0.0	1511.0	0.0	1044.0	0.0	0.0	0.0	98.0	0.0	1325.0	0.0	0.0	0.0	0.0	6050.0	0.0	0.0	4084.0	0.0	0.0	94.0	0.0	120.0	500.0	0.0	0.0	1.0	0.0	900.0	0.0	283.0	0.0	0.0	0.0	0.0	0.0
mtmC_20089043	0.0	0.0	21.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	536.0	0.0	0.0	0.0	0.0	0.0	249.0	0.0	214.0	0.0	0.0	0.0	11.0	0.0	214.0	0.0	0.0	0.0	0.0	813.0	0.0	0.0	676.0	0.0	0.0	18.0	0.0	10.0	70.0	0.0	0.0	0.0	0.0	144.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0
mtmC_msj_MSSAC_0123	0.0	0.0	10.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	167.0	0.0	0.0	0.0	0.0	142.0	7.0	0.0	0.0	0.0	0.0	76.0	0.0	43.0	17.0	0.0	0.0	11.0	0.0	52.0	0.0	0.0	26.0	0.0	211.0	0.0	0.0	133.0	0.0	0.0	14.0	0.0	9.0	45.0	0.0	16.0	5.0	0.0	59.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0
mtmC_21227540_m01	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	1.0	146.0	0.0	0.0	0.0	0.0	0.0	4.0	18.0	1.0	0.0	0.0	11.0	0.0	2.0	0.0	17.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	63.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtmC_20089043_m01	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m02	0.0	0.0	324.0	3.0	0.0	1.0	445.0	12.0	0.0	0.0	0.0	2.0	0.0	8.0	1.0	0.0	0.0	14.0	244.0	0.0	0.0	1.0	0.0	61.0	255.0	0.0	0.0	0.0	6.0	4.0	0.0	55.0	1556.0	0.0	0.0	777.0	4.0	345.0	0.0	0.0	2239.0	0.0	96.0	0.0	17.0	214.0	0.0	0.0	434.0	0.0	309.0	618.0	0.0	937.0	4.0	0.0	184.0	0.0	195.0	0.0	0.0	2.0	0.0	0.0
mtmC_msj_MSSAC_0123_m01	0.0	0.0	11.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	12.0	11.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	34.0	0.0	0.0	15.0	0.0	20.0	0.0	0.0	34.0	0.0	18.0	0.0	2.0	26.0	0.0	0.0	16.0	0.0	5.0	58.0	0.0	28.0	16.0	0.0	9.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m05	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1.0	0.0	8.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m06	0.0	0.0	57.0	0.0	0.0	0.0	255.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	264.0	0.0	0.0	0.0	0.0	16.0	12.0	0.0	0.0	0.0	2.0	1.0	0.0	5.0	19.0	0.0	0.0	33.0	1.0	21.0	0.0	0.0	45.0	0.0	26.0	0.0	1.0	45.0	0.0	0.0	13.0	0.0	26.0	169.0	0.0	24.0	15.0	0.0	16.0	0.0	53.0	0.0	0.0	1.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m07	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m08	0.0	0.0	0.0	2.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	19.0	3.0	0.0	0.0	8.0	71.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	25.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	20.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m09	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	13.0	0.0	0.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	17.0	0.0	27.0	90.0	0.0	0.0	1.0	0.0	299.0	0.0	0.0	141.0	0.0	2.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	78.0	0.0	0.0	113.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m11	0.0	0.0	63.0	1.0	0.0	0.0	271.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	841.0	0.0	0.0	0.0	0.0	27.0	18.0	4.0	0.0	0.0	0.0	12.0	0.0	15.0	62.0	0.0	0.0	75.0	0.0	47.0	0.0	0.0	105.0	0.0	33.0	0.0	3.0	95.0	0.0	0.0	35.0	0.0	54.0	155.0	0.0	42.0	27.0	0.0	14.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0
mtmC_mbar_MSBR2_2230_m13	0.0	0.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	10.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
