	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtrB_330507203	131.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	272.0	0.0	159.0	68.0	0.0	0.0	0.0	4.0	0.0	69.0	0.0	131.0	0.0	0.0	0.0	76.0	150.0	73.0	171.0	0.0	123.0	0.0	13.0	19.0	198.0	0.0	0.0	0.0	5.0	119.0	1.0	20.0	2.0	0.0	263.0	1.0	0.0	455.0	173.0	0.0	0.0	0.0	0.0	201.0	21.0	91.0	195.0	8.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0
mtrB_A0A1V4YHU8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtrB_509155595	0.0	42.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	16.0	10.0	0.0	26.0	0.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	21.0
mtrB_21227646	0.0	0.0	15.0	3.0	0.0	0.0	24.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	100.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	67.0	0.0	0.0	49.0	0.0	48.0	0.0	0.0	133.0	0.0	11.0	0.0	1.0	6.0	0.0	0.0	28.0	0.0	19.0	31.0	0.0	63.0	4.0	0.0	12.0	0.0	16.0	0.0	0.0	1.0	0.0	0.0
mtrB_435852203	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mtrB_73668787	0.0	0.0	112.0	8.0	0.0	0.0	209.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	385.0	0.0	0.0	1.0	0.0	24.0	54.0	0.0	0.0	0.0	0.0	5.0	0.0	32.0	308.0	0.0	0.0	206.0	1.0	169.0	0.0	0.0	567.0	0.0	38.0	0.0	9.0	90.0	0.0	0.0	87.0	0.0	89.0	182.0	0.0	215.0	11.0	0.0	81.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0
mtrB_WP_128503445.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrB_mls_MSLAZ_0074	0.0	0.0	32.0	2.0	0.0	0.0	83.0	4.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	130.0	0.0	0.0	0.0	0.0	8.0	17.0	0.0	0.0	0.0	1.0	3.0	0.0	9.0	137.0	0.0	0.0	72.0	0.0	50.0	0.0	0.0	228.0	0.0	18.0	0.0	2.0	17.0	0.0	0.0	35.0	0.0	36.0	76.0	0.0	90.0	5.0	0.0	34.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
mtrB_mfz_AOB57_009410	0.0	0.0	38.0	0.0	0.0	0.0	296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	828.0	0.0	0.0	0.0	0.0	0.0	613.0	0.0	350.0	0.0	0.0	0.0	47.0	0.0	398.0	0.0	0.0	0.0	0.0	1537.0	0.0	0.0	1328.0	0.0	0.0	28.0	0.0	19.0	133.0	0.0	0.0	0.0	0.0	341.0	1.0	78.0	0.0	0.0	0.0	0.0	0.0
mtrB_mthe_MSTHC_1266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
mtrB_meq_MSWHS_0204	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
