	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtrC_330507204	366.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	742.0	6.0	218.0	116.0	0.0	0.0	0.0	4.0	0.0	84.0	0.0	421.0	0.0	0.0	0.0	105.0	132.0	118.0	587.0	0.0	132.0	0.0	21.0	22.0	185.0	1.0	0.0	0.0	4.0	405.0	0.0	34.0	3.0	0.0	964.0	0.0	0.0	1456.0	483.0	1.0	0.0	0.0	0.0	711.0	37.0	163.0	629.0	21.0	0.0	35.0	0.0	0.0	1.0	0.0	0.0
mtrC_A0A101FVK7	281.0	1.0	2759.0	0.0	0.0	0.0	2438.0	0.0	7.0	209.0	3.0	26.0	0.0	0.0	0.0	163.0	1.0	0.0	0.0	0.0	65.0	0.0	7.0	416.0	63.0	0.0	5.0	335.0	0.0	0.0	12.0	0.0	36.0	0.0	2.0	2377.0	0.0	0.0	103.0	15.0	57.0	141.0	278.0	105.0	0.0	547.0	72.0	26.0	1170.0	0.0	1382.0	2592.0	193.0	21.0	0.0	188.0	0.0	29.0	0.0	3.0	0.0	0.0	26.0	0.0
mtrC_A0A1V4VCC7	73.0	0.0	15.0	0.0	0.0	0.0	10.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	1.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	34.0	11.0	8.0	0.0	6.0	7.0	29.0	0.0	0.0	39.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrC_397780907	0.0	921.0	14.0	6.0	1870.0	0.0	15.0	0.0	8.0	2.0	1354.0	0.0	0.0	28.0	6.0	12.0	1321.0	2.0	2.0	1799.0	0.0	0.0	19.0	3.0	2.0	1.0	1.0	5.0	1.0	1.0	22.0	2.0	7.0	0.0	1305.0	34.0	6.0	2.0	2.0	25.0	2.0	29.0	2.0	2.0	15.0	3.0	2.0	0.0	25.0	765.0	5.0	20.0	6.0	4.0	0.0	1.0	2.0	10.0	0.0	8.0	337.0	0.0	21.0	871.0
mtrC_A0A1V4YH65	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
mtrC_meto_CIT02_09495	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	0.0	14.0	49.0	19.0	0.0	1.0	151.0	0.0	95.0	35.0	5.0	0.0	0.0	0.0	105.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	21.0	79.0	0.0	77.0	0.0	48.0	0.0	0.0	1.0	0.0	0.0
mtrC_A0A1V4TLL9	0.0	1617.0	1.0	6.0	2994.0	0.0	2.0	20.0	54.0	13.0	2250.0	5.0	1.0	28.0	17.0	88.0	1809.0	9.0	13.0	977.0	3.0	1.0	38.0	1.0	1.0	0.0	1.0	0.0	0.0	20.0	119.0	14.0	2.0	0.0	1731.0	0.0	13.0	2.0	1.0	25.0	15.0	198.0	2.0	17.0	46.0	0.0	1.0	0.0	1.0	1464.0	0.0	0.0	0.0	3.0	0.0	3.0	17.0	34.0	1.0	14.0	1196.0	0.0	97.0	1410.0
mtrC_A0A2I0PZS9	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	3.0	0.0	0.0	15.0	0.0	9.0	4.0	3.0	0.0	0.0	0.0	10.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtrC_mfc_BRM9_0932	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	12.0	0.0	0.0	10.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	6.0	1.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
mtrC_A0A101GM33	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	1.0	2.0	0.0	7.0	0.0	6.0	0.0	0.0	1.0	2.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	8.0	5.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
