	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtrE_330507206	30.0	0.0	0.0	4.0	3.0	37.0	0.0	3.0	166.0	105.0	2.0	29.0	22.0	6.0	24.0	697.0	1.0	3.0	25.0	0.0	70.0	6.0	343.0	0.0	24.0	50.0	25.0	59.0	2.0	23.0	334.0	3.0	4.0	56.0	0.0	0.0	8.0	4.0	67.0	300.0	29.0	578.0	0.0	121.0	10.0	0.0	198.0	56.0	0.0	3.0	0.0	0.0	102.0	10.0	51.0	79.0	2.0	250.0	10.0	109.0	0.0	2.0	503.0	0.0
mtrE_msub_BK009_07400	1.0	1538.0	0.0	6.0	2653.0	0.0	6.0	36.0	38.0	23.0	1872.0	5.0	0.0	33.0	7.0	80.0	1630.0	8.0	16.0	875.0	5.0	0.0	17.0	0.0	0.0	0.0	2.0	0.0	0.0	20.0	118.0	34.0	7.0	0.0	1536.0	0.0	2.0	6.0	2.0	16.0	16.0	156.0	2.0	22.0	35.0	6.0	0.0	2.0	0.0	1247.0	0.0	0.0	1.0	3.0	2.0	2.0	9.0	38.0	4.0	14.0	1054.0	0.0	101.0	1215.0
mtrE_A0A101ILP1	264.0	0.0	3025.0	0.0	2.0	0.0	2718.0	0.0	8.0	270.0	0.0	21.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	96.0	0.0	11.0	457.0	96.0	0.0	9.0	390.0	0.0	0.0	21.0	0.0	25.0	0.0	0.0	2687.0	0.0	0.0	128.0	17.0	59.0	157.0	333.0	115.0	0.0	539.0	76.0	24.0	1374.0	0.0	1449.0	2950.0	252.0	33.0	0.0	249.0	0.0	62.0	0.0	2.0	0.0	0.0	15.0	0.0
mtrE_A0A1V4VDK5	73.0	0.0	21.0	0.0	0.0	0.0	15.0	0.0	0.0	52.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	62.0	0.0	1.0	28.0	6.0	6.0	0.0	10.0	18.0	43.0	1.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrE_A0A1V4YG16	2.0	42.0	19.0	36.0	33.0	10.0	61.0	58.0	302.0	20.0	71.0	8.0	7.0	45.0	5.0	396.0	50.0	30.0	192.0	22.0	6.0	30.0	951.0	11.0	8.0	9.0	1.0	21.0	6.0	134.0	609.0	424.0	54.0	5.0	31.0	61.0	27.0	49.0	1.0	790.0	168.0	788.0	18.0	31.0	45.0	18.0	1.0	3.0	14.0	38.0	11.0	77.0	7.0	22.0	25.0	4.0	378.0	227.0	81.0	370.0	35.0	32.0	507.0	43.0
mtrE_397780905	4.0	975.0	20.0	6.0	2176.0	0.0	17.0	2.0	28.0	4.0	1496.0	7.0	0.0	2.0	2.0	27.0	1538.0	0.0	0.0	1844.0	0.0	2.0	19.0	7.0	17.0	0.0	2.0	2.0	8.0	0.0	13.0	0.0	17.0	0.0	1525.0	34.0	3.0	2.0	1.0	19.0	13.0	22.0	1.0	4.0	2.0	2.0	2.0	2.0	17.0	862.0	16.0	24.0	4.0	11.0	4.0	2.0	1.0	14.0	0.0	13.0	437.0	1.0	16.0	979.0
mtrE_A0A1V4YHB0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	1.0	2.0	11.0	0.0	0.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	2.0	0.0	30.0	0.0	4.0	3.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
mtrE_G9BY99	0.0	0.0	46.0	373.0	4.0	0.0	92.0	487.0	16.0	7.0	8.0	0.0	0.0	549.0	74.0	19.0	1.0	300.0	0.0	8.0	0.0	68.0	0.0	96.0	2.0	0.0	0.0	6.0	89.0	0.0	8.0	0.0	7.0	0.0	12.0	19.0	101.0	0.0	14.0	10.0	15.0	42.0	98.0	3.0	442.0	128.0	1.0	0.0	13.0	8.0	33.0	136.0	0.0	1.0	0.0	2.0	0.0	5.0	0.0	12.0	8.0	21.0	5.0	2.0
mtrE_WP_004031278.1	0.0	218.0	0.0	0.0	432.0	4.0	0.0	3.0	5.0	2.0	242.0	5.0	8.0	5.0	3.0	14.0	276.0	0.0	27.0	99.0	1.0	0.0	12.0	1.0	3.0	2.0	5.0	0.0	1.0	24.0	22.0	11.0	6.0	1.0	224.0	0.0	2.0	5.0	0.0	1.0	6.0	24.0	0.0	5.0	2.0	0.0	0.0	3.0	0.0	174.0	0.0	0.0	0.0	7.0	3.0	0.0	9.0	8.0	2.0	0.0	175.0	0.0	14.0	132.0
mtrE_meto_CIT02_09485	0.0	10.0	0.0	0.0	21.0	78.0	0.0	0.0	1.0	0.0	20.0	178.0	47.0	0.0	0.0	1.0	11.0	0.0	624.0	5.0	0.0	0.0	0.0	0.0	92.0	104.0	134.0	0.0	0.0	289.0	2.0	169.0	167.0	23.0	11.0	0.0	0.0	183.0	0.0	0.0	239.0	1.0	0.0	0.0	1.0	0.0	0.0	62.0	0.0	13.0	0.0	0.0	0.0	189.0	121.0	0.0	142.0	0.0	94.0	0.0	6.0	0.0	0.0	8.0
