	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtrF_330507201	71.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	139.0	0.0	53.0	28.0	0.0	0.0	0.0	1.0	0.0	35.0	0.0	72.0	0.0	0.0	0.0	35.0	32.0	32.0	102.0	0.0	37.0	0.0	4.0	6.0	46.0	0.0	0.0	0.0	1.0	60.0	0.0	5.0	1.0	0.0	157.0	0.0	0.0	242.0	87.0	0.0	0.0	0.0	0.0	146.0	11.0	28.0	104.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
mtrF_A0A1V4VB24	20.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	13.0	4.0	1.0	0.0	2.0	1.0	11.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrF_435852201	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrF_21227644	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrF_WP_128503449.1	0.0	0.0	74.0	5.0	0.0	0.0	176.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	237.0	0.0	0.0	1.0	0.0	27.0	44.0	0.0	0.0	0.0	0.0	11.0	0.0	22.0	254.0	0.0	0.0	170.0	4.0	140.0	0.0	0.0	397.0	0.0	23.0	0.0	6.0	47.0	0.0	0.0	55.0	0.0	45.0	119.0	0.0	142.0	4.0	0.0	47.0	1.0	69.0	0.0	0.0	0.0	0.0	0.0
mtrF_WP_048108284.1	0.0	0.0	5.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	166.0	1.0	0.0	0.0	0.0	0.0	80.0	0.0	48.0	0.0	0.0	0.0	7.0	0.0	58.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	208.0	0.0	0.0	7.0	0.0	9.0	23.0	0.0	0.0	0.0	0.0	49.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
mtrF_73668785	0.0	0.0	6.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	39.0	0.0	0.0	0.0	4.0	0.0	48.0	0.0	0.0	0.0	0.0	183.0	0.0	0.0	159.0	0.0	0.0	9.0	0.0	4.0	16.0	0.0	0.0	0.0	0.0	38.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
mtrF_WP_048120286.1	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	20.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
mtrF_A0A1V4YIG1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrF_330507201_m01	0.0	1.0	0.0	0.0	4.0	0.0	0.0	2.0	119.0	0.0	2.0	0.0	0.0	4.0	10.0	315.0	0.0	6.0	0.0	0.0	0.0	4.0	146.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	152.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	157.0	7.0	287.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	61.0	0.0	0.0	251.0	0.0
