	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtrG_330507200	0.0	2.0	0.0	2.0	15.0	0.0	0.0	7.0	258.0	0.0	0.0	0.0	0.0	5.0	59.0	941.0	0.0	7.0	0.0	0.0	0.0	2.0	431.0	0.0	0.0	2.0	0.0	0.0	12.0	7.0	441.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	409.0	30.0	758.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	344.0	0.0	134.0	2.0	2.0	676.0	0.0
mtrG_WP_004031290.1	0.0	584.0	0.0	5.0	902.0	0.0	0.0	23.0	18.0	3.0	639.0	0.0	0.0	15.0	15.0	18.0	566.0	0.0	5.0	316.0	5.0	0.0	10.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	50.0	5.0	3.0	0.0	484.0	0.0	3.0	0.0	3.0	8.0	0.0	85.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	474.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	18.0	0.0	0.0	386.0	3.0	30.0	451.0
mtrG_A0A1V4TL75	0.0	316.0	0.0	0.0	534.0	0.0	3.0	5.0	15.0	0.0	381.0	0.0	0.0	3.0	3.0	15.0	356.0	0.0	3.0	160.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	30.0	8.0	5.0	0.0	303.0	0.0	0.0	0.0	3.0	3.0	3.0	28.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	18.0	0.0	0.0	226.0	0.0	20.0	243.0
mtrG_1220534.B655_1101	0.0	125.0	0.0	0.0	205.0	3.0	0.0	0.0	5.0	0.0	165.0	0.0	0.0	3.0	0.0	10.0	140.0	0.0	3.0	70.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	18.0	3.0	0.0	3.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	3.0	115.0	0.0	10.0	145.0
mtrG_566003672	0.0	0.0	0.0	5.0	0.0	145.0	0.0	0.0	0.0	3.0	0.0	346.0	90.0	0.0	0.0	8.0	0.0	0.0	942.0	0.0	0.0	0.0	0.0	0.0	140.0	163.0	165.0	0.0	0.0	429.0	3.0	233.0	303.0	58.0	0.0	0.0	0.0	278.0	0.0	0.0	346.0	3.0	0.0	0.0	0.0	0.0	0.0	78.0	3.0	0.0	0.0	0.0	0.0	283.0	200.0	0.0	273.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0
mtrG_A0A1V6K021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mtrG_metn_BK008_03025	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	3.0	0.0	10.0	13.0	5.0	0.0	0.0	13.0	0.0	13.0	10.0	5.0	0.0	0.0	0.0	13.0	0.0	0.0	15.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	15.0	13.0	0.0	10.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
mtrG_WP_083608985.1	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	17.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtrG_A0A3N5MNU1	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	22.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mtrG_330507200_m01	181.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	310.0	0.0	97.0	42.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	215.0	0.0	0.0	0.0	57.0	64.0	35.0	230.0	0.0	79.0	0.0	2.0	20.0	82.0	0.0	0.0	0.0	2.0	163.0	2.0	25.0	5.0	0.0	461.0	0.0	0.0	585.0	183.0	0.0	0.0	0.0	0.0	315.0	15.0	54.0	255.0	0.0	2.0	17.0	0.0	0.0	0.0	0.0	0.0
