	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mtrH_386002776	420.0	0.0	3639.0	0.0	0.0	0.0	3212.0	1.0	16.0	395.0	2.0	32.0	0.0	0.0	0.0	191.0	6.0	0.0	0.0	3.0	135.0	0.0	8.0	584.0	93.0	0.0	7.0	450.0	0.0	0.0	28.0	0.0	37.0	0.0	0.0	3144.0	0.0	0.0	191.0	9.0	59.0	194.0	320.0	146.0	0.0	581.0	79.0	30.0	1629.0	0.0	1726.0	3362.0	243.0	33.0	0.0	284.0	0.0	62.0	1.0	6.0	0.0	0.0	29.0	0.0
mtrH_330507199	478.0	0.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	998.0	6.0	480.0	247.0	0.0	0.0	0.0	4.0	0.0	291.0	0.0	610.0	0.0	0.0	0.0	260.0	397.0	241.0	812.0	0.0	282.0	0.0	31.0	60.0	409.0	0.0	0.0	0.0	26.0	526.0	0.0	70.0	6.0	0.0	1248.0	0.0	0.0	2013.0	762.0	0.0	0.0	0.0	0.0	967.0	81.0	327.0	824.0	26.0	1.0	122.0	0.0	0.0	0.0	2.0	0.0
mtrH_397780912	5.0	1119.0	23.0	11.0	2354.0	0.0	14.0	4.0	27.0	4.0	1860.0	2.0	3.0	4.0	1.0	41.0	1731.0	0.0	1.0	2070.0	0.0	2.0	22.0	4.0	4.0	0.0	0.0	5.0	4.0	1.0	16.0	7.0	9.0	0.0	1616.0	35.0	2.0	0.0	3.0	25.0	15.0	30.0	11.0	0.0	3.0	3.0	0.0	0.0	14.0	897.0	6.0	20.0	5.0	2.0	0.0	2.0	8.0	18.0	0.0	20.0	449.0	4.0	25.0	1039.0
mtrH_A0A1V4TKT5	0.0	1635.0	2.0	8.0	2890.0	0.0	9.0	25.0	29.0	32.0	2173.0	2.0	0.0	60.0	18.0	62.0	1609.0	3.0	0.0	951.0	7.0	0.0	37.0	1.0	0.0	4.0	0.0	0.0	2.0	7.0	134.0	8.0	0.0	0.0	1652.0	2.0	4.0	1.0	0.0	15.0	14.0	169.0	1.0	30.0	51.0	4.0	0.0	0.0	0.0	1451.0	0.0	0.0	4.0	2.0	2.0	3.0	7.0	45.0	0.0	14.0	1182.0	2.0	106.0	1133.0
mtrH_A0A1V4YF83	0.0	0.0	0.0	0.0	0.0	13.0	9.0	4.0	20.0	3.0	9.0	37.0	10.0	4.0	0.0	23.0	0.0	4.0	113.0	4.0	3.0	0.0	81.0	0.0	18.0	12.0	15.0	0.0	0.0	47.0	30.0	59.0	26.0	4.0	4.0	1.0	0.0	22.0	0.0	59.0	62.0	39.0	0.0	4.0	4.0	0.0	0.0	15.0	0.0	0.0	0.0	1.0	0.0	24.0	28.0	0.0	41.0	15.0	22.0	17.0	0.0	2.0	32.0	1.0
mtrH_1220534.B655_1102	1.0	210.0	1.0	0.0	408.0	0.0	0.0	7.0	2.0	2.0	321.0	0.0	0.0	3.0	2.0	13.0	256.0	2.0	1.0	168.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	18.0	5.0	1.0	0.0	238.0	0.0	0.0	0.0	0.0	1.0	0.0	26.0	1.0	2.0	11.0	0.0	0.0	0.0	0.0	251.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	174.0	0.0	20.0	196.0
mtrH_metn_BK008_03020	0.0	88.0	1.0	1.0	139.0	8.0	0.0	3.0	0.0	2.0	106.0	1.0	0.0	2.0	1.0	2.0	100.0	1.0	3.0	49.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	1.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	4.0	1.0	13.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	75.0	0.0	0.0	72.0
mtrH_126178555	0.0	43.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	830.0	1.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	597.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	655.0	0.0	5.0	29.0
mtrH_509155591	0.0	167.0	0.0	0.0	183.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	78.0	43.0	0.0	97.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	90.0
mtrH_WP_004031291.1	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	4.0	0.0	2.0	20.0	0.0	4.0	5.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
