	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mttB_435850269	2.0	0.0	0.0	3.0	0.0	40.0	0.0	0.0	0.0	2.0	0.0	19.0	35.0	0.0	5.0	0.0	0.0	4.0	74.0	0.0	4.0	0.0	0.0	0.0	4.0	26.0	8.0	2.0	0.0	70.0	0.0	9.0	9.0	46.0	0.0	0.0	0.0	1.0	2.0	0.0	28.0	0.0	0.0	3.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	3.0	34.0	3.0	10.0	0.0	5.0	0.0	1.0	2.0	0.0	0.0
mttB_mmac_MSMAC_1450	0.0	0.0	218.0	2.0	0.0	8.0	302.0	2.0	0.0	0.0	0.0	2.0	1.0	6.0	0.0	0.0	1.0	5.0	564.0	0.0	0.0	0.0	0.0	48.0	136.0	3.0	0.0	0.0	0.0	29.0	0.0	89.0	926.0	9.0	0.0	464.0	4.0	486.0	0.0	0.0	1500.0	0.0	55.0	0.0	3.0	113.0	0.0	0.0	160.0	0.0	192.0	365.0	0.0	540.0	50.0	0.0	219.0	0.0	292.0	0.0	0.0	0.0	0.0	2.0
mttB_mmj_MSMAS_2636	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	105.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mttB_mls_MSLAZ_0287	0.0	0.0	144.0	1.0	0.0	0.0	235.0	9.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	11.0	474.0	0.0	0.0	0.0	0.0	30.0	149.0	0.0	0.0	0.0	2.0	22.0	0.0	62.0	795.0	0.0	0.0	435.0	4.0	400.0	0.0	0.0	1293.0	0.0	49.0	0.0	6.0	110.0	0.0	0.0	175.0	0.0	147.0	262.0	0.0	502.0	13.0	0.0	180.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0
mttB_mthe_MSTHC_1221	0.0	0.0	547.0	0.0	0.0	1.0	3251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	304.0	2.0	0.0	0.0	0.0	10736.0	3.0	0.0	0.0	0.0	1.0	6757.0	0.0	4131.0	2.0	0.0	0.0	435.0	0.0	4527.0	0.0	0.0	10.0	0.0	19424.0	0.0	0.0	14877.0	0.0	0.0	331.0	0.0	402.0	1819.0	0.0	2.0	0.0	0.0	3524.0	3.0	943.0	0.0	0.0	0.0	0.0	0.0
mttB_20089810	0.0	0.0	41.0	6.0	0.0	0.0	121.0	15.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	9.0	412.0	0.0	0.0	0.0	0.0	25.0	33.0	0.0	0.0	0.0	1.0	11.0	0.0	21.0	186.0	4.0	0.0	71.0	5.0	129.0	0.0	0.0	326.0	0.0	32.0	0.0	10.0	50.0	0.0	0.0	59.0	0.0	28.0	148.0	0.0	135.0	8.0	0.0	66.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0
mttB_meq_MSWHS_2544	0.0	0.0	179.0	32.0	0.0	0.0	583.0	40.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	34.0	1732.0	2.0	0.0	2.0	0.0	120.0	181.0	0.0	0.0	0.0	0.0	24.0	0.0	71.0	861.0	0.0	0.0	413.0	14.0	473.0	0.0	0.0	1227.0	0.0	94.0	0.0	29.0	276.0	0.0	0.0	216.0	0.0	151.0	543.0	0.0	652.0	37.0	0.0	211.0	0.0	365.0	0.0	0.0	4.0	0.0	0.0
mttB_mbw_MSBRW_3227	0.0	0.0	129.0	1.0	0.0	3.0	342.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0	671.0	0.0	0.0	0.0	0.0	33.0	90.0	0.0	0.0	0.0	2.0	5.0	0.0	41.0	545.0	2.0	0.0	311.0	2.0	299.0	0.0	0.0	704.0	0.0	59.0	0.0	5.0	97.0	0.0	0.0	134.0	0.0	113.0	356.0	0.0	336.0	18.0	0.0	151.0	0.0	194.0	0.0	0.0	2.0	0.0	1.0
mttB_ag_AAD14630	0.0	0.0	99.0	8.0	0.0	0.0	505.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	5.0	286.0	2.0	0.0	0.0	0.0	506.0	4.0	0.0	0.0	0.0	0.0	224.0	0.0	149.0	10.0	0.0	0.0	42.0	4.0	188.0	0.0	0.0	13.0	0.0	940.0	0.0	10.0	816.0	0.0	0.0	25.0	0.0	61.0	268.0	0.0	2.0	5.0	0.0	161.0	0.0	48.0	0.0	0.0	4.0	0.0	0.0
mttB_20089417	0.0	0.0	407.0	20.0	0.0	1.0	719.0	10.0	0.0	0.0	1.0	0.0	0.0	35.0	2.0	0.0	0.0	26.0	1711.0	0.0	0.0	0.0	0.0	110.0	385.0	0.0	0.0	0.0	2.0	43.0	0.0	140.0	2437.0	0.0	0.0	1143.0	1.0	1111.0	0.0	0.0	3805.0	0.0	134.0	0.0	27.0	208.0	0.0	0.0	476.0	0.0	375.0	846.0	0.0	1520.0	40.0	0.0	529.0	0.0	719.0	0.0	0.0	0.0	0.0	0.0
