	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mttC_435850270	0.0	0.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	5.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	24.0	0.0	1.0	2.0	0.0	1.0	1.0	11.0	1.0	0.0	1.0	23.0	0.0	3.0	3.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mttC_470204010	0.0	0.0	0.0	0.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	8.0	34.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	14.0	27.0	14.0	0.0	0.0	19.0	0.0	4.0	16.0	30.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
mttC_A0A1V4YHU5	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	9.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mttC_470179777	0.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	0.0	1.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	2.0	0.0	0.0	13.0	0.0	1.0	2.0	52.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
mttC_1120983.KB894571_gene2516	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	7.0	19.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	17.0	6.0	4.0	0.0	0.0	12.0	0.0	3.0	3.0	24.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
mttC_452210603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mttC_21227792	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mttC_mek_MSKOL_0463	0.0	0.0	373.0	16.0	0.0	1.0	827.0	41.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	43.0	1437.0	0.0	0.0	2.0	0.0	137.0	270.0	1.0	0.0	0.0	4.0	20.0	0.0	103.0	1734.0	1.0	0.0	883.0	13.0	905.0	0.0	0.0	2784.0	0.0	181.0	0.0	27.0	275.0	0.0	0.0	383.0	0.0	306.0	785.0	0.0	1003.0	39.0	0.0	357.0	0.0	472.0	0.0	0.0	3.0	0.0	0.0
mttC_mls_MSLAZ_0288	0.0	0.0	15.0	2.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	44.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	28.0	0.0	0.0	19.0	0.0	15.0	0.0	0.0	42.0	0.0	8.0	0.0	2.0	15.0	0.0	0.0	7.0	0.0	11.0	37.0	0.0	25.0	2.0	0.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
mttC_mfz_AOB57_005655	0.0	0.0	132.0	0.0	0.0	1.0	702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	2490.0	0.0	0.0	0.0	0.0	0.0	1631.0	0.0	1027.0	0.0	0.0	0.0	109.0	0.0	1109.0	0.0	0.0	0.0	0.0	4937.0	0.0	0.0	3760.0	0.0	0.0	81.0	0.0	101.0	437.0	0.0	0.0	1.0	0.0	883.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0
