	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mvhA_1220534.B655_1117	0.0	2.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	28.0	0.0	6.0	0.0	4.0	2.0	0.0	0.0	3.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	4.0	10.0	0.0	8.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
mvhA_meto_CIT02_09590	0.0	86.0	0.0	1.0	147.0	51.0	0.0	0.0	3.0	1.0	106.0	124.0	37.0	2.0	0.0	3.0	94.0	1.0	429.0	43.0	1.0	0.0	1.0	0.0	46.0	70.0	74.0	0.0	2.0	168.0	4.0	98.0	115.0	9.0	82.0	0.0	0.0	123.0	0.0	0.0	144.0	4.0	0.0	1.0	0.0	0.0	0.0	36.0	0.0	69.0	0.0	0.0	0.0	121.0	104.0	0.0	79.0	4.0	72.0	1.0	44.0	0.0	9.0	54.0
mvhA_mfc_BRM9_0913	0.0	51.0	0.0	1.0	100.0	0.0	0.0	2.0	3.0	2.0	57.0	21.0	13.0	0.0	0.0	5.0	76.0	0.0	11.0	32.0	0.0	0.0	2.0	0.0	11.0	0.0	17.0	0.0	0.0	4.0	2.0	5.0	7.0	0.0	61.0	0.0	0.0	2.0	0.0	2.0	13.0	9.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	53.0	0.0	1.0	0.0	14.0	1.0	0.0	1.0	2.0	0.0	1.0	32.0	2.0	4.0	38.0
mvhA_566003658	0.0	1403.0	0.0	7.0	2367.0	8.0	2.0	38.0	58.0	28.0	1816.0	6.0	0.0	48.0	10.0	74.0	1458.0	2.0	11.0	879.0	10.0	0.0	26.0	2.0	2.0	0.0	0.0	0.0	4.0	20.0	102.0	18.0	2.0	1.0	1472.0	2.0	2.0	2.0	1.0	21.0	13.0	151.0	0.0	12.0	24.0	0.0	0.0	0.0	0.0	1326.0	0.0	1.0	0.0	2.0	0.0	2.0	5.0	24.0	2.0	4.0	922.0	0.0	84.0	966.0
mvhA_metn_BK008_02955	0.0	2.0	0.0	2.0	5.0	12.0	0.0	1.0	0.0	0.0	5.0	29.0	61.0	0.0	1.0	0.0	5.0	0.0	109.0	2.0	0.0	0.0	1.0	0.0	17.0	23.0	23.0	0.0	0.0	61.0	1.0	18.0	45.0	19.0	8.0	0.0	0.0	27.0	0.0	0.0	21.0	0.0	0.0	0.0	2.0	0.0	0.0	18.0	0.0	4.0	0.0	0.0	0.0	37.0	25.0	0.0	16.0	3.0	19.0	0.0	3.0	0.0	1.0	7.0
mvhA_msub_BK009_05685	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	21.0	4.0	0.0	0.0	0.0	1.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	7.0	0.0	0.0	47.0	0.0	14.0	13.0	3.0	0.0	0.0	0.0	18.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	10.0	0.0	12.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
mvhA_509155583	0.0	273.0	0.0	0.0	230.0	0.0	0.0	2.0	0.0	0.0	64.0	0.0	0.0	132.0	94.0	0.0	180.0	0.0	0.0	143.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	517.0	2.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	159.0
mvhA_mcub_MCBB_1966	0.0	22.0	17.0	15.0	34.0	14.0	60.0	36.0	231.0	30.0	25.0	16.0	3.0	36.0	2.0	265.0	37.0	25.0	172.0	28.0	11.0	7.0	580.0	7.0	0.0	11.0	1.0	8.0	2.0	71.0	521.0	295.0	17.0	16.0	32.0	46.0	28.0	59.0	1.0	591.0	146.0	493.0	11.0	23.0	32.0	5.0	2.0	1.0	13.0	21.0	10.0	24.0	5.0	20.0	14.0	5.0	269.0	159.0	77.0	275.0	22.0	15.0	345.0	22.0
mvhA_84489137	0.0	15.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	20.0
mvhA_325958128	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	17.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
mvhA_333988241	1.0	7.0	4.0	7.0	13.0	34.0	42.0	17.0	98.0	7.0	12.0	45.0	72.0	9.0	1.0	133.0	14.0	13.0	164.0	2.0	0.0	5.0	264.0	8.0	20.0	17.0	21.0	6.0	0.0	95.0	159.0	162.0	35.0	20.0	10.0	15.0	3.0	53.0	0.0	287.0	91.0	228.0	6.0	10.0	7.0	4.0	0.0	13.0	5.0	9.0	4.0	14.0	3.0	33.0	27.0	1.0	125.0	76.0	29.0	109.0	5.0	10.0	153.0	6.0
mvhA_mfi_DSM1535_0544	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	40.0	21.0	0.0	0.0	0.0	1.0	0.0	55.0	0.0	0.0	2.0	0.0	0.0	29.0	2.0	27.0	0.0	0.0	22.0	0.0	12.0	27.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	39.0	0.0	0.0	0.0	2.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	19.0	9.0	0.0	3.0	0.0	12.0	0.0	1.0	0.0	0.0	0.0
mvhA_1220534.B655_0476	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	1.0	0.0	0.0	149.0	40.0	0.0	0.0	0.0	0.0	0.0	357.0	0.0	0.0	1.0	0.0	0.0	77.0	58.0	96.0	0.0	0.0	171.0	0.0	85.0	139.0	18.0	0.0	0.0	0.0	83.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	112.0	60.0	0.0	76.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0
mvhA_116749651	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	8.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
mvhA_A0A1V4TD02	0.0	3556.0	0.0	22.0	6102.0	16.0	17.0	84.0	114.0	44.0	4409.0	2.0	0.0	100.0	24.0	206.0	3974.0	7.0	18.0	2374.0	19.0	2.0	79.0	9.0	0.0	11.0	1.0	0.0	4.0	24.0	262.0	60.0	5.0	1.0	3575.0	2.0	13.0	1.0	4.0	28.0	34.0	409.0	6.0	17.0	80.0	10.0	0.0	1.0	0.0	3163.0	0.0	2.0	0.0	2.0	5.0	13.0	22.0	86.0	3.0	39.0	2623.0	3.0	278.0	2795.0
mvhA_A0A1V4YQ75	0.0	0.0	0.0	0.0	0.0	344.0	0.0	2.0	0.0	0.0	0.0	731.0	192.0	2.0	0.0	0.0	1.0	2.0	2094.0	0.0	0.0	2.0	1.0	0.0	249.0	404.0	470.0	0.0	0.0	963.0	0.0	577.0	528.0	105.0	0.0	2.0	0.0	542.0	0.0	0.0	891.0	0.0	0.0	0.0	2.0	0.0	0.0	225.0	1.0	0.0	1.0	0.0	0.0	556.0	423.0	0.0	473.0	0.0	328.0	0.0	0.0	1.0	0.0	0.0
mvhA_1220534.B655_1117_m01	0.0	940.0	0.0	11.0	1652.0	33.0	9.0	20.0	63.0	12.0	1315.0	71.0	34.0	25.0	2.0	89.0	1039.0	8.0	251.0	646.0	4.0	1.0	76.0	2.0	32.0	49.0	60.0	4.0	0.0	111.0	104.0	119.0	71.0	9.0	901.0	6.0	5.0	78.0	2.0	60.0	112.0	137.0	4.0	2.0	31.0	2.0	0.0	24.0	0.0	888.0	1.0	8.0	0.0	62.0	68.0	3.0	81.0	54.0	73.0	36.0	661.0	1.0	88.0	785.0
mvhA_meto_CIT02_09590_m01	0.0	17.0	0.0	0.0	25.0	247.0	0.0	2.0	0.0	0.0	34.0	634.0	144.0	0.0	0.0	1.0	24.0	0.0	1910.0	12.0	0.0	0.0	0.0	0.0	275.0	269.0	403.0	0.0	0.0	834.0	1.0	472.0	549.0	71.0	18.0	4.0	0.0	532.0	0.0	0.0	700.0	2.0	0.0	1.0	1.0	0.0	0.0	171.0	0.0	11.0	0.0	0.0	0.0	555.0	368.0	0.0	463.0	0.0	261.0	0.0	10.0	0.0	1.0	9.0
mvhA_mfc_BRM9_0913_m01	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	108.0	36.0	0.0	0.0	0.0	1.0	0.0	371.0	0.0	0.0	0.0	0.0	0.0	51.0	55.0	69.0	0.0	0.0	157.0	0.0	100.0	109.0	11.0	0.0	0.0	0.0	100.0	0.0	0.0	151.0	0.0	2.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	91.0	58.0	0.0	75.0	0.0	45.0	0.0	1.0	0.0	0.0	0.0
mvhA_566003658_m01	0.0	10.0	0.0	0.0	15.0	18.0	0.0	1.0	1.0	0.0	17.0	11.0	3.0	0.0	0.0	0.0	6.0	0.0	116.0	7.0	0.0	0.0	1.0	0.0	3.0	10.0	9.0	0.0	0.0	60.0	1.0	12.0	7.0	5.0	12.0	0.0	0.0	28.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	14.0	32.0	0.0	28.0	0.0	17.0	0.0	4.0	0.0	1.0	5.0
mvhA_metn_BK008_02955_m01	0.0	2.0	0.0	0.0	4.0	18.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	2.0	0.0	1.0	35.0	0.0	13.0	7.0	2.0	2.0	0.0	0.0	10.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.0	8.0	11.0	1.0	13.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
mvhA_509155583_m01	0.0	2.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	1.0
mvhA_meto_CIT02_09590_m02	0.0	12.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	4.0	0.0	1.0	1.0	27.0	0.0	41.0	8.0	0.0	0.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	16.0	1.0	9.0	1.0	0.0	16.0	0.0	0.0	4.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	2.0	10.0	0.0	4.0	1.0	4.0	0.0	13.0	0.0	3.0	19.0
mvhA_metn_BK008_02955_m02	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	20.0	11.0	0.0	0.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	13.0	35.0	9.0	0.0	0.0	82.0	0.0	52.0	23.0	7.0	0.0	0.0	0.0	48.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	16.0	38.0	0.0	43.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
mvhA_mcub_MCBB_1966_m01	0.0	2.0	1.0	4.0	9.0	9.0	4.0	12.0	44.0	3.0	2.0	2.0	2.0	4.0	1.0	35.0	2.0	4.0	47.0	0.0	0.0	2.0	114.0	1.0	0.0	11.0	0.0	0.0	0.0	34.0	59.0	77.0	10.0	10.0	5.0	10.0	4.0	15.0	1.0	112.0	21.0	64.0	0.0	6.0	2.0	1.0	0.0	0.0	2.0	7.0	0.0	10.0	4.0	8.0	11.0	2.0	42.0	38.0	22.0	46.0	1.0	3.0	73.0	5.0
mvhA_1220534.B655_0476_m01	1.0	29.0	14.0	20.0	40.0	10.0	71.0	72.0	282.0	23.0	54.0	8.0	3.0	26.0	0.0	350.0	19.0	26.0	178.0	15.0	5.0	21.0	716.0	3.0	2.0	8.0	2.0	12.0	13.0	108.0	484.0	359.0	37.0	4.0	36.0	63.0	18.0	64.0	2.0	603.0	165.0	620.0	23.0	23.0	32.0	3.0	0.0	0.0	9.0	34.0	16.0	41.0	6.0	21.0	9.0	8.0	279.0	167.0	68.0	314.0	27.0	22.0	426.0	29.0
mvhA_meto_CIT02_09590_m03	0.0	28.0	0.0	0.0	45.0	5.0	0.0	1.0	1.0	0.0	26.0	12.0	4.0	1.0	0.0	1.0	26.0	0.0	137.0	11.0	0.0	0.0	2.0	0.0	3.0	29.0	12.0	0.0	0.0	56.0	1.0	18.0	5.0	9.0	28.0	0.0	0.0	33.0	0.0	1.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	17.0	0.0	0.0	0.0	9.0	20.0	0.0	13.0	0.0	16.0	0.0	16.0	0.0	1.0	18.0
mvhA_1220534.B655_0476_m02	0.0	1086.0	0.0	0.0	1799.0	11.0	2.0	11.0	19.0	4.0	1272.0	24.0	33.0	5.0	2.0	41.0	1222.0	1.0	41.0	628.0	2.0	0.0	24.0	0.0	14.0	14.0	14.0	0.0	0.0	24.0	61.0	19.0	7.0	6.0	1075.0	0.0	3.0	19.0	0.0	13.0	23.0	107.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	983.0	0.0	0.0	0.0	17.0	1.0	0.0	15.0	15.0	6.0	9.0	811.0	2.0	81.0	865.0
mvhA_1220534.B655_1117_m04	2.0	1205.0	0.0	4.0	1933.0	4.0	0.0	23.0	50.0	6.0	1517.0	2.0	0.0	41.0	20.0	59.0	1426.0	6.0	20.0	831.0	2.0	0.0	29.0	2.0	0.0	0.0	1.0	0.0	0.0	10.0	75.0	11.0	3.0	0.0	1306.0	0.0	0.0	1.0	2.0	18.0	8.0	150.0	2.0	10.0	23.0	2.0	0.0	0.0	4.0	1052.0	0.0	0.0	0.0	0.0	6.0	6.0	6.0	43.0	0.0	4.0	849.0	0.0	84.0	938.0
mvhA_1220534.B655_1117_m05	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	17.0	14.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	19.0	0.0	0.0	25.0	0.0	8.0	13.0	5.0	0.0	0.0	0.0	7.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	26.0	4.0	0.0	13.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
mvhA_333988241_m01	0.0	0.0	0.0	0.0	0.0	28.0	0.0	2.0	0.0	0.0	0.0	18.0	21.0	0.0	0.0	0.0	1.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	9.0	25.0	10.0	0.0	0.0	88.0	0.0	21.0	14.0	13.0	0.0	0.0	0.0	27.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	26.0	0.0	17.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
mvhA_1220534.B655_0476_m03	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	1.0	307.0	112.0	0.0	0.0	0.0	0.0	0.0	906.0	0.0	0.0	0.0	0.0	0.0	215.0	161.0	229.0	0.0	0.0	466.0	0.0	203.0	298.0	38.0	0.0	0.0	0.0	230.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	1.0	0.0	0.0	0.0	0.0	333.0	232.0	0.0	224.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0
mvhA_A0A1V4TD02_m01	1.0	91.0	0.0	1.0	160.0	3.0	0.0	1.0	3.0	1.0	123.0	0.0	0.0	3.0	2.0	7.0	114.0	1.0	9.0	59.0	0.0	0.0	8.0	0.0	0.0	2.0	1.0	0.0	0.0	6.0	5.0	4.0	0.0	1.0	93.0	0.0	0.0	0.0	0.0	3.0	1.0	15.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	2.0	1.0	0.0	68.0	0.0	5.0	66.0
mvhA_1220534.B655_0476_m04	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	15.0	4.0	0.0	0.0	0.0	2.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	9.0	14.0	16.0	0.0	0.0	22.0	0.0	9.0	22.0	8.0	0.0	0.0	0.0	21.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	13.0	12.0	0.0	14.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
mvhA_1220534.B655_1117_m07	0.0	21.0	0.0	0.0	44.0	4.0	0.0	0.0	0.0	0.0	45.0	3.0	2.0	0.0	0.0	0.0	31.0	0.0	11.0	18.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	1.0	0.0	9.0	1.0	2.0	3.0	2.0	34.0	0.0	0.0	5.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	16.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	21.0	0.0	0.0	16.0
mvhA_mfc_BRM9_0913_m03	0.0	29.0	0.0	0.0	46.0	4.0	0.0	0.0	0.0	2.0	30.0	6.0	2.0	0.0	0.0	2.0	27.0	0.0	11.0	21.0	0.0	0.0	1.0	0.0	6.0	0.0	8.0	0.0	0.0	5.0	4.0	5.0	12.0	0.0	27.0	0.0	0.0	4.0	0.0	1.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	30.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	25.0	0.0	3.0	21.0
mvhA_1220534.B655_1117_m08	0.0	136.0	0.0	0.0	166.0	1.0	0.0	2.0	1.0	1.0	122.0	2.0	0.0	1.0	0.0	2.0	112.0	1.0	23.0	54.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	0.0	0.0	9.0	5.0	7.0	5.0	0.0	89.0	0.0	2.0	3.0	0.0	1.0	6.0	8.0	0.0	0.0	3.0	0.0	1.0	5.0	0.0	96.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	4.0	2.0	2.0	69.0	0.0	5.0	85.0
mvhA_1220534.B655_0476_m06	1.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	33.0	31.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	23.0	26.0	10.0	0.0	0.0	80.0	0.0	20.0	33.0	6.0	1.0	0.0	0.0	30.0	0.0	0.0	33.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	23.0	31.0	0.0	26.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
mvhA_333988241_m02	0.0	10.0	16.0	16.0	29.0	0.0	33.0	29.0	195.0	14.0	30.0	6.0	1.0	28.0	2.0	222.0	23.0	13.0	104.0	15.0	1.0	10.0	466.0	1.0	2.0	7.0	3.0	7.0	10.0	75.0	323.0	272.0	14.0	5.0	15.0	25.0	20.0	65.0	1.0	413.0	114.0	320.0	6.0	6.0	34.0	3.0	1.0	1.0	2.0	28.0	5.0	18.0	2.0	9.0	14.0	1.0	197.0	134.0	63.0	226.0	16.0	18.0	207.0	15.0
mvhA_mfc_BRM9_0913_m05	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	91.0	26.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	0.0	0.0	64.0	78.0	75.0	0.0	0.0	136.0	0.0	88.0	106.0	8.0	0.0	0.0	2.0	115.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	92.0	121.0	0.0	76.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0
mvhA_1220534.B655_1117_m11	0.0	96.0	0.0	0.0	157.0	12.0	1.0	1.0	0.0	4.0	123.0	2.0	3.0	0.0	1.0	2.0	108.0	0.0	7.0	45.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	3.0	78.0	0.0	1.0	2.0	0.0	0.0	0.0	21.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	1.0	54.0	0.0	3.0	71.0
mvhA_metn_BK008_02955_m03	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	54.0	9.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	0.0	0.0	0.0	0.0	29.0	47.0	36.0	0.0	0.0	149.0	0.0	93.0	74.0	13.0	0.0	0.0	0.0	103.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	57.0	78.0	0.0	96.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0
