	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
mvhD_333988243	0.0	35.0	2.0	0.0	64.0	3.0	5.0	5.0	15.0	3.0	51.0	4.0	4.0	3.0	1.0	22.0	58.0	0.0	22.0	34.0	1.0	3.0	47.0	0.0	2.0	1.0	4.0	0.0	1.0	13.0	37.0	28.0	0.0	0.0	39.0	2.0	2.0	13.0	0.0	45.0	10.0	51.0	2.0	1.0	8.0	1.0	0.0	1.0	2.0	26.0	1.0	3.0	2.0	1.0	3.0	2.0	27.0	12.0	4.0	25.0	29.0	4.0	31.0	31.0
mvhD_333988243_m01	0.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	313.0	67.0	0.0	0.0	0.0	0.0	0.0	1008.0	0.0	0.0	0.0	0.0	0.0	140.0	162.0	215.0	0.0	0.0	376.0	0.0	232.0	303.0	38.0	0.0	1.0	0.0	235.0	0.0	0.0	383.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	278.0	187.0	0.0	233.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0
mvhD_333988243_m02	0.0	10.0	7.0	14.0	26.0	24.0	38.0	29.0	126.0	10.0	22.0	20.0	12.0	6.0	1.0	151.0	11.0	6.0	136.0	13.0	1.0	10.0	344.0	2.0	6.0	14.0	4.0	2.0	1.0	88.0	268.0	214.0	24.0	18.0	23.0	33.0	3.0	46.0	1.0	317.0	89.0	312.0	5.0	8.0	26.0	8.0	1.0	3.0	11.0	15.0	9.0	22.0	0.0	12.0	13.0	1.0	152.0	106.0	26.0	165.0	7.0	2.0	212.0	11.0
mvhD_333988243_m03	0.0	523.0	0.0	5.0	1040.0	10.0	0.0	19.0	13.0	7.0	800.0	1.0	6.0	13.0	13.0	26.0	615.0	0.0	27.0	427.0	6.0	0.0	11.0	0.0	1.0	2.0	0.0	0.0	0.0	10.0	48.0	15.0	9.0	1.0	671.0	2.0	1.0	12.0	0.0	3.0	8.0	61.0	2.0	5.0	14.0	1.0	0.0	1.0	0.0	521.0	0.0	0.0	1.0	2.0	4.0	0.0	10.0	11.0	3.0	2.0	362.0	0.0	32.0	468.0
mvhD_333988243_m04	0.0	328.0	0.0	1.0	632.0	0.0	0.0	9.0	20.0	1.0	460.0	0.0	0.0	10.0	1.0	20.0	337.0	3.0	3.0	251.0	2.0	2.0	5.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	30.0	12.0	0.0	0.0	418.0	0.0	1.0	1.0	0.0	5.0	1.0	40.0	3.0	0.0	3.0	0.0	2.0	2.0	0.0	369.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	9.0	0.0	0.0	222.0	0.0	24.0	262.0
mvhD_333988243_m05	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	7.0	0.0	0.0	0.0	0.0	3.0	1.0	8.0	1.0	1.0	11.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	22.0	21.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	7.0	3.0	15.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	16.0	3.0	7.0	4.0	1.0	2.0	9.0	0.0
mvhD_333988243_m06	0.0	205.0	0.0	1.0	354.0	0.0	0.0	1.0	10.0	3.0	283.0	0.0	0.0	7.0	1.0	5.0	207.0	1.0	0.0	155.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	3.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	1.0	3.0	29.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	97.0	0.0	13.0	156.0
mvhD_333988243_m07	0.0	30.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	28.0	2.0	4.0	0.0	0.0	1.0	24.0	0.0	7.0	17.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	2.0	1.0	35.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0	1.0	26.0
mvhD_333988243_m08	0.0	0.0	0.0	1.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	5.0	0.0	0.0	39.0	0.0	20.0	5.0	2.0	0.0	0.0	0.0	22.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	18.0	0.0	22.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0
mvhD_333988243_m09	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	9.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	1.0	0.0	0.0	4.0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	2.0	6.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	6.0	0.0	6.0	2.0	6.0	6.0	1.0	0.0	7.0	0.0
