	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
pta_A0A1V6HE31	192.0	0.0	688.0	489.0	0.0	0.0	668.0	825.0	2107.0	180.0	0.0	1.0	0.0	1049.0	4383.0	1951.0	1.0	1080.0	3.0	2.0	53.0	6837.0	3674.0	867.0	0.0	0.0	0.0	725.0	6466.0	9.0	11798.0	0.0	0.0	0.0	0.0	580.0	2770.0	0.0	29.0	3679.0	0.0	1260.0	533.0	136.0	1655.0	1307.0	36.0	9.0	187.0	2.0	312.0	496.0	921.0	0.0	0.0	542.0	2.0	2340.0	0.0	1500.0	0.0	7980.0	6625.0	0.0
pta_1122933.JNIY01000003_gene699	59.0	0.0	0.0	0.0	0.0	214.0	0.0	0.0	0.0	39.0	0.0	87.0	14.0	0.0	0.0	0.0	1.0	0.0	30.0	0.0	7.0	0.0	0.0	0.0	188.0	318.0	156.0	27.0	0.0	20.0	0.0	3.0	150.0	496.0	0.0	1.0	0.0	4.0	28.0	0.0	33.0	0.0	1.0	2.0	1.0	3.0	2.0	18.0	0.0	1.0	0.0	1.0	38.0	27.0	48.0	14.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
pta_A0A1V6J819	10.0	0.0	2.0	0.0	0.0	0.0	1.0	7.0	0.0	5.0	0.0	0.0	0.0	343.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	4.0	13.0	3.0	2.0	604.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	16.0	0.0
pta_WP_077450237.1	1.0	107.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	1067.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	58.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2329.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1431.0	453.0	0.0	1054.0	0.0	0.0	0.0	0.0	1.0	83.0	0.0	2.0	0.0	0.0	730.0	0.0	0.0	0.0
pta_1123034.JMKP01000005_gene881	0.0	7732.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	814.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	36.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	30.0	0.0	0.0	0.0
pta_WP_077448491.1	0.0	3158.0	0.0	326.0	94.0	0.0	0.0	0.0	6936.0	0.0	1.0	0.0	0.0	29.0	0.0	4340.0	0.0	101.0	0.0	65.0	0.0	68.0	0.0	2.0	0.0	0.0	1.0	44.0	0.0	2.0	2.0	0.0	3.0	0.0	2343.0	17.0	2214.0	0.0	18.0	3395.0	0.0	10404.0	0.0	0.0	2.0	0.0	0.0	0.0	32.0	15.0	6363.0	0.0	903.0	2.0	1.0	162.0	0.0	2108.0	0.0	1571.0	31.0	0.0	0.0	0.0
pta_1435356.Y013_10165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	625.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
pta_A0A2X3B960	0.0	84.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0
pta_1287475.HMPREF1650_07320	2.0	96.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	17.0
pta_202956.BBNL01000020_gene592	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pta_csta_CSTAT_11690	0.0	93.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0
pta_chm_B842_11505	0.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	28.0	0.0	0.0	0.0
pta_1121363.KB902215_gene1871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
pta_858619.CVAR_0455	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
pta_doa_AXF15_11075	13.0	16.0	538.0	3.0	22.0	0.0	201.0	2.0	4.0	2.0	22.0	9.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	22.0	0.0	1.0	30.0	135.0	73.0	0.0	0.0	1.0	0.0	0.0	18.0	0.0	58.0	1.0	13.0	494.0	0.0	0.0	1.0	12.0	14.0	20.0	58.0	4.0	0.0	461.0	7.0	2.0	350.0	20.0	258.0	466.0	2.0	155.0	0.0	7.0	0.0	13.0	1.0	9.0	4.0	0.0	24.0	2.0
pta_69279.BG36_07525	2.0	2.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
