	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
rnfA_WP_127816932.1	4023.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	2057.0	3.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	1269.0	2.0	0.0	0.0	0.0	0.0	0.0	3299.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	21.0	0.0	0.0	2004.0	3.0	0.0	1.0	0.0	1105.0	0.0	0.0	2536.0	751.0	17.0	0.0	3.0	2.0	1432.0	11.0	0.0	1795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfA_WP_092968531.1	178.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1029.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	503.0	2.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	376.0	0.0	0.0	0.0	0.0	1222.0	2.0	0.0	501.0	161.0	0.0	0.0	0.0	0.0	400.0	2.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfA_A0A3D1CZK5	27.0	0.0	10.0	0.0	0.0	29.0	0.0	0.0	212.0	46.0	0.0	16.0	45.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	8.0	0.0	187.0	0.0	8.0	47.0	19.0	46.0	0.0	0.0	230.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	20.0	252.0	2.0	134.0	0.0	49.0	0.0	0.0	127.0	82.0	8.0	0.0	0.0	0.0	65.0	7.0	5.0	38.0	4.0	98.0	0.0	106.0	0.0	0.0	164.0	0.0
rnfA_pbt_ING2E5B_1681	7.0	10.0	646.0	29.0	3.0	0.0	302.0	58.0	491.0	73.0	78.0	41.0	0.0	36.0	1.0	715.0	6.0	45.0	1468.0	3.0	97.0	75.0	817.0	328.0	92.0	9.0	8.0	46.0	157.0	52.0	713.0	452.0	269.0	0.0	18.0	1035.0	154.0	995.0	10.0	806.0	490.0	748.0	321.0	88.0	43.0	524.0	38.0	8.0	184.0	68.0	211.0	542.0	98.0	151.0	261.0	45.0	817.0	531.0	1338.0	730.0	8.0	40.0	949.0	7.0
rnfA_pmuc_ING2E5A_1071	2.0	14.0	2.0	0.0	4.0	0.0	1.0	0.0	4.0	18.0	25.0	0.0	0.0	0.0	1.0	11.0	2.0	0.0	70.0	4.0	8.0	0.0	20.0	2.0	2.0	8.0	1.0	4.0	0.0	18.0	10.0	35.0	0.0	0.0	32.0	11.0	0.0	76.0	5.0	7.0	0.0	0.0	1.0	23.0	0.0	14.0	11.0	3.0	2.0	20.0	7.0	7.0	37.0	0.0	42.0	12.0	61.0	5.0	91.0	5.0	0.0	0.0	8.0	0.0
rnfA_A0A1V5H6A3	52.0	0.0	226.0	0.0	0.0	0.0	85.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	42.0	0.0	0.0	10.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.0	0.0	0.0	10.0	0.0	0.0	2.0	20.0	147.0	0.0	45.0	13.0	1.0	81.0	0.0	153.0	132.0	230.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfA_A0A1V6HNN1	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	3.0	11.0	0.0	0.0	4.0	14.0	0.0	3.0	5.0	0.0	0.0	0.0	15.0	0.0	0.0	2.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	50.0	0.0	1.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
rnfA_389844198	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	51.0	0.0	1.0	18.0	6.0	0.0	0.0	2.0	0.0	18.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfA_A0A1V6K3M1	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	369.0	0.0	0.0	220.0	74.0	0.0	0.0	0.0	0.0	221.0	2.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfA_A0A1V5RMV2	26.0	0.0	83.0	0.0	0.0	0.0	92.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	2.0	0.0	50.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	49.0	0.0	0.0	22.0	0.0	16.0	0.0	11.0	43.0	0.0	40.0	14.0	3.0	21.0	0.0	44.0	73.0	23.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
