	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
rnfB_521003.COLINT_03341	5599.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	9347.0	38.0	0.0	0.0	3.0	3.0	0.0	12.0	0.0	0.0	0.0	4710.0	0.0	0.0	0.0	0.0	0.0	0.0	4328.0	0.0	0.0	7.0	0.0	0.0	0.0	14.0	1.0	0.0	0.0	9355.0	3.0	0.0	5.0	0.0	3515.0	3.0	0.0	5984.0	1856.0	0.0	0.0	1.0	0.0	2475.0	9.0	0.0	2258.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0
rnfB_pet_PEIBARAKI_4908	0.0	11.0	6.0	47.0	13.0	82.0	0.0	17.0	0.0	0.0	4.0	11.0	2.0	15.0	70.0	0.0	4.0	11.0	8.0	32.0	0.0	53.0	4.0	8.0	2.0	1619.0	0.0	13.0	51.0	4.0	0.0	0.0	4.0	2.0	21.0	4.0	25.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	25.0	25.0	11.0	11.0	0.0	4.0	0.0	11.0	2.0	11.0	140.0	0.0	0.0	2.0	2.0	0.0	0.0	30.0	8.0	0.0
rnfB_742742.HMPREF9452_01801	5207.0	5.0	4.0	0.0	8.0	0.0	5.0	0.0	0.0	2572.0	21.0	0.0	0.0	7.0	4.0	1.0	35.0	0.0	0.0	1.0	1559.0	1.0	1.0	0.0	0.0	0.0	0.0	3863.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	21.0	1.0	0.0	2454.0	1.0	0.0	7.0	0.0	1077.0	22.0	0.0	3028.0	917.0	18.0	0.0	0.0	7.0	1811.0	22.0	0.0	1902.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
rnfB_pbt_ING2E5B_1676	25.0	15.0	2347.0	236.0	25.0	0.0	1119.0	221.0	1500.0	297.0	282.0	154.0	0.0	124.0	8.0	2191.0	11.0	177.0	4521.0	17.0	219.0	263.0	2189.0	1043.0	308.0	44.0	27.0	225.0	377.0	322.0	2143.0	1136.0	817.0	0.0	76.0	2962.0	421.0	2726.0	25.0	2353.0	1479.0	2415.0	723.0	312.0	124.0	1487.0	206.0	63.0	687.0	293.0	615.0	1536.0	236.0	535.0	761.0	129.0	2069.0	1243.0	4292.0	1726.0	36.0	114.0	2768.0	8.0
rnfB_pmuc_ING2E5A_1076	19.0	47.0	19.0	0.0	13.0	0.0	19.0	0.0	19.0	38.0	93.0	2.0	0.0	0.0	0.0	32.0	6.0	0.0	186.0	13.0	21.0	0.0	93.0	21.0	0.0	13.0	0.0	4.0	0.0	40.0	15.0	131.0	0.0	0.0	95.0	47.0	0.0	298.0	15.0	27.0	0.0	11.0	8.0	59.0	0.0	17.0	93.0	17.0	4.0	76.0	15.0	23.0	108.0	6.0	101.0	19.0	247.0	15.0	211.0	34.0	4.0	0.0	51.0	8.0
rnfB_2754.EH55_10525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	35.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfB_A0A1V5IEV8	4.0	0.0	6.0	8.0	0.0	0.0	4.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	10.0	4.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	4.0	2.0	20.0	4.0	0.0	53.0	0.0	0.0	61.0	6.0	8.0	25.0	8.0	0.0	0.0	0.0	4.0	53.0	0.0	10.0	20.0	6.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0
rnfB_A0A353MNJ8	7.0	0.0	0.0	21.0	0.0	0.0	5.0	34.0	0.0	14.0	0.0	0.0	0.0	41.0	69.0	0.0	0.0	48.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	0.0	0.0	2.0	165.0	5.0	2.0	73.0	0.0	0.0	0.0	2.0	94.0	43.0	14.0	0.0	0.0	0.0	0.0	5.0	62.0	0.0	16.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	23.0	0.0	55.0	2.0	0.0	98.0	0.0	0.0
rnfB_A0A1V5J0E9_m41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
rnfB_A0A1V5J0E9	20.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	48.0	11.0	0.0	72.0	0.0	9.0	105.0	64.0	0.0	11.0	70.0	0.0	9.0	186.0	90.0	0.0	90.0	90.0	22.0	13.0	226.0	145.0	55.0	31.0	66.0	0.0	0.0	2.0	125.0	184.0	31.0	28.0	66.0	44.0	0.0	11.0	35.0	0.0	61.0	68.0	4.0	2.0	0.0	4.0	28.0	31.0	261.0	2.0	18.0	42.0	574.0	26.0	0.0	92.0	77.0	0.0
