	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
rnfD_A0A1V6K3V0	435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	652.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1162.0	1.0	0.0	3.0	0.0	1005.0	0.0	0.0	574.0	167.0	0.0	0.0	0.0	0.0	560.0	5.0	0.0	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfD_A0A3C1LNS2	19.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	3.0	0.0	0.0	0.0	267.0	0.0	0.0	89.0	19.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfD_A0A1V6HNJ1	0.0	0.0	0.0	3.0	3.0	4.0	0.0	3.0	0.0	1.0	0.0	79.0	388.0	1.0	8.0	0.0	8.0	3.0	43.0	4.0	0.0	7.0	0.0	0.0	38.0	20.0	175.0	1.0	6.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	0.0	6.0	353.0	0.0	1.0	0.0	0.0	3.0	3.0	147.0	0.0	3.0	0.0	36.0	0.0	0.0	7.0	0.0	1.0
rnfD_WP_133200943.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	171.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfD_A0A1V6F9G2	14.0	0.0	95.0	0.0	0.0	0.0	173.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	116.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	26.0	0.0	0.0	0.0	52.0	30.0	0.0	286.0	34.0	12.0	0.0	0.0	18.0	155.0	53.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfD_A0A1V6F646	0.0	0.0	1105.0	1424.0	1.0	1.0	288.0	1828.0	392.0	1.0	0.0	687.0	120.0	1480.0	691.0	1566.0	1.0	1435.0	7.0	0.0	0.0	1738.0	1033.0	55.0	925.0	8.0	133.0	4.0	1307.0	41.0	601.0	0.0	1068.0	7.0	3.0	278.0	1298.0	3.0	0.0	435.0	1372.0	906.0	51.0	0.0	2147.0	104.0	0.0	111.0	45.0	3.0	320.0	826.0	1.0	902.0	1.0	0.0	0.0	503.0	0.0	137.0	0.0	868.0	644.0	0.0
rnfD_1123008.KB905710_gene682	0.0	2.0	0.0	836.0	1.0	0.0	0.0	559.0	2.0	0.0	16.0	0.0	0.0	270.0	74.0	0.0	0.0	790.0	22.0	7.0	1.0	688.0	0.0	0.0	2.0	11.0	0.0	0.0	791.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	918.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	1.0	6.0	50.0	0.0	0.0	0.0	4.0	0.0	0.0	350.0	0.0	0.0
rnfD_A0A1V6HUF4	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	8.0	0.0	11.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	3.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	6.0	4.0	12.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	3.0	0.0
rnfD_A0A1V5H585	100.0	3.0	3.0	0.0	0.0	0.0	4.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	37.0	0.0	0.0	0.0	0.0	30.0	0.0	16.0	8.0	16.0	0.0	0.0	0.0	6.0	0.0	3.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	3.0	37.0	0.0	0.0	20.0	16.0	0.0	11.0	6.0	1.0	0.0	14.0	0.0
rnfD_A0A1V6ACF0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
