	ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
rnfE_WP_127816892.1	5338.0	0.0	16.0	0.0	0.0	0.0	3.0	0.0	0.0	2901.0	16.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	1724.0	3.0	0.0	0.0	0.0	0.0	0.0	4399.0	0.0	2.0	2.0	0.0	0.0	0.0	7.0	31.0	1.0	0.0	2775.0	2.0	0.0	1.0	0.0	1244.0	0.0	0.0	3429.0	1047.0	26.0	0.0	6.0	8.0	2021.0	21.0	0.0	2239.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
rnfE_A0A3C0ZX70	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	153.0	0.0	2.0	2.0	0.0	351.0	0.0	0.0	198.0	60.0	0.0	0.0	0.0	0.0	113.0	1.0	2.0	76.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfE_A0A1V6IGM8	15.0	44.0	97.0	0.0	97.0	0.0	234.0	0.0	672.0	52.0	1213.0	10.0	0.0	0.0	0.0	283.0	68.0	0.0	1.0	272.0	50.0	0.0	872.0	112.0	61.0	0.0	0.0	31.0	0.0	3.0	464.0	108.0	536.0	0.0	909.0	485.0	0.0	162.0	25.0	929.0	892.0	78.0	35.0	139.0	0.0	449.0	682.0	188.0	32.0	218.0	44.0	116.0	237.0	118.0	0.0	40.0	391.0	202.0	89.0	543.0	39.0	0.0	200.0	39.0
rnfE_A0A3C0QFX0	1.0	6.0	6.0	0.0	1.0	0.0	17.0	0.0	2.0	0.0	10.0	225.0	68.0	0.0	0.0	17.0	1.0	0.0	23.0	1.0	1.0	0.0	2.0	6.0	146.0	4.0	158.0	6.0	0.0	0.0	5.0	3.0	171.0	6.0	6.0	13.0	0.0	4.0	4.0	2.0	120.0	16.0	9.0	2.0	0.0	5.0	5.0	161.0	6.0	96.0	10.0	16.0	1.0	76.0	47.0	4.0	9.0	2.0	56.0	0.0	5.0	0.0	9.0	0.0
rnfE_A0A2N1QVM4	0.0	0.0	2.0	0.0	0.0	3.0	11.0	0.0	1.0	0.0	6.0	69.0	37.0	0.0	0.0	6.0	1.0	0.0	14.0	0.0	0.0	0.0	2.0	0.0	42.0	2.0	48.0	0.0	0.0	0.0	3.0	0.0	47.0	12.0	0.0	0.0	0.0	2.0	0.0	0.0	41.0	0.0	4.0	0.0	0.0	0.0	0.0	95.0	0.0	13.0	3.0	5.0	1.0	30.0	6.0	1.0	3.0	0.0	17.0	1.0	6.0	1.0	1.0	1.0
rnfE_A0A375AMT5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	6.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
rnfE_A0A3D5L0Q9	0.0	111.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	184.0	127.0	0.0	130.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	110.0
rnfE_WP_118339170.1	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnfE_hsc_HVS_01695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	11.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	8.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
rnfE_A0A3B8J857	0.0	0.0	6.0	7.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	6.0	29.0	0.0	0.0	8.0	6.0	0.0	0.0	22.0	10.0	0.0	8.0	5.0	0.0	2.0	22.0	8.0	9.0	9.0	1.0	0.0	2.0	14.0	21.0	3.0	0.0	2.0	10.0	9.0	2.0	2.0	14.0	9.0	2.0	1.0	0.0	5.0	2.0	1.0	0.0	2.0	15.0	0.0	2.0	1.0	13.0	5.0	0.0	3.0	6.0	0.0
